"","year_of_death","area","count"
"1","2009","All Scotland",1180
"2","2009","Aberdeen City",46
"3","2009","Aberdeenshire",26
"4","2009","Angus",21
"5","2009","Argyll and Bute",19
"6","2009","City of Edinburgh",90
"7","2009","Clackmannanshire",10
"8","2009","Dumfries and Galloway",29
"9","2009","Dundee City",49
"10","2009","East Ayrshire",29
"11","2009","East Dunbartonshire",20
"12","2009","East Lothian",17
"13","2009","East Renfrewshire",12
"14","2009","Falkirk",33
"15","2009","Fife",75
"16","2009","Glasgow City",189
"17","2009","Highland",62
"18","2009","Inverclyde",30
"19","2009","Midlothian",6
"20","2009","Moray",22
"21","2009","Eilean Siar",9
"22","2009","North Ayrshire",44
"23","2009","North Lanarkshire",102
"24","2009","Orkney Islands",7
"25","2009","Perth and Kinross",30
"26","2009","Renfrewshire",42
"27","2009","Scottish Borders",11
"28","2009","Shetland Islands",2
"29","2009","South Ayrshire",18
"30","2009","South Lanarkshire",68
"31","2009","Stirling",19
"32","2009","West Dunbartonshire",24
"33","2009","West Lothian",19
"34","2010","All Scotland",1183
"35","2010","Aberdeen City",39
"36","2010","Aberdeenshire",15
"37","2010","Angus",15
"38","2010","Argyll and Bute",30
"39","2010","City of Edinburgh",95
"40","2010","Clackmannanshire",5
"41","2010","Dumfries and Galloway",31
"42","2010","Dundee City",44
"43","2010","East Ayrshire",29
"44","2010","East Dunbartonshire",14
"45","2010","East Lothian",10
"46","2010","East Renfrewshire",8
"47","2010","Falkirk",33
"48","2010","Fife",68
"49","2010","Glasgow City",203
"50","2010","Highland",66
"51","2010","Inverclyde",33
"52","2010","Midlothian",11
"53","2010","Moray",15
"54","2010","Eilean Siar",6
"55","2010","North Ayrshire",31
"56","2010","North Lanarkshire",100
"57","2010","Orkney Islands",5
"58","2010","Perth and Kinross",36
"59","2010","Renfrewshire",44
"60","2010","Scottish Borders",21
"61","2010","Shetland Islands",9
"62","2010","South Ayrshire",28
"63","2010","South Lanarkshire",65
"64","2010","Stirling",17
"65","2010","West Dunbartonshire",31
"66","2010","West Lothian",26
"67","2011","All Scotland",1135
"68","2011","Aberdeen City",29
"69","2011","Aberdeenshire",16
"70","2011","Angus",19
"71","2011","Argyll and Bute",15
"72","2011","City of Edinburgh",74
"73","2011","Clackmannanshire",12
"74","2011","Dumfries and Galloway",18
"75","2011","Dundee City",45
"76","2011","East Ayrshire",23
"77","2011","East Dunbartonshire",26
"78","2011","East Lothian",11
"79","2011","East Renfrewshire",8
"80","2011","Falkirk",32
"81","2011","Fife",83
"82","2011","Glasgow City",224
"83","2011","Highland",50
"84","2011","Inverclyde",30
"85","2011","Midlothian",13
"86","2011","Moray",14
"87","2011","Eilean Siar",7
"88","2011","North Ayrshire",27
"89","2011","North Lanarkshire",97
"90","2011","Orkney Islands",4
"91","2011","Perth and Kinross",30
"92","2011","Renfrewshire",40
"93","2011","Scottish Borders",15
"94","2011","Shetland Islands",4
"95","2011","South Ayrshire",19
"96","2011","South Lanarkshire",76
"97","2011","Stirling",13
"98","2011","West Dunbartonshire",32
"99","2011","West Lothian",29
"100","2012","All Scotland",968
"101","2012","Aberdeen City",33
"102","2012","Aberdeenshire",17
"103","2012","Angus",15
"104","2012","Argyll and Bute",14
"105","2012","City of Edinburgh",61
"106","2012","Clackmannanshire",6
"107","2012","Dumfries and Galloway",11
"108","2012","Dundee City",33
"109","2012","East Ayrshire",21
"110","2012","East Dunbartonshire",10
"111","2012","East Lothian",10
"112","2012","East Renfrewshire",12
"113","2012","Falkirk",16
"114","2012","Fife",51
"115","2012","Glasgow City",184
"116","2012","Highland",47
"117","2012","Inverclyde",22
"118","2012","Midlothian",14
"119","2012","Moray",19
"120","2012","Eilean Siar",8
"121","2012","North Ayrshire",22
"122","2012","North Lanarkshire",92
"123","2012","Orkney Islands",4
"124","2012","Perth and Kinross",32
"125","2012","Renfrewshire",47
"126","2012","Scottish Borders",15
"127","2012","Shetland Islands",NA
"128","2012","South Ayrshire",24
"129","2012","South Lanarkshire",67
"130","2012","Stirling",13
"131","2012","West Dunbartonshire",23
