"","year_of_death","age_group","count","gender"
"1","2009","0-4",0,"female"
"2","2010","0-4",0,"female"
"3","2011","0-4",0,"female"
"4","2012","0-4",0,"female"
"5","2013","0-4",0,"female"
"6","2014","0-4",0,"female"
"7","2015","0-4",0,"female"
"8","2016","0-4",0,"female"
"9","2017","0-4",0,"female"
"10","2018","0-4",0,"female"
"11","2019","0-4",0,"female"
"12","2009","0-4",0,"male"
"13","2010","0-4",0,"male"
"14","2011","0-4",0,"male"
"15","2012","0-4",0,"male"
"16","2013","0-4",0,"male"
"17","2014","0-4",0,"male"
"18","2015","0-4",0,"male"
"19","2016","0-4",0,"male"
"20","2017","0-4",0,"male"
"21","2018","0-4",0,"male"
"22","2019","0-4",0,"male"
"23","2009","5-9",0,"female"
"24","2010","5-9",0,"female"
"25","2011","5-9",0,"female"
"26","2012","5-9",0,"female"
"27","2013","5-9",0,"female"
"28","2014","5-9",0,"female"
"29","2015","5-9",0,"female"
"30","2016","5-9",0,"female"
"31","2017","5-9",0,"female"
"32","2018","5-9",0,"female"
"33","2019","5-9",0,"female"
"34","2009","5-9",0,"male"
"35","2010","5-9",0,"male"
"36","2011","5-9",0,"male"
"37","2012","5-9",0,"male"
"38","2013","5-9",0,"male"
"39","2014","5-9",0,"male"
"40","2015","5-9",0,"male"
"41","2016","5-9",0,"male"
"42","2017","5-9",0,"male"
"43","2018","5-9",0,"male"
"44","2019","5-9",0,"male"
"45","2009","10-14",0,"female"
"46","2010","10-14",0,"female"
"47","2011","10-14",0,"female"
"48","2012","10-14",0,"female"
"49","2013","10-14",0,"female"
"50","2014","10-14",0,"female"
"51","2015","10-14",0,"female"
"52","2016","10-14",0,"female"
"53","2017","10-14",0,"female"
"54","2018","10-14",0,"female"
"55","2019","10-14",0,"female"
"56","2009","10-14",0,"male"
"57","2010","10-14",0,"male"
"58","2011","10-14",0,"male"
"59","2012","10-14",0,"male"
"60","2013","10-14",0,"male"
"61","2014","10-14",0,"male"
"62","2015","10-14",0,"male"
"63","2016","10-14",0,"male"
"64","2017","10-14",0,"male"
"65","2018","10-14",0,"male"
"66","2019","10-14",0,"male"
"67","2009","15-19",0,"female"
"68","2010","15-19",1,"female"
"69","2011","15-19",0,"female"
"70","2012","15-19",0,"female"
"71","2013","15-19",0,"female"
"72","2014","15-19",0,"female"
"73","2015","15-19",0,"female"
"74","2016","15-19",0,"female"
"75","2017","15-19",0,"female"
"76","2018","15-19",0,"female"
"77","2019","15-19",0,"female"
"78","2009","15-19",0,"male"
"79","2010","15-19",0,"male"
"80","2011","15-19",0,"male"
"81","2012","15-19",0,"male"
"82","2013","15-19",0,"male"
"83","2014","15-19",0,"male"
"84","2015","15-19",0,"male"
"85","2016","15-19",0,"male"
"86","2017","15-19",0,"male"
"87","2018","15-19",1,"male"
"88","2019","15-19",0,"male"
"89","2009","20-24",1,"female"
"90","2010","20-24",1,"female"
"91","2011","20-24",2,"female"
"92","2012","20-24",0,"female"
"93","2013","20-24",1,"female"
"94","2014","20-24",1,"female"
"95","2015","20-24",0,"female"
"96","2016","20-24",1,"female"
"97","2017","20-24",0,"female"
"98","2018","20-24",2,"female"
"99","2019","20-24",1,"female"
"100","2009","20-24",4,"male"
