"","LA_Code","LA_Name"
"1","S12000033","Aberdeen City"
"2","S12000034","Aberdeenshire"
"3","S12000041","Angus"
"4","S12000035","Argyll and Bute"
"5","S12000005","Clackmannanshire"
"6","S12000006","Dumfries and Galloway"
"7","S12000042","Dundee City"
"8","S12000008","East Ayrshire"
"9","S12000045","East Dunbartonshire"
"10","S12000010","East Lothian"
"11","S12000011","East Renfrewshire"
"12","S12000036","City of Edinburgh"
"13","S12000013","Na h-Eileanan Siar"
"14","S12000014","Falkirk"
"15","S12000047","Fife"
"16","S12000049","Glasgow City"
"17","S12000017","Highland"
"18","S12000018","Inverclyde"
"19","S12000019","Midlothian"
"20","S12000020","Moray"
"21","S12000021","North Ayrshire"
"22","S12000050","North Lanarkshire"
"23","S12000023","Orkney Islands"
"24","S12000048","Perth and Kinross"
"25","S12000038","Renfrewshire"
"26","S12000026","Scottish Borders"
"27","S12000027","Shetland Islands"
"28","S12000028","South Ayrshire"
"29","S12000029","South Lanarkshire"
"30","S12000030","Stirling"
"31","S12000039","West Dunbartonshire"
"32","S12000040","West Lothian"
