council_area,drug_name,num_deaths,year
Scotland,All drug-related deaths,545,2009
Scotland,Heroin/Morphine,338,2009
Scotland,Methadone,188,2009
Scotland,Any Benzodiazepine,386,2009
Scotland,Diazepam,329,2009
Scotland,Temazepam,20,2009
Scotland,Cocaine,57,2009
Scotland,Ecstasy,2,2009
Scotland,Amphetamines,16,2009
Scotland,Alcohol,277,2009
Aberdeen City,All drug-related deaths,27,2009
Aberdeen City,Heroin/Morphine,21,2009
Aberdeen City,Methadone,4,2009
Aberdeen City,Any Benzodiazepine,13,2009
Aberdeen City,Diazepam,1,2009
Aberdeen City,Temazepam,0,2009
Aberdeen City,Cocaine,7,2009
Aberdeen City,Ecstasy,0,2009
Aberdeen City,Amphetamines,2,2009
Aberdeen City,Alcohol,15,2009
Aberdeenshire,All drug-related deaths,18,2009
Aberdeenshire,Heroin/Morphine,10,2009
Aberdeenshire,Methadone,5,2009
Aberdeenshire,Any Benzodiazepine,12,2009
Aberdeenshire,Diazepam,0,2009
Aberdeenshire,Temazepam,0,2009
Aberdeenshire,Cocaine,5,2009
Aberdeenshire,Ecstasy,0,2009
Aberdeenshire,Amphetamines,1,2009
Aberdeenshire,Alcohol,10,2009
Angus,All drug-related deaths,9,2009
Angus,Heroin/Morphine,9,2009
Angus,Methadone,1,2009
Angus,Any Benzodiazepine,7,2009
Angus,Diazepam,7,2009
Angus,Temazepam,0,2009
Angus,Cocaine,0,2009
Angus,Ecstasy,0,2009
Angus,Amphetamines,0,2009
Angus,Alcohol,6,2009
Argyll and Bute,All drug-related deaths,7,2009
Argyll and Bute,Heroin/Morphine,4,2009
Argyll and Bute,Methadone,3,2009
Argyll and Bute,Any Benzodiazepine,6,2009
Argyll and Bute,Diazepam,6,2009
Argyll and Bute,Temazepam,0,2009
Argyll and Bute,Cocaine,0,2009
Argyll and Bute,Ecstasy,0,2009
Argyll and Bute,Amphetamines,0,2009
Argyll and Bute,Alcohol,4,2009
Clackmannanshire,All drug-related deaths,3,2009
Clackmannanshire,Heroin/Morphine,3,2009
Clackmannanshire,Methadone,1,2009
Clackmannanshire,Any Benzodiazepine,2,2009
Clackmannanshire,Diazepam,2,2009
Clackmannanshire,Temazepam,0,2009
Clackmannanshire,Cocaine,0,2009
Clackmannanshire,Ecstasy,0,2009
Clackmannanshire,Amphetamines,0,2009
Clackmannanshire,Alcohol,0,2009
Dumfries and Galloway,All drug-related deaths,8,2009
Dumfries and Galloway,Heroin/Morphine,6,2009
Dumfries and Galloway,Methadone,3,2009
Dumfries and Galloway,Any Benzodiazepine,4,2009
Dumfries and Galloway,Diazepam,4,2009
Dumfries and Galloway,Temazepam,1,2009
Dumfries and Galloway,Cocaine,1,2009
Dumfries and Galloway,Ecstasy,0,2009
Dumfries and Galloway,Amphetamines,0,2009
Dumfries and Galloway,Alcohol,3,2009
Dundee City,All drug-related deaths,30,2009
Dundee City,Heroin/Morphine,19,2009
Dundee City,Methadone,12,2009
Dundee City,Any Benzodiazepine,20,2009
Dundee City,Diazepam,18,2009
Dundee City,Temazepam,1,2009
Dundee City,Cocaine,1,2009
Dundee City,Ecstasy,0,2009
Dundee City,Amphetamines,0,2009
Dundee City,Alcohol,8,2009
East Ayrshire,All drug-related deaths,12,2009
East Ayrshire,Heroin/Morphine,12,2009
East Ayrshire,Methadone,3,2009
East Ayrshire,Any Benzodiazepine,8,2009
East Ayrshire,Diazepam,8,2009
East Ayrshire,Temazepam,0,2009
East Ayrshire,Cocaine,1,2009
East Ayrshire,Ecstasy,0,2009
East Ayrshire,Amphetamines,0,2009
East Ayrshire,Alcohol,6,2009
East Dunbartonshire,All drug-related deaths,5,2009
East Dunbartonshire,Heroin/Morphine,2,2009
East Dunbartonshire,Methadone,4,2009
East Dunbartonshire,Any Benzodiazepine,4,2009
East Dunbartonshire,Diazepam,4,2009
East Dunbartonshire,Temazepam,0,2009
East Dunbartonshire,Cocaine,1,2009
East Dunbartonshire,Ecstasy,0,2009
East Dunbartonshire,Amphetamines,0,2009
East Dunbartonshire,Alcohol,3,2009
East Lothian,All drug-related deaths,6,2009
East Lothian,Heroin/Morphine,3,2009
East Lothian,Methadone,3,2009
East Lothian,Any Benzodiazepine,5,2009
East Lothian,Diazepam,4,2009
East Lothian,Temazepam,3,2009
East Lothian,Cocaine,0,2009
East Lothian,Ecstasy,0,2009
East Lothian,Amphetamines,0,2009
East Lothian,Alcohol,3,2009
East Renfrewshire,All drug-related deaths,7,2009
East Renfrewshire,Heroin/Morphine,4,2009
East Renfrewshire,Methadone,1,2009
East Renfrewshire,Any Benzodiazepine,6,2009
East Renfrewshire,Diazepam,6,2009
East Renfrewshire,Temazepam,0,2009
East Renfrewshire,Cocaine,1,2009
East Renfrewshire,Ecstasy,0,2009
East Renfrewshire,Amphetamines,1,2009
East Renfrewshire,Alcohol,6,2009
City of Edinburgh,All drug-related deaths,45,2009
City of Edinburgh,Heroin/Morphine,18,2009
City of Edinburgh,Methadone,22,2009
City of Edinburgh,Any Benzodiazepine,36,2009
City of Edinburgh,Diazepam,33,2009
City of Edinburgh,Temazepam,5,2009
City of Edinburgh,Cocaine,1,2009
City of Edinburgh,Ecstasy,1,2009
City of Edinburgh,Amphetamines,1,2009
City of Edinburgh,Alcohol,21,2009
Eilean Siar,All drug-related deaths,2,2009
Eilean Siar,Heroin/Morphine,1,2009
Eilean Siar,Methadone,0,2009
Eilean Siar,Any Benzodiazepine,1,2009
Eilean Siar,Diazepam,0,2009
Eilean Siar,Temazepam,0,2009
Eilean Siar,Cocaine,0,2009
Eilean Siar,Ecstasy,0,2009
Eilean Siar,Amphetamines,0,2009
Eilean Siar,Alcohol,1,2009
Falkirk,All drug-related deaths,5,2009
Falkirk,Heroin/Morphine,3,2009
Falkirk,Methadone,2,2009
Falkirk,Any Benzodiazepine,4,2009
Falkirk,Diazepam,4,2009
Falkirk,Temazepam,0,2009
Falkirk,Cocaine,1,2009
Falkirk,Ecstasy,0,2009
Falkirk,Amphetamines,0,2009
Falkirk,Alcohol,2,2009
Fife,All drug-related deaths,32,2009
Fife,Heroin/Morphine,19,2009
Fife,Methadone,8,2009
Fife,Any Benzodiazepine,17,2009
Fife,Diazepam,17,2009
Fife,Temazepam,1,2009
Fife,Cocaine,0,2009
Fife,Ecstasy,0,2009
Fife,Amphetamines,2,2009
Fife,Alcohol,6,2009
Glasgow City,All drug-related deaths,135,2009
Glasgow City,Heroin/Morphine,78,2009
Glasgow City,Methadone,50,2009
Glasgow City,Any Benzodiazepine,94,2009
Glasgow City,Diazepam,88,2009
Glasgow City,Temazepam,2,2009
Glasgow City,Cocaine,18,2009
Glasgow City,Ecstasy,0,2009
Glasgow City,Amphetamines,6,2009
Glasgow City,Alcohol,78,2009
Highland,All drug-related deaths,14,2009
Highland,Heroin/Morphine,10,2009
Highland,Methadone,5,2009
Highland,Any Benzodiazepine,12,2009
Highland,Diazepam,7,2009
Highland,Temazepam,1,2009
Highland,Cocaine,0,2009
Highland,Ecstasy,0,2009
Highland,Amphetamines,0,2009
Highland,Alcohol,9,2009
Inverclyde,All drug-related deaths,7,2009
Inverclyde,Heroin/Morphine,5,2009
