local_authority,date_code,measurement,value,sex,age
Aberdeen City,2009-2011,95% Lower Confidence Limit,76.07,Male,0 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,77.03,Male,0 years
Aberdeen City,2009-2011,Count,76.55,Male,0 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,81.51,Female,0 years
Aberdeen City,2009-2011,Count,81.07,Female,0 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,80.63,Female,0 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,75.41,Male,1-4 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,76.33,Male,1-4 years
Aberdeen City,2009-2011,Count,75.87,Male,1-4 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,80.7,Female,1-4 years
Aberdeen City,2009-2011,Count,80.28,Female,1-4 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,79.86,Female,1-4 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,71.46,Male,5-9 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,72.37,Male,5-9 years
Aberdeen City,2009-2011,Count,71.92,Male,5-9 years
Aberdeen City,2009-2011,Count,76.33,Female,5-9 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,76.74,Female,5-9 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,75.91,Female,5-9 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,67.37,Male,10-14 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,66.46,Male,10-14 years
Aberdeen City,2009-2011,Count,66.92,Male,10-14 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,71.77,Female,10-14 years
Aberdeen City,2009-2011,Count,71.36,Female,10-14 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,70.95,Female,10-14 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,61.51,Male,15-19 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,62.41,Male,15-19 years
Aberdeen City,2009-2011,Count,61.96,Male,15-19 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,66.79,Female,15-19 years
Aberdeen City,2009-2011,Count,66.38,Female,15-19 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,65.97,Female,15-19 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,56.62,Male,20-24 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,57.51,Male,20-24 years
Aberdeen City,2009-2011,Count,57.07,Male,20-24 years
Aberdeen City,2009-2011,Count,61.45,Female,20-24 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,61.86,Female,20-24 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,61.05,Female,20-24 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,51.73,Male,25-29 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,52.62,Male,25-29 years
Aberdeen City,2009-2011,Count,52.17,Male,25-29 years
Aberdeen City,2009-2011,Count,56.5,Female,25-29 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,56.9,Female,25-29 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,56.1,Female,25-29 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,47.05,Male,30-34 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,47.92,Male,30-34 years
Aberdeen City,2009-2011,Count,47.48,Male,30-34 years
Aberdeen City,2009-2011,Count,51.61,Female,30-34 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,52.01,Female,30-34 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,51.22,Female,30-34 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,42.41,Male,35-39 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,43.26,Male,35-39 years
Aberdeen City,2009-2011,Count,42.84,Male,35-39 years
Aberdeen City,2009-2011,Count,46.74,Female,35-39 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,47.13,Female,35-39 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,46.35,Female,35-39 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,37.85,Male,40-44 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,38.67,Male,40-44 years
Aberdeen City,2009-2011,Count,38.26,Male,40-44 years
Aberdeen City,2009-2011,Count,41.93,Female,40-44 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,42.31,Female,40-44 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,41.55,Female,40-44 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,33.39,Male,45-49 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,34.18,Male,45-49 years
Aberdeen City,2009-2011,Count,33.79,Male,45-49 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,37.58,Female,45-49 years
Aberdeen City,2009-2011,Count,37.21,Female,45-49 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,36.83,Female,45-49 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,28.94,Male,50-54 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,29.71,Male,50-54 years
Aberdeen City,2009-2011,Count,29.33,Male,50-54 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,32.9,Female,50-54 years
Aberdeen City,2009-2011,Count,32.54,Female,50-54 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,32.17,Female,50-54 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,24.67,Male,55-59 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,25.42,Male,55-59 years
Aberdeen City,2009-2011,Count,25.04,Male,55-59 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,28.45,Female,55-59 years
Aberdeen City,2009-2011,Count,28.1,Female,55-59 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,27.75,Female,55-59 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,20.65,Male,60-64 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,21.37,Male,60-64 years
Aberdeen City,2009-2011,Count,21.01,Male,60-64 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,24.04,Female,60-64 years
Aberdeen City,2009-2011,Count,23.71,Female,60-64 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,23.37,Female,60-64 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,16.73,Male,65-69 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,17.43,Male,65-69 years
Aberdeen City,2009-2011,Count,17.08,Male,65-69 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,19.95,Female,65-69 years
Aberdeen City,2009-2011,Count,19.63,Female,65-69 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,19.32,Female,65-69 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,13.25,Male,70-74 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,13.91,Male,70-74 years
Aberdeen City,2009-2011,Count,13.58,Male,70-74 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,16.01,Female,70-74 years
Aberdeen City,2009-2011,Count,15.72,Female,70-74 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,15.43,Female,70-74 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,10.17,Male,75-79 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,10.8,Male,75-79 years
Aberdeen City,2009-2011,Count,10.48,Male,75-79 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,12.39,Female,75-79 years
Aberdeen City,2009-2011,Count,12.13,Female,75-79 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,11.87,Female,75-79 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,7.59,Male,80-84 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,8.23,Male,80-84 years
Aberdeen City,2009-2011,Count,7.91,Male,80-84 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,9.23,Female,80-84 years
Aberdeen City,2009-2011,Count,8.98,Female,80-84 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,8.74,Female,80-84 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,5.53,Male,85-89 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,6.27,Male,85-89 years
Aberdeen City,2009-2011,Count,5.9,Male,85-89 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,6.49,Female,85-89 years
Aberdeen City,2009-2011,Count,6.24,Female,85-89 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,5.99,Female,85-89 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,3.7,Male,90 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,4.79,Male,90 years
Aberdeen City,2009-2011,Count,4.24,Male,90 years
Aberdeen City,2009-2011,95% Upper Confidence Limit,4.58,Female,90 years
Aberdeen City,2009-2011,Count,4.25,Female,90 years
Aberdeen City,2009-2011,95% Lower Confidence Limit,3.92,Female,90 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,76.54,Male,0 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,77.48,Male,0 years
Aberdeen City,2010-2012,Count,77.01,Male,0 years
Aberdeen City,2010-2012,Count,81.07,Female,0 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,81.51,Female,0 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,80.63,Female,0 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,75.82,Male,1-4 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,76.72,Male,1-4 years
Aberdeen City,2010-2012,Count,76.27,Male,1-4 years
Aberdeen City,2010-2012,Count,80.37,Female,1-4 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,80.78,Female,1-4 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,79.95,Female,1-4 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,71.89,Male,5-9 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,72.78,Male,5-9 years
Aberdeen City,2010-2012,Count,72.34,Male,5-9 years
Aberdeen City,2010-2012,Count,76.39,Female,5-9 years
Aberdeen City,2010-2012,95% Upper Confidence Limit,76.8,Female,5-9 years
Aberdeen City,2010-2012,95% Lower Confidence Limit,75.98,Female,5-9 years
