year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-05,S08000015,Under 5,All,All,89,93,-4.3
2020,1,2020-01-05,S08000016,Under 5,All,All,25,28.5,-12.3
2020,1,2020-01-05,S08000017,Under 5,All,All,29,35.5,-18.3
2020,1,2020-01-05,S08000019,Under 5,All,All,39,117.5,-66.8
2020,1,2020-01-05,S08000020,Under 5,All,All,119,87,36.8
2020,1,2020-01-05,S08000022,Under 5,All,All,54,54.5,-0.9
2020,1,2020-01-05,S08000024,Under 5,All,All,162,118,37.3
2020,1,2020-01-05,S08000029,Under 5,All,All,73,77,-5.2
2020,1,2020-01-05,S08000030,Under 5,All,All,75,98.5,-23.9
2020,1,2020-01-05,S08000031,Under 5,All,All,256,298,-14.1
2020,1,2020-01-05,S08000032,Under 5,All,All,163,189.5,-14
2020,1,2020-01-05,S92000003,Under 5,All,All,1088,1201.5,-9.4
2020,1,2020-01-12,S08000015,Under 5,All,All,83,105.5,-21.3
2020,1,2020-01-12,S08000016,Under 5,All,All,15,21,-28.6
2020,1,2020-01-12,S08000017,Under 5,All,All,29,42,-31
2020,1,2020-01-12,S08000019,Under 5,All,All,39,96.5,-59.6
2020,1,2020-01-12,S08000020,Under 5,All,All,106,96,10.4
2020,1,2020-01-12,S08000022,Under 5,All,All,66,45,46.7
2020,1,2020-01-12,S08000024,Under 5,All,All,145,138.5,4.7
2020,1,2020-01-12,S08000029,Under 5,All,All,63,66.5,-5.3
2020,1,2020-01-12,S08000030,Under 5,All,All,70,98.5,-28.9
2020,1,2020-01-12,S08000031,Under 5,All,All,257,279,-7.9
2020,1,2020-01-12,S08000032,Under 5,All,All,126,180.5,-30.2
2020,1,2020-01-12,S92000003,Under 5,All,All,1003,1173.5,-14.5
2020,1,2020-01-19,S08000015,Under 5,All,All,68,109,-37.6
2020,1,2020-01-19,S08000016,Under 5,All,All,16,21,-23.8
2020,1,2020-01-19,S08000017,Under 5,All,All,26,41.5,-37.3
2020,1,2020-01-19,S08000019,Under 5,All,All,48,103.5,-53.6
2020,1,2020-01-19,S08000020,Under 5,All,All,90,99,-9.1
2020,1,2020-01-19,S08000022,Under 5,All,All,34,65,-47.7
2020,1,2020-01-19,S08000024,Under 5,All,All,151,143.5,5.2
2020,1,2020-01-19,S08000029,Under 5,All,All,79,62,27.4
2020,1,2020-01-19,S08000030,Under 5,All,All,94,90,4.4
2020,1,2020-01-19,S08000031,Under 5,All,All,258,287.5,-10.3
2020,1,2020-01-19,S08000032,Under 5,All,All,151,190,-20.5
2020,1,2020-01-19,S92000003,Under 5,All,All,1021,1218.5,-16.2
2020,1,2020-01-26,S08000015,Under 5,All,All,102,103.5,-1.4
2020,1,2020-01-26,S08000016,Under 5,All,All,21,16.5,27.3
2020,1,2020-01-26,S08000017,Under 5,All,All,36,36,0
2020,1,2020-01-26,S08000019,Under 5,All,All,35,124.5,-71.9
2020,1,2020-01-26,S08000020,Under 5,All,All,107,84,27.4
2020,1,2020-01-26,S08000022,Under 5,All,All,66,62.5,5.6
2020,1,2020-01-26,S08000024,Under 5,All,All,167,162,3.1
2020,1,2020-01-26,S08000029,Under 5,All,All,69,57,21.1
2020,1,2020-01-26,S08000030,Under 5,All,All,92,98,-6.1
2020,1,2020-01-26,S08000031,Under 5,All,All,311,292,6.5
2020,1,2020-01-26,S08000032,Under 5,All,All,139,204,-31.9
2020,1,2020-01-26,S92000003,Under 5,All,All,1147,1246,-7.9
2020,1,2020-02-02,S08000015,Under 5,All,All,91,109.5,-16.9
2020,1,2020-02-02,S08000016,Under 5,All,All,27,24,12.5
2020,1,2020-02-02,S08000017,Under 5,All,All,43,33.5,28.4
2020,1,2020-02-02,S08000019,Under 5,All,All,48,99.5,-51.8
2020,1,2020-02-02,S08000020,Under 5,All,All,98,105,-6.7
2020,1,2020-02-02,S08000022,Under 5,All,All,56,53,5.7
2020,1,2020-02-02,S08000024,Under 5,All,All,152,157,-3.2
2020,1,2020-02-02,S08000029,Under 5,All,All,78,74,5.4
2020,1,2020-02-02,S08000030,Under 5,All,All,86,103,-16.5
2020,1,2020-02-02,S08000031,Under 5,All,All,308,281.5,9.4
2020,1,2020-02-02,S08000032,Under 5,All,All,157,156.5,0.3
2020,1,2020-02-02,S92000003,Under 5,All,All,1148,1201.5,-4.5
2020,1,2020-02-09,S08000015,Under 5,All,All,71,110.5,-35.7
2020,1,2020-02-09,S08000016,Under 5,All,All,27,26.5,1.9
2020,1,2020-02-09,S08000017,Under 5,All,All,40,37.5,6.7
2020,1,2020-02-09,S08000019,Under 5,All,All,44,109.5,-59.8
2020,1,2020-02-23,S08000016,Under 5,All,All,17,22,-22.7
2020,1,2020-02-23,S08000017,Under 5,All,All,32,42,-23.8
2020,1,2020-02-09,S08000020,Under 5,All,All,101,111,-9
2020,1,2020-02-09,S08000022,Under 5,All,All,43,51.5,-16.5
2020,1,2020-02-09,S08000024,Under 5,All,All,148,164,-9.8
2020,1,2020-02-09,S08000029,Under 5,All,All,83,75.5,9.9
2020,1,2020-02-09,S08000030,Under 5,All,All,63,100.5,-37.3
2020,1,2020-02-09,S08000031,Under 5,All,All,244,281.5,-13.3
2020,1,2020-02-09,S08000032,Under 5,All,All,140,179.5,-22
2020,1,2020-02-09,S92000003,Under 5,All,All,1007,1249.5,-19.4
2020,1,2020-02-16,S08000015,Under 5,All,All,79,124,-36.3
2020,1,2020-02-16,S08000016,Under 5,All,All,15,23,-34.8
2020,1,2020-02-16,S08000017,Under 5,All,All,46,44.5,3.4
2020,1,2020-02-16,S08000019,Under 5,All,All,47,110,-57.3
2020,1,2020-02-16,S08000020,Under 5,All,All,116,108,7.4
2020,1,2020-02-16,S08000022,Under 5,All,All,58,54.5,6.4
2020,1,2020-02-16,S08000024,Under 5,All,All,145,133,9
2020,1,2020-02-16,S08000029,Under 5,All,All,56,66.5,-15.8
2020,1,2020-02-16,S08000030,Under 5,All,All,74,98,-24.5
2020,1,2020-02-16,S08000031,Under 5,All,All,253,280,-9.6
2020,1,2020-02-16,S08000032,Under 5,All,All,155,197,-21.3
2020,1,2020-02-16,S92000003,Under 5,All,All,1048,1243,-15.7
2020,1,2020-02-23,S08000015,Under 5,All,All,80,92.5,-13.5
2020,2,2020-05-31,S08000024,Under 5,All,All,64,136.5,-53.1
2020,2,2020-05-31,S08000029,Under 5,All,All,29,57.5,-49.6
2020,1,2020-02-23,S08000019,Under 5,All,All,70,103.5,-32.4
2020,1,2020-02-23,S08000020,Under 5,All,All,96,85,12.9
2020,1,2020-02-23,S08000022,Under 5,All,All,61,60.5,0.8
2020,1,2020-02-23,S08000024,Under 5,All,All,152,138,10.1
2020,1,2020-02-23,S08000029,Under 5,All,All,86,74,16.2
2020,1,2020-02-23,S08000030,Under 5,All,All,75,86.5,-13.3
2020,1,2020-02-23,S08000031,Under 5,All,All,261,281,-7.1
2020,1,2020-02-23,S08000032,Under 5,All,All,133,190.5,-30.2
2020,1,2020-02-23,S92000003,Under 5,All,All,1068,1178.5,-9.4
2020,1,2020-03-01,S08000015,Under 5,All,All,84,113.5,-26
2020,1,2020-03-01,S08000016,Under 5,All,All,28,21,33.3
2020,1,2020-03-01,S08000017,Under 5,All,All,22,38,-42.1
2020,1,2020-03-01,S08000019,Under 5,All,All,58,99.5,-41.7
2020,1,2020-03-01,S08000020,Under 5,All,All,83,95,-12.6
2020,1,2020-03-01,S08000022,Under 5,All,All,54,50.5,6.9
2020,1,2020-03-01,S08000024,Under 5,All,All,155,120.5,28.6
2020,1,2020-03-01,S08000029,Under 5,All,All,71,65,9.2
2020,1,2020-03-01,S08000030,Under 5,All,All,90,72.5,24.1
2020,1,2020-03-01,S08000031,Under 5,All,All,284,242.5,17.1
2020,1,2020-03-01,S08000032,Under 5,All,All,159,174.5,-8.9
2020,1,2020-03-01,S92000003,Under 5,All,All,1091,1094.5,-0.3
2020,1,2020-03-08,S08000015,Under 5,All,All,95,123.5,-23.1
2020,1,2020-03-08,S08000016,Under 5,All,All,21,22,-4.5
2020,1,2020-03-08,S08000017,Under 5,All,All,43,34.5,24.6
2020,1,2020-03-08,S08000019,Under 5,All,All,57,97.5,-41.5
2020,1,2020-03-08,S08000020,Under 5,All,All,95,93,2.2
2020,1,2020-03-08,S08000022,Under 5,All,All,56,67,-16.4
2020,1,2020-03-08,S08000024,Under 5,All,All,148,141.5,4.6
2020,1,2020-03-08,S08000029,Under 5,All,All,87,69.5,25.2
2020,1,2020-03-08,S08000030,Under 5,All,All,81,93,-12.9
2020,1,2020-03-08,S08000031,Under 5,All,All,307,268,14.6
2020,1,2020-03-08,S08000032,Under 5,All,All,160,211.5,-24.3
2020,1,2020-03-08,S92000003,Under 5,All,All,1156,1225,-5.6
2020,1,2020-03-15,S08000015,Under 5,All,All,93,100.5,-7.5
2020,1,2020-03-15,S08000016,Under 5,All,All,16,26,-38.5
2020,1,2020-03-15,S08000017,Under 5,All,All,33,44,-25
2020,1,2020-03-15,S08000019,Under 5,All,All,60,97.5,-38.5
2020,1,2020-03-15,S08000020,Under 5,All,All,81,100.5,-19.4
2020,1,2020-03-15,S08000022,Under 5,All,All,58,57,1.8
2020,1,2020-03-15,S08000024,Under 5,All,All,150,135,11.1
2020,1,2020-03-15,S08000029,Under 5,All,All,66,73.5,-10.2
2020,1,2020-03-15,S08000030,Under 5,All,All,88,94.5,-6.9
2020,1,2020-03-15,S08000031,Under 5,All,All,261,285,-8.4
2020,1,2020-03-15,S08000032,Under 5,All,All,181,190.5,-5
2020,1,2020-03-15,S92000003,Under 5,All,All,1095,1211,-9.6
2020,1,2020-03-22,S08000015,Under 5,All,All,67,104,-35.6
2020,1,2020-03-22,S08000016,Under 5,All,All,19,27.5,-30.9
2020,1,2020-03-22,S08000017,Under 5,All,All,16,34,-52.9
