year,quarter,week_ending,hscp,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-05,S37000001,Under 5,All,All,39,42,-7.1
2020,1,2020-01-05,S37000002,Under 5,All,All,42,30,40
2020,1,2020-01-05,S37000003,Under 5,All,All,26,23.5,10.6
2020,1,2020-01-05,S37000004,Under 5,All,All,11,12,-8.3
2020,1,2020-01-05,S37000005,Under 5,All,All,25,54,-53.7
2020,1,2020-01-05,S37000006,Under 5,All,All,32,37.5,-14.7
2020,1,2020-01-05,S37000007,Under 5,All,All,36,44.5,-19.1
2020,1,2020-01-05,S37000008,Under 5,All,All,39,27.5,41.8
2020,1,2020-01-05,S37000009,Under 5,All,All,7,15,-53.3
2020,1,2020-01-05,S37000010,Under 5,All,All,12,11.5,4.3
2020,1,2020-01-05,S37000011,Under 5,All,All,8,12.5,-36
2020,1,2020-01-05,S37000012,Under 5,All,All,65,49,32.7
2020,1,2020-01-05,S37000013,Under 5,All,All,24,61.5,-61
2020,1,2020-01-05,S37000016,Under 5,All,All,47,53.5,-12.1
2020,1,2020-01-05,S37000017,Under 5,All,All,12,16.5,-27.3
2020,1,2020-01-05,S37000018,Under 5,All,All,12,13,-7.7
2020,1,2020-01-05,S37000019,Under 5,All,All,39,14,178.6
2020,1,2020-01-05,S37000020,Under 5,All,All,33,41,-19.5
2020,1,2020-01-05,S37000024,Under 5,All,All,16,44,-63.6
2020,1,2020-01-05,S37000025,Under 5,All,All,24,26,-7.7
2020,1,2020-01-05,S37000027,Under 5,All,All,20,30,-33.3
2020,1,2020-01-05,S37000028,Under 5,All,All,91,98.5,-7.6
2020,1,2020-01-05,S37000029,Under 5,All,All,17,18.5,-8.1
2020,1,2020-01-05,S37000030,Under 5,All,All,63,38.5,63.6
2020,1,2020-01-05,S37000032,Under 5,All,All,77,89,-13.5
2020,1,2020-01-05,S37000033,Under 5,All,All,15,23,-34.8
2020,1,2020-01-05,S37000034,Under 5,All,All,117,121,-3.3
2020,1,2020-01-05,S37000035,Under 5,All,All,111,133,-16.5
2020,1,2020-01-12,S37000001,Under 5,All,All,52,29.5,76.3
2020,1,2020-01-12,S37000002,Under 5,All,All,43,53,-18.9
2020,1,2020-01-12,S37000003,Under 5,All,All,13,26,-50
2020,1,2020-01-12,S37000004,Under 5,All,All,7,8,-12.5
2020,1,2020-01-12,S37000005,Under 5,All,All,14,40,-65
2020,1,2020-01-12,S37000006,Under 5,All,All,32,45.5,-29.7
2020,1,2020-01-12,S37000007,Under 5,All,All,36,44.5,-19.1
2020,1,2020-01-12,S37000008,Under 5,All,All,39,42,-7.1
2020,1,2020-01-12,S37000009,Under 5,All,All,24,10,140
