year,quarter,week_ending,hb,age_group,sex,number_attendances,average20182019,percent_variation
2020,1,2020-01-05,S08000015,Under 5,All,214,194.5,10
2020,1,2020-01-05,S08000015,5 - 14,All,116,119,-2.5
2020,1,2020-01-05,S08000015,15 - 44,All,681,694.5,-1.9
2020,1,2020-01-05,S08000015,45 - 64,All,485,455.5,6.5
2020,1,2020-01-05,S08000015,65 - 74,All,222,212,4.7
2020,1,2020-01-05,S08000015,75 - 84,All,182,184.5,-1.4
2020,1,2020-01-05,S08000015,85 and over,All,123,101.5,21.2
2020,1,2020-01-05,S08000015,All ages,All,2048,1972.5,3.8
2020,1,2020-01-05,S08000015,All ages,Female,973,991,-1.8
2020,1,2020-01-05,S08000015,All ages,Male,1050,970.5,8.2
2020,1,2020-01-05,S08000016,Under 5,All,34,28.5,19.3
2020,1,2020-01-05,S08000016,5 - 14,All,20,28.5,-29.8
2020,1,2020-01-05,S08000016,15 - 44,All,215,183,17.5
2020,1,2020-01-05,S08000016,45 - 64,All,164,146.5,11.9
2020,1,2020-01-05,S08000016,65 - 74,All,95,81.5,16.6
2020,1,2020-01-05,S08000016,75 - 84,All,86,80,7.5
2020,1,2020-01-05,S08000016,85 and over,All,63,51,23.5
2020,1,2020-01-05,S08000016,All ages,All,696,611,13.9
2020,1,2020-01-05,S08000016,All ages,Female,359,301,19.3
2020,1,2020-01-05,S08000016,All ages,Male,318,298,6.7
2020,1,2020-01-05,S08000017,Under 5,All,73,85.5,-14.6
2020,1,2020-01-05,S08000017,5 - 14,All,38,57,-33.3
2020,1,2020-01-05,S08000017,15 - 44,All,329,320.5,2.7
2020,1,2020-01-05,S08000017,45 - 64,All,219,194.5,12.6
2020,1,2020-01-05,S08000017,65 - 74,All,111,106.5,4.2
2020,1,2020-01-05,S08000017,75 - 84,All,113,96,17.7
2020,1,2020-01-05,S08000017,85 and over,All,58,47.5,22.1
2020,1,2020-01-05,S08000017,All ages,All,958,909.5,5.3
2020,1,2020-01-05,S08000017,All ages,Female,473,455.5,3.8
2020,1,2020-01-05,S08000017,All ages,Male,468,452,3.5
2020,1,2020-01-05,S08000019,Under 5,All,100,84.5,18.3
2020,1,2020-01-05,S08000019,5 - 14,All,55,61.5,-10.6
2020,1,2020-01-05,S08000019,15 - 44,All,415,392.5,5.7
2020,1,2020-01-05,S08000019,45 - 64,All,324,287.5,12.7
2020,1,2020-01-05,S08000019,65 - 74,All,133,127.5,4.3
