year,quarter,week_ending,hb,simd_quintile,number_attendances,average20182019,percent_variation
2020,1,2020-01-05,S08000015,1,789,734,7.5
2020,1,2020-01-05,S08000015,2,516,505.5,2.1
2020,1,2020-01-05,S08000015,3,288,290,-0.7
2020,1,2020-01-05,S08000015,4,231,212.5,8.7
2020,1,2020-01-05,S08000015,5,180,199,-9.5
2020,1,2020-01-05,S08000016,1,57,49,16.3
2020,1,2020-01-05,S08000016,2,122,105,16.2
2020,1,2020-01-05,S08000016,3,211,208,1.4
2020,1,2020-01-05,S08000016,4,232,180.5,28.5
2020,1,2020-01-05,S08000016,5,45,42,7.1
2020,1,2020-01-05,S08000017,1,132,121.5,8.6
2020,1,2020-01-05,S08000017,2,356,320.5,11.1
2020,1,2020-01-05,S08000017,3,275,261.5,5.2
2020,1,2020-01-05,S08000017,4,103,113,-8.8
2020,1,2020-01-05,S08000017,5,67,71,-5.6
2020,1,2020-01-05,S08000019,1,267,273,-2.2
2020,1,2020-01-05,S08000019,2,404,334,21
2020,1,2020-01-05,S08000019,3,188,203,-7.4
2020,1,2020-01-05,S08000019,4,206,188.5,9.3
2020,1,2020-01-05,S08000019,5,173,156.5,10.5
2020,1,2020-01-05,S08000020,1,127,138,-8
2020,1,2020-01-05,S08000020,2,385,380,1.3
2020,1,2020-01-05,S08000020,3,403,347.5,16
2020,1,2020-01-05,S08000020,4,561,480.5,16.8
2020,1,2020-01-05,S08000020,5,550,507,8.5
2020,1,2020-01-05,S08000022,1,135,149.5,-9.7
2020,1,2020-01-05,S08000022,2,236,230.5,2.4
2020,1,2020-01-05,S08000022,3,352,296,18.9
2020,1,2020-01-05,S08000022,4,379,312.5,21.3
2020,1,2020-01-05,S08000022,5,104,93.5,11.2
2020,1,2020-01-05,S08000024,1,785,811.5,-3.3
2020,1,2020-01-05,S08000024,2,984,1050.5,-6.3
2020,1,2020-01-05,S08000024,3,669,712,-6
2020,1,2020-01-05,S08000024,4,659,631.5,4.4
2020,1,2020-01-05,S08000024,5,799,795.5,0.4
2020,1,2020-01-05,S08000025,2,14,16.5,-15.2
2020,1,2020-01-05,S08000025,3,41,31,32.3
2020,1,2020-01-05,S08000025,4,59,54,9.3
2020,1,2020-01-05,S08000025,5,13,9.5,36.8
2020,1,2020-01-05,S08000026,2,13,7.5,73.3
2020,1,2020-01-05,S08000026,3,41,41.5,-1.2
2020,1,2020-01-05,S08000026,4,82,85,-3.5
2020,1,2020-01-05,S08000028,2,33,34,-2.9
2020,1,2020-01-05,S08000028,3,90,77,16.9
2020,1,2020-01-05,S08000028,4,13,10.5,23.8
2020,1,2020-01-05,S08000029,1,415,425.5,-2.5
2020,1,2020-01-05,S08000029,2,320,315.5,1.4
2020,1,2020-01-05,S08000029,3,218,239.5,-9
2020,1,2020-01-05,S08000029,4,162,126,28.6
2020,1,2020-01-05,S08000029,5,170,154.5,10
2020,1,2020-01-05,S08000030,1,334,301.5,10.8
2020,1,2020-01-05,S08000030,2,228,248.5,-8.2
2020,1,2020-01-05,S08000030,3,275,275,0
2020,1,2020-01-05,S08000030,4,291,318,-8.5
2020,1,2020-01-05,S08000030,5,185,220,-15.9
2020,1,2020-01-05,S08000031,1,3026,3086,-1.9
2020,1,2020-01-05,S08000031,2,1172,1223.5,-4.2
2020,1,2020-01-05,S08000031,3,848,848.5,-0.1
2020,1,2020-01-05,S08000031,4,703,743.5,-5.4
2020,1,2020-01-05,S08000031,5,734,755.5,-2.8
2020,1,2020-01-05,S08000032,1,1272,1214.5,4.7
2020,1,2020-01-05,S08000032,2,1104,1112.5,-0.8
2020,1,2020-01-05,S08000032,3,708,645.5,9.7
2020,1,2020-01-05,S08000032,4,454,446,1.8
2020,1,2020-01-05,S08000032,5,302,322,-6.2
2020,1,2020-01-05,S92000003,1,7341,7308,0.5
2020,1,2020-01-05,S92000003,2,5887,5884,0.1
2020,1,2020-01-05,S92000003,3,4607,4476,2.9
2020,1,2020-01-05,S92000003,4,4135,3902,6
2020,1,2020-01-05,S92000003,5,3323,3330.5,-0.2
2020,1,2020-01-12,S08000015,1,778,742.5,4.8
2020,1,2020-01-12,S08000015,2,478,517,-7.5
2020,1,2020-01-12,S08000015,3,302,293.5,2.9
2020,1,2020-01-12,S08000015,4,192,200.5,-4.2
2020,1,2020-01-12,S08000015,5,177,175.5,0.9
2020,1,2020-01-12,S08000016,1,38,35.5,7
2020,1,2020-01-12,S08000016,2,105,107.5,-2.3
2020,1,2020-01-12,S08000016,3,179,192,-6.8
2020,1,2020-01-12,S08000016,4,165,182,-9.3
2020,1,2020-01-12,S08000016,5,40,42,-4.8
2020,1,2020-01-12,S08000017,1,116,107.5,7.9
2020,1,2020-01-12,S08000017,2,289,281.5,2.7
2020,1,2020-01-12,S08000017,3,236,240.5,-1.9
2020,1,2020-01-12,S08000017,4,127,111,14.4
2020,1,2020-01-12,S08000017,5,63,53,18.9
2020,1,2020-01-12,S08000019,1,274,259,5.8
