year,quarter,week_ending,hscp,age_group,sex,number_attendances,average20182019,percent_variation
2020,1,2020-01-05,S37000001,Under 5,All,83,83.5,-0.6
2020,1,2020-01-05,S37000001,5 - 14,All,78,52.5,48.6
2020,1,2020-01-05,S37000001,15 - 44,All,385,354.5,8.6
2020,1,2020-01-05,S37000001,45 - 64,All,176,194.5,-9.5
2020,1,2020-01-05,S37000001,65 - 74,All,82,70.5,16.3
2020,1,2020-01-05,S37000001,75 - 84,All,71,69,2.9
2020,1,2020-01-05,S37000001,85 and over,All,59,38,55.3
2020,1,2020-01-05,S37000001,All ages,All,952,876,8.7
2020,1,2020-01-05,S37000001,All ages,Female,473,412,14.8
2020,1,2020-01-05,S37000001,All ages,Male,461,450.5,2.3
2020,1,2020-01-05,S37000002,Under 5,All,50,47.5,5.3
2020,1,2020-01-05,S37000002,5 - 14,All,49,41.5,18.1
2020,1,2020-01-05,S37000002,15 - 44,All,186,177,5.1
2020,1,2020-01-05,S37000002,45 - 64,All,156,125.5,24.3
2020,1,2020-01-05,S37000002,65 - 74,All,64,64.5,-0.8
2020,1,2020-01-05,S37000002,75 - 84,All,54,58.5,-7.7
2020,1,2020-01-05,S37000002,85 and over,All,25,34,-26.5
2020,1,2020-01-05,S37000002,All ages,All,587,550.5,6.6
2020,1,2020-01-05,S37000002,All ages,Female,286,277,3.2
2020,1,2020-01-05,S37000002,All ages,Male,298,271.5,9.8
2020,1,2020-01-05,S37000003,Under 5,All,17,16.5,3
2020,1,2020-01-05,S37000003,5 - 14,All,6,9.5,-36.8
2020,1,2020-01-05,S37000003,15 - 44,All,76,77.5,-1.9
2020,1,2020-01-05,S37000003,45 - 64,All,46,41,12.2
2020,1,2020-01-05,S37000003,65 - 74,All,20,24,-16.7
2020,1,2020-01-05,S37000003,75 - 84,All,35,23.5,48.9
2020,1,2020-01-05,S37000003,85 and over,All,23,18,27.8
2020,1,2020-01-05,S37000003,All ages,All,224,210.5,6.4
2020,1,2020-01-05,S37000003,All ages,Female,106,98.5,7.6
2020,1,2020-01-05,S37000003,All ages,Male,117,111.5,4.9
2020,1,2020-01-05,S37000004,Under 5,All,31,14.5,113.8
2020,1,2020-01-05,S37000004,5 - 14,All,15,11.5,30.4
2020,1,2020-01-05,S37000004,15 - 44,All,99,68.5,44.5
2020,1,2020-01-05,S37000004,45 - 64,All,54,43.5,24.1
2020,1,2020-01-05,S37000004,65 - 74,All,33,36,-8.3
2020,1,2020-01-05,S37000004,75 - 84,All,41,24.5,67.3
2020,1,2020-01-05,S37000004,85 and over,All,26,16.5,57.6
2020,1,2020-01-05,S37000004,All ages,All,303,219,38.4
2020,1,2020-01-05,S37000004,All ages,Female,157,113.5,38.3
2020,1,2020-01-05,S37000004,All ages,Male,142,101.5,39.9
2020,1,2020-01-05,S37000005,Under 5,All,33,31.5,4.8
2020,1,2020-01-05,S37000005,5 - 14,All,19,22.5,-15.6
2020,1,2020-01-05,S37000005,15 - 44,All,147,156,-5.8
2020,1,2020-01-05,S37000005,45 - 64,All,121,91.5,32.2
2020,1,2020-01-05,S37000005,65 - 74,All,60,51.5,16.5
2020,1,2020-01-05,S37000005,75 - 84,All,63,48,31.2
2020,1,2020-01-05,S37000005,85 and over,All,27,37.5,-28
2020,1,2020-01-05,S37000005,All ages,All,477,448,6.5
2020,1,2020-01-05,S37000005,All ages,Female,222,221.5,0.2
2020,1,2020-01-05,S37000005,All ages,Male,248,217,14.3
2020,1,2020-01-05,S37000006,Under 5,All,71,81,-12.3
2020,1,2020-01-05,S37000006,5 - 14,All,38,55.5,-31.5
2020,1,2020-01-05,S37000006,15 - 44,All,315,308,2.3
2020,1,2020-01-05,S37000006,45 - 64,All,212,185.5,14.3
2020,1,2020-01-05,S37000006,65 - 74,All,108,104,3.8
2020,1,2020-01-05,S37000006,75 - 84,All,115,96.5,19.2
2020,1,2020-01-05,S37000006,85 and over,All,57,45,26.7
2020,1,2020-01-05,S37000006,All ages,All,917,875.5,4.7
2020,1,2020-01-05,S37000006,All ages,Female,461,437.5,5.4
2020,1,2020-01-05,S37000006,All ages,Male,455,438,3.9
2020,1,2020-01-05,S37000007,Under 5,All,45,46,-2.2
2020,1,2020-01-05,S37000007,5 - 14,All,38,30,26.7
2020,1,2020-01-05,S37000007,15 - 44,All,226,226,0
2020,1,2020-01-05,S37000007,45 - 64,All,108,127,-15
2020,1,2020-01-05,S37000007,65 - 74,All,55,49,12.2
2020,1,2020-01-05,S37000007,75 - 84,All,44,41.5,6
2020,1,2020-01-05,S37000007,85 and over,All,40,29,37.9
2020,1,2020-01-05,S37000007,All ages,All,561,549,2.2
2020,1,2020-01-05,S37000007,All ages,Female,284,270,5.2
2020,1,2020-01-05,S37000007,All ages,Male,272,278.5,-2.3
2020,1,2020-01-05,S37000008,Under 5,All,83,65,27.7
2020,1,2020-01-05,S37000008,5 - 14,All,46,40,15
2020,1,2020-01-05,S37000008,15 - 44,All,241,246,-2
2020,1,2020-01-05,S37000008,45 - 64,All,171,156,9.6
2020,1,2020-01-05,S37000008,65 - 74,All,70,59.5,17.6
2020,1,2020-01-05,S37000008,75 - 84,All,50,58,-13.8
2020,1,2020-01-05,S37000008,85 and over,All,28,30,-6.7
2020,1,2020-01-05,S37000008,All ages,All,695,657.5,5.7
2020,1,2020-01-05,S37000008,All ages,Female,335,320.5,4.5
2020,1,2020-01-05,S37000008,All ages,Male,354,334,6
2020,1,2020-01-05,S37000009,Under 5,All,43,66,-34.8
2020,1,2020-01-05,S37000009,5 - 14,All,45,30.5,47.5
2020,1,2020-01-05,S37000009,15 - 44,All,103,98.5,4.6
2020,1,2020-01-05,S37000009,45 - 64,All,70,78.5,-10.8
2020,1,2020-01-05,S37000009,65 - 74,All,39,42.5,-8.2
2020,1,2020-01-05,S37000009,75 - 84,All,54,43.5,24.1
2020,1,2020-01-05,S37000009,85 and over,All,38,31,22.6
2020,1,2020-01-05,S37000009,All ages,All,394,391.5,0.6
2020,1,2020-01-05,S37000009,All ages,Female,200,199,0.5
2020,1,2020-01-05,S37000009,All ages,Male,192,191.5,0.3
2020,1,2020-01-05,S37000010,Under 5,All,69,84,-17.9
2020,1,2020-01-05,S37000010,5 - 14,All,29,42,-31
2020,1,2020-01-05,S37000010,15 - 44,All,132,132.5,-0.4
2020,1,2020-01-05,S37000010,45 - 64,All,90,95.5,-5.8
2020,1,2020-01-05,S37000010,65 - 74,All,43,44.5,-3.4
2020,1,2020-01-05,S37000010,75 - 84,All,33,49,-32.7
2020,1,2020-01-05,S37000010,85 and over,All,28,26.5,5.7
2020,1,2020-01-05,S37000010,All ages,All,428,477.5,-10.4
2020,1,2020-01-05,S37000010,All ages,Female,233,248.5,-6.2
2020,1,2020-01-05,S37000010,All ages,Male,191,225.5,-15.3
2020,1,2020-01-05,S37000011,Under 5,All,36,53,-32.1
2020,1,2020-01-05,S37000011,5 - 14,All,15,32.5,-53.8
2020,1,2020-01-05,S37000011,15 - 44,All,105,105,0
2020,1,2020-01-05,S37000011,45 - 64,All,84,92,-8.7
2020,1,2020-01-05,S37000011,65 - 74,All,44,36.5,20.5
2020,1,2020-01-05,S37000011,75 - 84,All,41,44.5,-7.9
2020,1,2020-01-05,S37000011,85 and over,All,23,31.5,-27
2020,1,2020-01-05,S37000011,All ages,All,350,395.5,-11.5
2020,1,2020-01-05,S37000011,All ages,Female,183,198,-7.6
2020,1,2020-01-05,S37000011,All ages,Male,165,197,-16.2
2020,1,2020-01-05,S37000012,Under 5,All,332,333,-0.3
2020,1,2020-01-05,S37000012,5 - 14,All,200,190,5.3
2020,1,2020-01-05,S37000012,15 - 44,All,682,651,4.8
2020,1,2020-01-05,S37000012,45 - 64,All,415,345,20.3
2020,1,2020-01-05,S37000012,65 - 74,All,153,151,1.3
2020,1,2020-01-05,S37000012,75 - 84,All,142,146.5,-3.1
2020,1,2020-01-05,S37000012,85 and over,All,113,125,-9.6
2020,1,2020-01-05,S37000012,All ages,All,2095,1998.5,4.8
2020,1,2020-01-05,S37000012,All ages,Female,1039,1013.5,2.5
2020,1,2020-01-05,S37000012,All ages,Male,998,928,7.5
2020,1,2020-01-05,S37000013,Under 5,All,68,53.5,27.1
2020,1,2020-01-05,S37000013,5 - 14,All,50,43.5,14.9
2020,1,2020-01-05,S37000013,15 - 44,All,245,231.5,5.8
