year,quarter,week_ending,hscp,simd_quintile,number_attendances,average20182019,percent_variation
2020,1,2020-01-05,S37000001,1,105,117.5,-10.6
2020,1,2020-01-05,S37000001,2,222,237.5,-6.5
2020,1,2020-01-05,S37000001,3,148,124.5,18.9
2020,1,2020-01-05,S37000001,4,161,127,26.8
2020,1,2020-01-05,S37000001,5,287,251,14.3
2020,1,2020-01-05,S37000002,1,11,11,0
2020,1,2020-01-05,S37000002,2,46,35.5,29.6
2020,1,2020-01-05,S37000002,3,104,97,7.2
2020,1,2020-01-05,S37000002,4,216,201.5,7.2
2020,1,2020-01-05,S37000002,5,199,200.5,-0.7
2020,1,2020-01-05,S37000003,1,21,15.5,35.5
2020,1,2020-01-05,S37000003,2,44,32.5,35.4
2020,1,2020-01-05,S37000003,3,75,64.5,16.3
2020,1,2020-01-05,S37000003,4,50,55.5,-9.9
2020,1,2020-01-05,S37000003,5,29,40.5,-28.4
2020,1,2020-01-05,S37000004,1,24,17.5,37.1
2020,1,2020-01-05,S37000004,2,55,31.5,74.6
2020,1,2020-01-05,S37000004,3,111,75.5,47
2020,1,2020-01-05,S37000004,4,81,70.5,14.9
2020,1,2020-01-05,S37000004,5,24,17.5,37.1
2020,1,2020-01-05,S37000005,1,120,119.5,0.4
2020,1,2020-01-05,S37000005,2,118,92.5,27.6
2020,1,2020-01-05,S37000005,3,69,71.5,-3.5
2020,1,2020-01-05,S37000005,4,92,83.5,10.2
2020,1,2020-01-05,S37000005,5,67,70,-4.3
2020,1,2020-01-05,S37000006,1,125,118.5,5.5
2020,1,2020-01-05,S37000006,2,352,319,10.3
2020,1,2020-01-05,S37000006,3,272,260,4.6
2020,1,2020-01-05,S37000006,4,100,109,-8.3
2020,1,2020-01-05,S37000006,5,63,68,-7.4
2020,1,2020-01-05,S37000007,1,262,234.5,11.7
2020,1,2020-01-05,S37000007,2,104,127.5,-18.4
2020,1,2020-01-05,S37000007,3,75,60.5,24
2020,1,2020-01-05,S37000007,4,62,67.5,-8.1
2020,1,2020-01-05,S37000007,5,48,58,-17.2
2020,1,2020-01-05,S37000008,1,269,258.5,4.1
2020,1,2020-01-05,S37000008,2,193,169,14.2
2020,1,2020-01-05,S37000008,3,95,103,-7.8
2020,1,2020-01-05,S37000008,4,81,68,19.1
2020,1,2020-01-05,S37000008,5,44,54.5,-19.3
2020,1,2020-01-05,S37000009,1,34,35,-2.9
2020,1,2020-01-05,S37000009,2,85,75,13.3
2020,1,2020-01-05,S37000009,3,36,25.5,41.2
2020,1,2020-01-05,S37000009,4,56,77.5,-27.7
2020,1,2020-01-05,S37000009,5,176,174.5,0.9
2020,1,2020-01-05,S37000010,1,25,28,-10.7
2020,1,2020-01-05,S37000010,2,138,170.5,-19.1
2020,1,2020-01-05,S37000010,3,87,85.5,1.8
2020,1,2020-01-05,S37000010,4,100,119.5,-16.3
2020,1,2020-01-05,S37000010,5,47,59.5,-21
2020,1,2020-01-05,S37000011,1,35,50.5,-30.7
2020,1,2020-01-05,S37000011,2,51,54,-5.6
2020,1,2020-01-05,S37000011,3,35,52,-32.7
2020,1,2020-01-05,S37000011,4,59,70,-15.7
2020,1,2020-01-05,S37000011,5,166,168,-1.2
2020,1,2020-01-05,S37000012,1,464,471.5,-1.6
2020,1,2020-01-05,S37000012,2,319,350.5,-9
2020,1,2020-01-05,S37000012,3,266,270.5,-1.7
2020,1,2020-01-05,S37000012,4,325,279.5,16.3
2020,1,2020-01-05,S37000012,5,612,559,9.5
2020,1,2020-01-05,S37000013,1,149,155.5,-4.2
2020,1,2020-01-05,S37000013,2,281,240.5,16.8
2020,1,2020-01-05,S37000013,3,118,124,-4.8
2020,1,2020-01-05,S37000013,4,116,110,5.5
2020,1,2020-01-05,S37000013,5,96,86,11.6
2020,1,2020-01-05,S37000016,1,119,136,-12.5
2020,1,2020-01-05,S37000016,2,207,202.5,2.2
2020,1,2020-01-05,S37000016,3,280,250.5,11.8
2020,1,2020-01-05,S37000016,4,315,261,20.7
2020,1,2020-01-05,S37000016,5,87,83,4.8
2020,1,2020-01-05,S37000017,1,318,310.5,2.4
2020,1,2020-01-05,S37000017,2,68,85,-20
2020,1,2020-01-05,S37000017,3,87,76.5,13.7
2020,1,2020-01-05,S37000017,4,73,83.5,-12.6
2020,1,2020-01-05,S37000017,5,45,43,4.7
2020,1,2020-01-05,S37000018,1,57,71.5,-20.3
2020,1,2020-01-05,S37000018,2,205,197,4.1
2020,1,2020-01-05,S37000018,3,110,108.5,1.4
2020,1,2020-01-05,S37000018,4,69,54.5,26.6
2020,1,2020-01-05,S37000018,5,40,45.5,-12.1
2020,1,2020-01-05,S37000019,1,10,6,66.7
2020,1,2020-01-05,S37000019,2,107,105,1.9
2020,1,2020-01-05,S37000019,3,157,129.5,21.2
2020,1,2020-01-05,S37000019,4,187,156,19.9
2020,1,2020-01-05,S37000019,5,89,63.5,40.2
2020,1,2020-01-05,S37000020,1,342,337,1.5
2020,1,2020-01-05,S37000020,2,143,156.5,-8.6
2020,1,2020-01-05,S37000020,3,81,69,17.4
2020,1,2020-01-05,S37000020,4,88,80,10
2020,1,2020-01-05,S37000020,5,55,57,-3.5
2020,1,2020-01-05,S37000022,2,13,16,-18.8
2020,1,2020-01-05,S37000022,3,41,31.5,30.2
2020,1,2020-01-05,S37000022,4,55,54.5,0.9
2020,1,2020-01-05,S37000022,5,11,9,22.2
2020,1,2020-01-05,S37000024,1,393,411,-4.4
2020,1,2020-01-05,S37000024,2,194,227.5,-14.7
2020,1,2020-01-05,S37000024,3,169,189.5,-10.8
2020,1,2020-01-05,S37000024,4,144,135.5,6.3
2020,1,2020-01-05,S37000024,5,135,124.5,8.4
2020,1,2020-01-05,S37000025,1,49,46,6.5
2020,1,2020-01-05,S37000025,2,123,103.5,18.8
2020,1,2020-01-05,S37000025,3,207,204,1.5
2020,1,2020-01-05,S37000025,4,240,187.5,28
2020,1,2020-01-05,S37000025,5,41,42.5,-3.5
2020,1,2020-01-05,S37000026,2,13,7,85.7
2020,1,2020-01-05,S37000026,3,40,42,-4.8
2020,1,2020-01-05,S37000026,4,82,84.5,-3
2020,1,2020-01-05,S37000027,1,176,149.5,17.7
2020,1,2020-01-05,S37000027,2,194,193,0.5
2020,1,2020-01-05,S37000027,3,120,126,-4.8
2020,1,2020-01-05,S37000027,4,78,78,0
2020,1,2020-01-05,S37000027,5,99,106.5,-7
2020,1,2020-01-05,S37000028,1,471,469.5,0.3
2020,1,2020-01-05,S37000028,2,559,573.5,-2.5
2020,1,2020-01-05,S37000028,3,367,364.5,0.7
2020,1,2020-01-05,S37000028,4,297,290.5,2.2
2020,1,2020-01-05,S37000028,5,165,182,-9.3
2020,1,2020-01-05,S37000029,1,200,175.5,14
2020,1,2020-01-05,S37000029,2,95,85,11.8
2020,1,2020-01-05,S37000029,3,52,50.5,3
2020,1,2020-01-05,S37000029,4,23,27.5,-16.4
