year,quarter,hb,location,specialty,specialty_name,all_staffed_beds,total_occupied_beds,average_available_staffed_beds,average_occupied_beds,percentage_occupancy
2016,2,SB0801,D102H,NA,All Acute,16875,13158,185.43956043956044,144.5934065934066,77.97333333333334
2016,2,SB0801,SB0801,NA,All Acute,16875,13158,185.43956043956044,144.5934065934066,77.97333333333334
2016,3,SB0801,D102H,NA,All Acute,16413,12380,178.40217391304347,134.56521739130434,75.42801437884604
2016,3,SB0801,SB0801,NA,All Acute,16413,12380,178.40217391304347,134.56521739130434,75.42801437884604
2016,4,SB0801,D102H,NA,All Acute,16117,12049,175.18478260869566,130.9673913043478,74.7595706396972
2016,4,SB0801,SB0801,NA,All Acute,16117,12049,175.18478260869566,130.9673913043478,74.7595706396972
2017,1,SB0801,D102H,NA,All Acute,15622,11569,173.57777777777778,128.54444444444445,74.0558187171937
2017,1,SB0801,SB0801,NA,All Acute,15622,11569,173.57777777777778,128.54444444444445,74.0558187171937
2017,2,SB0801,D102H,NA,All Acute,15604,11614,171.47252747252747,127.62637362637362,74.42963342732632
2017,2,SB0801,SB0801,NA,All Acute,15604,11614,171.47252747252747,127.62637362637362,74.42963342732632
2017,3,SB0801,D102H,NA,All Acute,15426,11658,167.67391304347825,126.71739130434784,75.57370672889927
2017,3,SB0801,SB0801,NA,All Acute,15426,11658,167.67391304347825,126.71739130434784,75.57370672889927
2017,4,SB0801,D102H,NA,All Acute,16159,12434,175.6413043478261,135.15217391304347,76.94783093013181
2017,4,SB0801,SB0801,NA,All Acute,16159,12434,175.6413043478261,135.15217391304347,76.94783093013181
2018,1,SB0801,D102H,NA,All Acute,15681,11871,174.23333333333332,131.9,75.70308016070405
2018,1,SB0801,SB0801,NA,All Acute,15681,11871,174.23333333333332,131.9,75.70308016070405
2018,2,SB0801,D102H,NA,All Acute,15817,12349,173.8131868131868,135.7032967032967,78.0742239362711
2018,2,SB0801,SB0801,NA,All Acute,15817,12349,173.8131868131868,135.7032967032967,78.0742239362711
2018,3,SB0801,D102H,NA,All Acute,15806,12390,171.80434782608697,134.67391304347825,78.38795394154118
2018,3,SB0801,SB0801,NA,All Acute,15806,12390,171.80434782608697,134.67391304347825,78.38795394154118
2018,4,SB0801,D102H,NA,All Acute,14852,11765,161.43478260869566,127.8804347826087,79.21492054942095
2018,4,SB0801,SB0801,NA,All Acute,14852,11765,161.43478260869566,127.8804347826087,79.21492054942095
2019,1,SB0801,D102H,NA,All Acute,14783,11654,164.25555555555556,129.48888888888888,78.83379557599946
2019,1,SB0801,SB0801,NA,All Acute,14783,11654,164.25555555555556,129.48888888888888,78.83379557599946
2019,2,SB0801,D102H,NA,All Acute,14929,11897,164.05494505494505,130.73626373626374,79.69053519994641
2017,1,S08000015,A101H,NA,All Acute,9,9,0.1,0.1,100
2019,2,SB0801,SB0801,NA,All Acute,14929,11897,164.05494505494505,130.73626373626374,79.69053519994641
2019,3,SB0801,D102H,NA,All Acute,15392,12067,167.30434782608697,131.16304347826087,78.39786902286902
2019,3,SB0801,SB0801,NA,All Acute,15392,12067,167.30434782608697,131.16304347826087,78.39786902286902
2019,4,SB0801,D102H,NA,All Acute,15603,11659,169.59782608695653,126.72826086956522,74.72280971608023
2019,4,SB0801,SB0801,NA,All Acute,15603,11659,169.59782608695653,126.72826086956522,74.72280971608023
2020,1,SB0801,D102H,NA,All Acute,14896,10915,163.69230769230768,119.94505494505496,73.27470461868958
