year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-05,S08000015,Under 5,All,All,89,93,-4.3
2020,1,2020-01-05,S08000015,5 - 14,All,All,26,33,-21.2
2020,1,2020-01-05,S08000015,15 - 44,All,All,171,191.5,-10.7
2020,1,2020-01-05,S08000015,45 - 64,All,All,245,259,-5.4
2020,1,2020-01-05,S08000015,65 - 74,All,All,184,195.5,-5.9
2020,1,2020-01-05,S08000015,75 - 84,All,All,169,179.5,-5.8
2020,1,2020-01-05,S08000015,85 and over,All,All,106,128,-17.2
2020,1,2020-01-05,S08000015,All ages,All,All,990,1079.5,-8.3
2020,1,2020-01-05,S08000015,All ages,Female,All,493,540.5,-8.8
2020,1,2020-01-05,S08000015,All ages,Male,All,488,529.5,-7.8
2020,1,2020-01-05,S08000016,Under 5,All,All,25,28.5,-12.3
2020,1,2020-01-05,S08000016,15 - 44,All,All,27,33.5,-19.4
2020,1,2020-01-05,S08000016,45 - 64,All,All,44,51.5,-14.6
2020,1,2020-01-05,S08000016,65 - 74,All,All,59,45.5,29.7
2020,1,2020-01-05,S08000016,75 - 84,All,All,65,60,8.3
2020,1,2020-01-05,S08000016,85 and over,All,All,53,44,20.5
2020,1,2020-01-05,S08000016,All ages,All,All,275,270.5,1.7
2020,1,2020-01-05,S08000016,All ages,Female,All,139,134.5,3.3
2020,1,2020-01-05,S08000016,All ages,Male,All,131,133.5,-1.9
2020,1,2020-01-05,S08000017,Under 5,All,All,29,35.5,-18.3
2020,1,2020-01-05,S08000017,5 - 14,All,All,7,12,-41.7
2020,1,2020-01-05,S08000017,15 - 44,All,All,64,69.5,-7.9
2020,1,2020-01-05,S08000017,45 - 64,All,All,89,69,29
2020,1,2020-01-05,S08000017,65 - 74,All,All,66,70,-5.7
2020,1,2020-01-05,S08000017,75 - 84,All,All,82,79.5,3.1
2020,1,2020-01-05,S08000017,85 and over,All,All,56,58.5,-4.3
2020,1,2020-01-05,S08000017,All ages,All,All,393,394,-0.3
2020,1,2020-01-05,S08000017,All ages,Female,All,194,193,0.5
2020,1,2020-01-05,S08000017,All ages,Male,All,191,196,-2.6
2020,1,2020-01-05,S08000019,Under 5,All,All,39,117.5,-66.8
2020,1,2020-01-05,S08000019,5 - 14,All,All,19,43.5,-56.3
2020,1,2020-01-05,S08000019,15 - 44,All,All,142,222.5,-36.2
2020,1,2020-01-05,S08000019,45 - 64,All,All,201,283,-29
2020,1,2020-01-05,S08000019,65 - 74,All,All,110,229.5,-52.1
2020,1,2020-01-05,S08000019,75 - 84,All,All,167,297,-43.8
2020,1,2020-01-05,S08000019,85 and over,All,All,85,200,-57.5
2020,1,2020-01-05,S08000019,All ages,All,All,763,1393,-45.2
2020,1,2020-01-05,S08000019,All ages,Female,All,386,691.5,-44.2
2020,1,2020-01-05,S08000019,All ages,Male,All,370,686.5,-46.1
2020,1,2020-01-05,S08000020,Under 5,All,All,119,87,36.8
2020,1,2020-01-05,S08000020,5 - 14,All,All,60,37.5,60
2020,1,2020-01-05,S08000020,15 - 44,All,All,195,188,3.7
2020,1,2020-01-05,S08000020,45 - 64,All,All,260,262.5,-1
2020,1,2020-01-05,S08000020,65 - 74,All,All,186,198,-6.1
2020,1,2020-01-05,S08000020,75 - 84,All,All,199,227.5,-12.5
2020,1,2020-01-05,S08000020,85 and over,All,All,146,156,-6.4
2020,1,2020-01-05,S08000020,All ages,All,All,1165,1156.5,0.7
2020,1,2020-01-05,S08000020,All ages,Female,All,561,560,0.2
2020,1,2020-01-05,S08000020,All ages,Male,All,592,576,2.8
2020,1,2020-01-05,S08000022,Under 5,All,All,54,54.5,-0.9
2020,1,2020-01-05,S08000022,5 - 14,All,All,22,15,46.7
2020,1,2020-01-05,S08000022,15 - 44,All,All,124,123.5,0.4
2020,1,2020-01-05,S08000022,45 - 64,All,All,172,168,2.4
2020,1,2020-01-05,S08000022,65 - 74,All,All,138,126,9.5
2020,1,2020-01-05,S08000022,75 - 84,All,All,142,129,10.1
2020,1,2020-01-05,S08000022,85 and over,All,All,92,87,5.7
2020,1,2020-01-05,S08000022,All ages,All,All,744,703,5.8
2020,1,2020-01-05,S08000022,All ages,Female,All,374,351.5,6.4
2020,1,2020-01-05,S08000022,All ages,Male,All,347,336,3.3
2020,1,2020-01-05,S08000024,Under 5,All,All,162,118,37.3
2020,1,2020-01-05,S08000024,5 - 14,All,All,80,63.5,26
2020,1,2020-01-05,S08000024,15 - 44,All,All,478,384.5,24.3
2020,1,2020-01-05,S08000024,45 - 64,All,All,527,442,19.2
2020,1,2020-01-05,S08000024,65 - 74,All,All,343,323,6.2
2020,1,2020-01-05,S08000024,75 - 84,All,All,365,340.5,7.2
2020,1,2020-01-05,S08000024,85 and over,All,All,240,228.5,5
2020,1,2020-01-05,S08000024,All ages,All,All,2195,1900,15.5
2020,1,2020-01-05,S08000024,All ages,Female,All,1101,922,19.4
2020,1,2020-01-05,S08000024,All ages,Male,All,1043,937.5,11.3
2020,1,2020-01-05,S08000025,15 - 44,All,All,6,6.5,-7.7
2020,1,2020-01-05,S08000025,45 - 64,All,All,7,3,133.3
2020,1,2020-01-05,S08000025,65 - 74,All,All,10,7,42.9
2020,1,2020-01-05,S08000025,75 - 84,All,All,11,11,0
2020,1,2020-01-05,S08000025,85 and over,All,All,5,4.5,11.1
2020,1,2020-01-05,S08000025,All ages,All,All,40,35,14.3
2020,1,2020-01-05,S08000025,All ages,Female,All,16,18.5,-13.5
2020,1,2020-01-05,S08000025,All ages,Male,All,23,16.5,39.4
2020,1,2020-01-05,S08000026,15 - 44,All,All,6,9.5,-36.8
2020,1,2020-01-05,S08000026,45 - 64,All,All,6,13,-53.8
2020,1,2020-01-05,S08000026,75 - 84,All,All,8,7.5,6.7
2020,1,2020-01-05,S08000026,All ages,All,All,28,39.5,-29.1
2020,1,2020-01-05,S08000026,All ages,Female,All,15,19.5,-23.1
2020,1,2020-01-05,S08000026,All ages,Male,All,13,17,-23.5
2020,1,2020-01-05,S08000028,15 - 44,All,All,12,11,9.1
2020,1,2020-01-05,S08000028,45 - 64,All,All,12,20,-40
2020,1,2020-01-05,S08000028,65 - 74,All,All,14,19,-26.3
2020,1,2020-01-05,S08000028,75 - 84,All,All,13,18.5,-29.7
2020,1,2020-01-05,S08000028,85 and over,All,All,13,14,-7.1
2020,1,2020-01-05,S08000028,All ages,All,All,66,86,-23.3
2020,1,2020-01-05,S08000028,All ages,Female,All,30,43.5,-31
2020,1,2020-01-05,S08000028,All ages,Male,All,34,41.5,-18.1
2020,1,2020-01-05,S08000029,Under 5,All,All,73,77,-5.2
2020,1,2020-01-05,S08000029,5 - 14,All,All,21,22.5,-6.7
2020,1,2020-01-05,S08000029,15 - 44,All,All,175,172,1.7
2020,1,2020-01-05,S08000029,45 - 64,All,All,193,210.5,-8.3
2020,1,2020-01-05,S08000029,65 - 74,All,All,162,155.5,4.2
2020,1,2020-01-05,S08000029,75 - 84,All,All,174,158,10.1
2020,1,2020-01-05,S08000029,85 and over,All,All,116,109,6.4
2020,1,2020-01-05,S08000029,All ages,All,All,914,904.5,1.1
2020,1,2020-01-05,S08000029,All ages,Female,All,445,435.5,2.2
2020,1,2020-01-05,S08000029,All ages,Male,All,461,464,-0.6
2020,1,2020-01-05,S08000030,Under 5,All,All,75,98.5,-23.9
2020,1,2020-01-05,S08000030,5 - 14,All,All,40,42.5,-5.9
2020,1,2020-01-05,S08000030,15 - 44,All,All,209,193.5,8
2020,1,2020-01-05,S08000030,45 - 64,All,All,233,241.5,-3.5
2020,1,2020-01-05,S08000030,65 - 74,All,All,182,194.5,-6.4
2020,1,2020-01-05,S08000030,75 - 84,All,All,227,230,-1.3
2020,1,2020-01-05,S08000030,85 and over,All,All,173,173,0
2020,1,2020-01-05,S08000030,All ages,All,All,1139,1173.5,-2.9
2020,1,2020-01-05,S08000030,All ages,Female,All,578,610,-5.2
2020,1,2020-01-05,S08000030,All ages,Male,All,549,562,-2.3
2020,1,2020-01-05,S08000031,Under 5,All,All,256,298,-14.1
2020,1,2020-01-05,S08000031,5 - 14,All,All,138,122,13.1
2020,1,2020-01-05,S08000031,15 - 44,All,All,732,666,9.9
2020,1,2020-01-05,S08000031,45 - 64,All,All,899,912,-1.4
2020,1,2020-01-05,S08000031,65 - 74,All,All,565,600,-5.8
2020,1,2020-01-05,S08000031,75 - 84,All,All,606,667.5,-9.2
2020,1,2020-01-05,S08000031,85 and over,All,All,396,434,-8.8
2020,1,2020-01-05,S08000031,All ages,All,All,3592,3699.5,-2.9
2020,1,2020-01-05,S08000031,All ages,Female,All,1789,1858.5,-3.7
2020,1,2020-01-05,S08000031,All ages,Male,All,1750,1795,-2.5
2020,1,2020-01-05,S08000032,Under 5,All,All,163,189.5,-14
2020,1,2020-01-05,S08000032,5 - 14,All,All,45,33,36.4
2020,1,2020-01-05,S08000032,15 - 44,All,All,294,300.5,-2.2
2020,1,2020-01-05,S08000032,45 - 64,All,All,385,404,-4.7
2020,1,2020-01-05,S08000032,65 - 74,All,All,312,269.5,15.8
2020,1,2020-01-05,S08000032,75 - 84,All,All,287,304.5,-5.7
2020,1,2020-01-05,S08000032,85 and over,All,All,154,146.5,5.1
2020,1,2020-01-05,S08000032,All ages,All,All,1640,1647.5,-0.5
2020,1,2020-01-05,S08000032,All ages,Female,All,753,799,-5.8
