year,quarter,week_ending,hb,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-05,S08000015,1,All,368,396,-7.1
2020,1,2020-01-05,S08000015,2,All,249,275,-9.5
2020,1,2020-01-05,S08000015,3,All,167,165.5,0.9
2020,1,2020-01-05,S08000015,4,All,120,123,-2.4
2020,1,2020-01-05,S08000015,5,All,78,115,-32.2
2020,1,2020-01-05,S08000016,1,All,22,25.5,-13.7
2020,1,2020-01-05,S08000016,2,All,57,51,11.8
2020,1,2020-01-05,S08000016,3,All,97,101,-4
2020,1,2020-01-05,S08000016,4,All,83,72,15.3
2020,1,2020-01-05,S08000016,5,All,10,16.5,-39.4
2020,1,2020-01-05,S08000017,1,All,44,47,-6.4
2020,1,2020-01-05,S08000017,2,All,123,120.5,2.1
2020,1,2020-01-05,S08000017,3,All,130,141,-7.8
2020,1,2020-01-05,S08000017,4,All,54,49,10.2
2020,1,2020-01-05,S08000017,5,All,35,29.5,18.6
2020,1,2020-01-05,S08000019,1,All,183,330.5,-44.6
2020,1,2020-01-05,S08000019,2,All,201,334.5,-39.9
2020,1,2020-01-05,S08000019,3,All,141,308.5,-54.3
2020,1,2020-01-05,S08000019,4,All,124,211.5,-41.4
2020,1,2020-01-05,S08000019,5,All,110,197.5,-44.3
2020,1,2020-01-05,S08000020,1,All,93,91.5,1.6
2020,1,2020-01-05,S08000020,2,All,227,226.5,0.2
2020,1,2020-01-05,S08000020,3,All,281,257.5,9.1
2020,1,2020-01-05,S08000020,4,All,301,315.5,-4.6
2020,1,2020-01-05,S08000020,5,All,256,254.5,0.6
2020,1,2020-01-05,S08000022,1,All,91,94.5,-3.7
2020,1,2020-01-05,S08000022,2,All,126,143.5,-12.2
2020,1,2020-01-05,S08000022,3,All,262,242.5,8
2020,1,2020-01-05,S08000022,4,All,207,163,27
2020,1,2020-01-05,S08000022,5,All,39,46,-15.2
2020,1,2020-01-05,S08000024,1,All,361,332.5,8.6
2020,1,2020-01-05,S08000024,2,All,557,496.5,12.2
2020,1,2020-01-05,S08000024,3,All,421,315,33.7
2020,1,2020-01-05,S08000024,4,All,366,329.5,11.1
2020,1,2020-01-05,S08000024,5,All,456,393,16
2020,1,2020-01-05,S08000025,3,All,10,6.5,53.8
