year,quarter,week_ending,hb,admission_type,specialty,number_admissions,average20182019,percent_variation
2020,1,2020-01-05,S08000015,All,Accident & Emergency,30,30.5,-1.6
2020,1,2020-01-05,S08000015,All,All,990,1079.5,-8.3
2020,1,2020-01-05,S08000015,All,Cardiology,17,11.5,47.8
2020,1,2020-01-05,S08000015,All,Medical (excl. Cardiology & Cancer),606,663,-8.6
2020,1,2020-01-05,S08000015,All,Medical (incl. Cardiology & Cancer),623,674.5,-7.6
2020,1,2020-01-05,S08000015,All,Paediatrics (medical & surgical),116,128.5,-9.7
2020,1,2020-01-05,S08000015,All,Paediatrics (medical),116,128.5,-9.7
2020,1,2020-01-05,S08000015,All,Surgery,221,246,-10.2
2020,1,2020-01-05,S08000016,All,All,275,270.5,1.7
2020,1,2020-01-05,S08000016,All,Cardiology,9,6,50
2020,1,2020-01-05,S08000016,All,Community,12,17.5,-31.4
2020,1,2020-01-05,S08000016,All,Medical (excl. Cardiology & Cancer),171,143.5,19.2
2020,1,2020-01-05,S08000016,All,Medical (incl. Cardiology & Cancer),180,149.5,20.4
2020,1,2020-01-05,S08000016,All,Paediatrics (medical & surgical),28,35.5,-21.1
2020,1,2020-01-05,S08000016,All,Paediatrics (medical),28,35.5,-21.1
2020,1,2020-01-05,S08000016,All,Surgery,55,68,-19.1
2020,1,2020-01-05,S08000017,All,All,393,394,-0.3
2020,1,2020-01-05,S08000017,All,Community,30,29,3.4
2020,1,2020-01-05,S08000017,All,Gynaecology,12,16,-25
2020,1,2020-01-05,S08000017,All,Medical (excl. Cardiology & Cancer),224,211.5,5.9
2020,1,2020-01-05,S08000017,All,Medical (incl. Cardiology & Cancer),227,213,6.6
2020,1,2020-01-05,S08000017,All,Paediatrics (medical & surgical),35,42.5,-17.6
2020,1,2020-01-05,S08000017,All,Paediatrics (medical),35,42.5,-17.6
2020,1,2020-01-05,S08000017,All,Surgery,89,93,-4.3
2020,1,2020-01-05,S08000019,All,All,763,1393,-45.2
2020,1,2020-01-05,S08000019,All,Gynaecology,24,59.5,-59.7
2020,1,2020-01-05,S08000019,All,Medical (excl. Cardiology & Cancer),496,906,-45.3
2020,1,2020-01-05,S08000019,All,Medical (incl. Cardiology & Cancer),498,912,-45.4
2020,1,2020-01-05,S08000019,All,Paediatrics (medical & surgical),62,161.5,-61.6
2020,1,2020-01-05,S08000019,All,Paediatrics (medical),62,160.5,-61.4
2020,1,2020-01-05,S08000019,All,Surgery,176,247,-28.7
2020,1,2020-01-05,S08000020,All,Accident & Emergency,58,39.5,46.8
2020,1,2020-01-05,S08000020,All,All,1165,1156.5,0.7
2020,1,2020-01-05,S08000020,All,Cancer,34,32,6.2
2020,1,2020-01-05,S08000020,All,Cardiology,28,38.5,-27.3
2020,1,2020-01-05,S08000020,All,Community,44,56.5,-22.1
2020,1,2020-01-05,S08000020,All,Gynaecology,18,16,12.5
2020,1,2020-01-05,S08000020,All,Medical (excl. Cardiology & Cancer),514,524.5,-2
2020,1,2020-01-05,S08000020,All,Medical (incl. Cardiology & Cancer),576,595,-3.2
2020,1,2020-01-05,S08000020,All,Paediatrics (medical & surgical),138,107,29
2020,1,2020-01-05,S08000020,All,Paediatrics (medical),126,98.5,27.9
2020,1,2020-01-05,S08000020,All,Paediatrics (surgical),12,8.5,41.2
2020,1,2020-01-05,S08000020,All,Surgery,331,341.5,-3.1
2020,1,2020-01-05,S08000022,All,All,744,703,5.8
2020,1,2020-01-05,S08000022,All,Cardiology,7,9,-22.2
2020,1,2020-01-05,S08000022,All,Community,99,100,-1
2020,1,2020-01-05,S08000022,All,Gynaecology,18,19.5,-7.7
2020,1,2020-01-05,S08000022,All,Medical (excl. Cardiology & Cancer),335,321.5,4.2
2020,1,2020-01-05,S08000022,All,Medical (incl. Cardiology & Cancer),346,345,0.3
2020,1,2020-01-05,S08000022,All,Paediatrics (medical & surgical),70,66,6.1
2020,1,2020-01-05,S08000022,All,Paediatrics (medical),69,66,4.5
2020,1,2020-01-05,S08000022,All,Surgery,211,171.5,23
2020,1,2020-01-05,S08000024,All,Accident & Emergency,268,49,446.9
2020,1,2020-01-05,S08000024,All,All,2195,1900,15.5
2020,1,2020-01-05,S08000024,All,Cancer,109,74.5,46.3
2020,1,2020-01-05,S08000024,All,Cardiology,57,65,-12.3
2020,1,2020-01-05,S08000024,All,Gynaecology,48,38.5,24.7
2020,1,2020-01-05,S08000024,All,Medical (excl. Cardiology & Cancer),919,1001,-8.2
2020,1,2020-01-05,S08000024,All,Medical (incl. Cardiology & Cancer),1085,1140.5,-4.9
2020,1,2020-01-05,S08000024,All,Paediatrics (medical & surgical),189,144,31.2
2020,1,2020-01-05,S08000024,All,Paediatrics (medical),168,130,29.2
2020,1,2020-01-05,S08000024,All,Paediatrics (surgical),21,14,50
2020,1,2020-01-05,S08000024,All,Surgery,605,528,14.6
2020,1,2020-01-05,S08000025,All,All,40,35,14.3
2020,1,2020-01-05,S08000025,All,Medical (excl. Cardiology & Cancer),31,22,40.9
2020,1,2020-01-05,S08000025,All,Medical (incl. Cardiology & Cancer),31,22.5,37.8
2020,1,2020-01-05,S08000025,All,Surgery,9,12,-25
2020,1,2020-01-05,S08000026,All,All,28,39.5,-29.1
2020,1,2020-01-05,S08000026,All,Medical (excl. Cardiology & Cancer),16,22,-27.3
2020,1,2020-01-05,S08000026,All,Medical (incl. Cardiology & Cancer),16,22,-27.3
2020,1,2020-01-05,S08000026,All,Surgery,12,17.5,-31.4
2020,1,2020-01-05,S08000028,All,All,66,86,-23.3
2020,1,2020-01-05,S08000028,All,Community,11,14.5,-24.1
2020,1,2020-01-05,S08000028,All,Medical (excl. Cardiology & Cancer),37,50,-26
2020,1,2020-01-05,S08000028,All,Medical (incl. Cardiology & Cancer),37,50,-26
2020,1,2020-01-05,S08000028,All,Surgery,15,17,-11.8
2020,1,2020-01-05,S08000029,All,Accident & Emergency,74,63,17.5
2020,1,2020-01-05,S08000029,All,All,914,904.5,1.1
2020,1,2020-01-05,S08000029,All,Cardiology,34,24,41.7
2020,1,2020-01-05,S08000029,All,Community,14,12,16.7
2020,1,2020-01-05,S08000029,All,Gynaecology,19,22.5,-15.6
2020,1,2020-01-05,S08000029,All,Medical (excl. Cardiology & Cancer),478,483.5,-1.1
2020,1,2020-01-05,S08000029,All,Medical (incl. Cardiology & Cancer),512,508,0.8
2020,1,2020-01-05,S08000029,All,Paediatrics (medical & surgical),93,95,-2.1
2020,1,2020-01-05,S08000029,All,Paediatrics (medical),92,95,-3.2
2020,1,2020-01-05,S08000029,All,Surgery,202,202.5,-0.2
2020,1,2020-01-05,S08000030,All,Accident & Emergency,82,76,7.9
2020,1,2020-01-05,S08000030,All,All,1139,1173.5,-2.9
2020,1,2020-01-05,S08000030,All,Cancer,23,20.5,12.2
2020,1,2020-01-05,S08000030,All,Cardiology,19,27.5,-30.9
2020,1,2020-01-05,S08000030,All,Community,9,24,-62.5
2020,1,2020-01-05,S08000030,All,Gynaecology,21,23,-8.7
2020,1,2020-01-05,S08000030,All,Medical (excl. Cardiology & Cancer),564,567.5,-0.6
2020,1,2020-01-05,S08000030,All,Medical (incl. Cardiology & Cancer),606,615.5,-1.5
2020,1,2020-01-05,S08000030,All,Paediatrics (medical & surgical),122,142,-14.1
2020,1,2020-01-05,S08000030,All,Paediatrics (medical),122,142,-14.1
2020,1,2020-01-05,S08000030,All,Surgery,298,292,2.1
2020,1,2020-01-05,S08000031,All,Accident & Emergency,31,34.5,-10.1
2020,1,2020-01-05,S08000031,All,All,3592,3699.5,-2.9
2020,1,2020-01-05,S08000031,All,Cancer,71,81.5,-12.9
2020,1,2020-01-05,S08000031,All,Cardiology,121,130,-6.9
2020,1,2020-01-05,S08000031,All,Gynaecology,103,106.5,-3.3
2020,1,2020-01-05,S08000031,All,Medical (excl. Cardiology & Cancer),1943,1989,-2.3
2020,1,2020-01-05,S08000031,All,Medical (incl. Cardiology & Cancer),2135,2200.5,-3
2020,1,2020-01-05,S08000031,All,Paediatrics (medical & surgical),294,307,-4.2
2020,1,2020-01-05,S08000031,All,Paediatrics (medical),271,277.5,-2.3
2020,1,2020-01-05,S08000031,All,Paediatrics (surgical),23,29.5,-22
2020,1,2020-01-05,S08000031,All,Surgery,1026,1051,-2.4
2020,1,2020-01-05,S08000032,All,Accident & Emergency,7,3.5,100
2020,1,2020-01-05,S08000032,All,All,1640,1647.5,-0.5
2020,1,2020-01-05,S08000032,All,Cardiology,82,67,22.4
2020,1,2020-01-05,S08000032,All,Gynaecology,31,23.5,31.9
2020,1,2020-01-05,S08000032,All,Medical (excl. Cardiology & Cancer),911,958.5,-5
2020,1,2020-01-05,S08000032,All,Medical (incl. Cardiology & Cancer),993,1025.5,-3.2
2020,1,2020-01-05,S08000032,All,Paediatrics (medical & surgical),201,222.5,-9.7
2020,1,2020-01-05,S08000032,All,Paediatrics (medical),201,221.5,-9.3
2020,1,2020-01-05,S08000032,All,Surgery,408,372.5,9.5
2020,1,2020-01-05,S92000003,All,Accident & Emergency,553,310,78.4
2020,1,2020-01-05,S92000003,All,All,13944,14482,-3.7
2020,1,2020-01-05,S92000003,All,Cancer,241,224,7.6
2020,1,2020-01-05,S92000003,All,Cardiology,379,386,-1.8
2020,1,2020-01-05,S92000003,All,Community,219,253.5,-13.6
2020,1,2020-01-05,S92000003,All,Gynaecology,295,325.5,-9.4
2020,1,2020-01-05,S92000003,All,Medical (excl. Cardiology & Cancer),7245,7863.5,-7.9
2020,1,2020-01-05,S92000003,All,Medical (incl. Cardiology & Cancer),7865,8473.5,-7.2
2020,1,2020-01-05,S92000003,All,Paediatrics (medical & surgical),1350,1456,-7.3
2020,1,2020-01-05,S92000003,All,Paediatrics (medical),1292,1402,-7.8
2020,1,2020-01-05,S92000003,All,Paediatrics (surgical),58,54,7.4
2020,1,2020-01-05,S92000003,All,Surgery,3658,3659.5,0
2020,1,2020-01-12,S08000015,All,Accident & Emergency,8,18.5,-56.8
2020,1,2020-01-12,S08000015,All,All,1091,1174.5,-7.1
2020,1,2020-01-12,S08000015,All,Cardiology,18,16.5,9.1
2020,1,2020-01-12,S08000015,All,Medical (excl. Cardiology & Cancer),659,700,-5.9
2020,1,2020-01-12,S08000015,All,Medical (incl. Cardiology & Cancer),677,716.5,-5.5
2020,1,2020-01-12,S08000015,All,Paediatrics (medical & surgical),119,144.5,-17.6
2020,1,2020-01-12,S08000015,All,Paediatrics (medical),119,144.5,-17.6
2020,1,2020-01-12,S08000015,All,Surgery,287,295,-2.7
2020,1,2020-01-12,S08000016,All,All,239,270,-11.5
2020,1,2020-01-12,S08000016,All,Community,8,20,-60
2020,1,2020-01-12,S08000016,All,Medical (excl. Cardiology & Cancer),145,150.5,-3.7
2020,1,2020-01-12,S08000016,All,Medical (incl. Cardiology & Cancer),149,161.5,-7.7
2020,1,2020-01-12,S08000016,All,Paediatrics (medical & surgical),20,31.5,-36.5
2020,1,2020-01-12,S08000016,All,Paediatrics (medical),20,31.5,-36.5
2020,1,2020-01-12,S08000016,All,Surgery,62,57,8.8
2020,1,2020-01-12,S08000017,All,All,446,477,-6.5
2020,1,2020-01-12,S08000017,All,Community,29,33.5,-13.4
2020,1,2020-01-12,S08000017,All,Gynaecology,18,17.5,2.9
2020,1,2020-01-12,S08000017,All,Medical (excl. Cardiology & Cancer),229,242.5,-5.6
2020,1,2020-01-12,S08000017,All,Medical (incl. Cardiology & Cancer),231,245,-5.7
2020,1,2020-01-12,S08000017,All,Paediatrics (medical & surgical),39,57.5,-32.2
2020,1,2020-01-12,S08000017,All,Paediatrics (medical),39,57.5,-32.2
