year,quarter,week_ending,hscp,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-01-05,S37000001,1,All,65,63,3.2
2020,1,2020-01-05,S37000001,2,All,125,132.5,-5.7
2020,1,2020-01-05,S37000001,3,All,83,69.5,19.4
2020,1,2020-01-05,S37000001,4,All,69,67,3
2020,1,2020-01-05,S37000001,5,All,123,132.5,-7.2
2020,1,2020-01-05,S37000002,1,All,16,19,-15.8
2020,1,2020-01-05,S37000002,2,All,58,60.5,-4.1
2020,1,2020-01-05,S37000002,3,All,124,117.5,5.5
2020,1,2020-01-05,S37000002,4,All,167,174.5,-4.3
2020,1,2020-01-05,S37000002,5,All,111,109.5,1.4
2020,1,2020-01-05,S37000003,1,All,16,27.5,-41.8
2020,1,2020-01-05,S37000003,2,All,78,77.5,0.6
2020,1,2020-01-05,S37000003,3,All,74,78,-5.1
2020,1,2020-01-05,S37000003,4,All,70,70.5,-0.7
2020,1,2020-01-05,S37000003,5,All,32,31.5,1.6
2020,1,2020-01-05,S37000004,1,All,26,29.5,-11.9
2020,1,2020-01-05,S37000004,2,All,49,44.5,10.1
2020,1,2020-01-05,S37000004,3,All,110,98.5,11.7
2020,1,2020-01-05,S37000004,4,All,47,50,-6
2020,1,2020-01-05,S37000004,5,All,14,18.5,-24.3
2020,1,2020-01-05,S37000005,1,All,101,169.5,-40.4
2020,1,2020-01-05,S37000005,2,All,88,117.5,-25.1
2020,1,2020-01-05,S37000005,3,All,54,103.5,-47.8
2020,1,2020-01-05,S37000005,4,All,75,124.5,-39.8
2020,1,2020-01-05,S37000005,5,All,58,114,-49.1
2020,1,2020-01-05,S37000006,1,All,44,48,-8.3
2020,1,2020-01-05,S37000006,2,All,132,128,3.1
2020,1,2020-01-05,S37000006,3,All,144,156,-7.7
2020,1,2020-01-05,S37000006,4,All,58,52,11.5
2020,1,2020-01-05,S37000006,5,All,37,30,23.3
2020,1,2020-01-05,S37000007,1,All,213,193.5,10.1
2020,1,2020-01-05,S37000007,2,All,84,90.5,-7.2
2020,1,2020-01-05,S37000007,3,All,36,41,-12.2
2020,1,2020-01-05,S37000007,4,All,49,45.5,7.7
2020,1,2020-01-05,S37000007,5,All,64,49.5,29.3
2020,1,2020-01-05,S37000008,1,All,138,132,4.5
2020,1,2020-01-05,S37000008,2,All,93,101.5,-8.4
2020,1,2020-01-05,S37000008,3,All,57,60.5,-5.8
2020,1,2020-01-05,S37000008,4,All,41,33.5,22.4
2020,1,2020-01-05,S37000008,5,All,18,31.5,-42.9
2020,1,2020-01-05,S37000009,1,All,18,13,38.5
2020,1,2020-01-05,S37000009,2,All,58,52.5,10.5
2020,1,2020-01-05,S37000009,3,All,37,18.5,100
2020,1,2020-01-05,S37000009,4,All,47,54,-13
2020,1,2020-01-05,S37000009,5,All,93,108.5,-14.3
2020,1,2020-01-05,S37000010,1,All,20,19,5.3
2020,1,2020-01-05,S37000010,2,All,80,77.5,3.2
2020,1,2020-01-05,S37000010,3,All,65,44.5,46.1
2020,1,2020-01-05,S37000010,4,All,47,43,9.3
2020,1,2020-01-05,S37000010,5,All,36,30,20
2020,1,2020-01-05,S37000011,1,All,12,15.5,-22.6
2020,1,2020-01-05,S37000011,2,All,27,24.5,10.2
2020,1,2020-01-05,S37000011,3,All,18,22,-18.2
2020,1,2020-01-05,S37000011,4,All,54,53,1.9
2020,1,2020-01-05,S37000011,5,All,86,85,1.2
2020,1,2020-01-05,S37000012,1,All,197,167,18
2020,1,2020-01-05,S37000012,2,All,169,170.5,-0.9
2020,1,2020-01-05,S37000012,3,All,142,110.5,28.5
2020,1,2020-01-05,S37000012,4,All,167,155,7.7
2020,1,2020-01-05,S37000012,5,All,353,297,18.9
2020,1,2020-01-05,S37000013,1,All,99,165,-40
2020,1,2020-01-05,S37000013,2,All,124,213.5,-41.9
2020,1,2020-01-05,S37000013,3,All,102,202,-49.5
2020,1,2020-01-05,S37000013,4,All,65,95.5,-31.9
2020,1,2020-01-05,S37000013,5,All,58,83.5,-30.5
2020,1,2020-01-05,S37000016,1,All,74,84,-11.9
2020,1,2020-01-05,S37000016,2,All,112,120.5,-7.1
2020,1,2020-01-05,S37000016,3,All,220,193,14
2020,1,2020-01-05,S37000016,4,All,196,150.5,30.2
2020,1,2020-01-05,S37000016,5,All,34,41.5,-18.1
2020,1,2020-01-05,S37000017,1,All,114,130.5,-12.6
2020,1,2020-01-05,S37000017,2,All,24,32.5,-26.2
2020,1,2020-01-05,S37000017,3,All,47,40.5,16
2020,1,2020-01-05,S37000017,4,All,24,25.5,-5.9
2020,1,2020-01-05,S37000017,5,All,25,23.5,6.4
2020,1,2020-01-05,S37000018,1,All,21,29,-27.6
2020,1,2020-01-05,S37000018,2,All,95,85,11.8
2020,1,2020-01-05,S37000018,3,All,63,42,50
2020,1,2020-01-05,S37000018,4,All,29,31,-6.5
2020,1,2020-01-05,S37000018,5,All,12,18.5,-35.1
2020,1,2020-01-05,S37000019,1,All,11,6,83.3
2020,1,2020-01-05,S37000019,2,All,34,31.5,7.9
2020,1,2020-01-05,S37000019,3,All,75,68.5,9.5
2020,1,2020-01-05,S37000019,4,All,69,65,6.2
2020,1,2020-01-05,S37000019,5,All,28,18,55.6
2020,1,2020-01-05,S37000020,1,All,176,207.5,-15.2
2020,1,2020-01-05,S37000020,2,All,70,82,-14.6
2020,1,2020-01-05,S37000020,3,All,58,48.5,19.6
2020,1,2020-01-05,S37000020,4,All,38,45,-15.6
2020,1,2020-01-05,S37000020,5,All,27,33,-18.2
2020,1,2020-01-05,S37000022,3,All,13,9,44.4
2020,1,2020-01-05,S37000022,4,All,28,28,0
2020,1,2020-01-05,S37000024,1,All,134,128,4.7
2020,1,2020-01-05,S37000024,2,All,118,119.5,-1.3
2020,1,2020-01-05,S37000024,3,All,70,79.5,-11.9
2020,1,2020-01-05,S37000024,4,All,46,43.5,5.7
2020,1,2020-01-05,S37000024,5,All,84,69.5,20.9
2020,1,2020-01-05,S37000025,1,All,21,27.5,-23.6
2020,1,2020-01-05,S37000025,2,All,64,56.5,13.3
2020,1,2020-01-05,S37000025,3,All,109,120.5,-9.5
2020,1,2020-01-05,S37000025,4,All,90,80.5,11.8
2020,1,2020-01-05,S37000025,5,All,12,17,-29.4
2020,1,2020-01-05,S37000026,3,All,9,19,-52.6
2020,1,2020-01-05,S37000026,4,All,22,21.5,2.3
2020,1,2020-01-05,S37000027,1,All,75,79,-5.1
2020,1,2020-01-05,S37000027,2,All,91,109.5,-16.9
2020,1,2020-01-05,S37000027,3,All,67,69.5,-3.6
2020,1,2020-01-05,S37000027,4,All,47,48.5,-3.1
2020,1,2020-01-05,S37000027,5,All,52,68,-23.5
2020,1,2020-01-05,S37000028,1,All,208,240,-13.3
2020,1,2020-01-05,S37000028,2,All,234,251.5,-7
2020,1,2020-01-05,S37000028,3,All,181,176.5,2.5
2020,1,2020-01-05,S37000028,4,All,117,126.5,-7.5
2020,1,2020-01-05,S37000028,5,All,94,110.5,-14.9
2020,1,2020-01-05,S37000029,1,All,119,128.5,-7.4
2020,1,2020-01-05,S37000029,2,All,77,73.5,4.8
2020,1,2020-01-05,S37000029,3,All,44,39,12.8
2020,1,2020-01-05,S37000029,4,All,16,23.5,-31.9
2020,1,2020-01-05,S37000029,5,All,11,7.5,46.7
2020,1,2020-01-05,S37000030,1,All,92,91,1.1
2020,1,2020-01-05,S37000030,2,All,180,142,26.8
2020,1,2020-01-05,S37000030,3,All,105,81,29.6
2020,1,2020-01-05,S37000030,4,All,81,72,12.5
2020,1,2020-01-05,S37000030,5,All,48,44.5,7.9
2020,1,2020-01-05,S37000031,2,All,9,20,-55
