date,country,sex,age_group,daily_positive,cumulative_positive,crude_rate_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,cumulative_negative,crude_rate_negative
2020-02-28,S92000003,Female,0 to 14,0,0,0,0,0,0,29,6.9194410046073935
2020-02-28,S92000003,Female,0 to 59,0,0,0,0,0,0,260,12.753594183576215
2020-02-28,S92000003,Female,15 to 19,0,0,0,0,0,0,7,5.0756636430213256
2020-02-28,S92000003,Female,20 to 24,0,0,0,0,0,0,35,20.777308804236196
2020-02-28,S92000003,Female,25 to 44,0,0,0,0,0,0,95,13.14216782133292
2020-02-28,S92000003,Female,45 to 64,0,0,0,0,0,0,119,15.411114132898197
2020-02-28,S92000003,Female,60+,0,0,0,0,0,0,60,7.87249703797299
2020-02-28,S92000003,Female,65 to 74,0,0,0,0,0,0,29,9.482578214921
2020-02-28,S92000003,Female,75 to 84,0,0,0,0,0,0,4,2.083007863354684
2020-02-28,S92000003,Female,85plus,0,0,0,0,0,0,2,2.426448286320898
2020-02-28,S92000003,Female,Total,0,0,0,0,0,0,320,11.42535600695233
2020-02-28,S92000003,Male,0 to 14,0,0,0,0,0,0,43,9.75762513019622
2020-02-28,S92000003,Male,0 to 59,1,1,0.04953658524503272,0,0,0,269,13.3253414309138
2020-02-28,S92000003,Male,15 to 19,0,0,0,0,0,0,5,3.467238067500191
2020-02-28,S92000003,Male,20 to 24,0,0,0,0,0,0,14,8.078383400076168
2020-02-28,S92000003,Male,25 to 44,0,0,0,0,0,0,106,14.962431592750844
2020-02-28,S92000003,Male,45 to 64,1,1,0.1383546860732173,0,0,0,121,16.740917014859292
2020-02-28,S92000003,Male,60+,0,0,0,0,0,0,55,8.507320936362145
2020-02-28,S92000003,Male,65 to 74,0,0,0,0,0,0,32,11.410681110687172
2020-02-28,S92000003,Male,75 to 84,0,0,0,0,0,0,3,2.007011158982044
2020-02-28,S92000003,Male,Total,1,1,0.03752046741497487,0,0,0,324,12.156631442451856
2020-02-28,S92000003,Total,0 to 14,0,0,0,0,0,0,72,8.374137870875446
2020-02-28,S92000003,Total,0 to 59,1,1,0.02464662288276267,0,0,0,531,13.087356750746975
2020-02-28,S92000003,Total,15 to 19,0,0,0,0,0,0,12,4.253509145044662
2020-02-28,S92000003,Total,20 to 24,0,0,0,0,0,0,50,14.630363857149128
2020-02-28,S92000003,Total,25 to 44,0,0,0,0,0,0,202,14.112994784479897
2020-02-28,S92000003,Total,45 to 64,1,1,0.0668918692932874,0,0,0,240,16.054048630388976
2020-02-28,S92000003,Total,60+,0,0,0,0,0,0,115,8.16385061147241
2020-02-28,S92000003,Total,65 to 74,0,0,0,0,0,0,61,10.404886544093692
2020-02-28,S92000003,Total,75 to 84,0,0,0,0,0,0,7,2.0497443675952987
2020-02-28,S92000003,Total,85plus,0,0,0,0,0,0,2,1.558712814957408
2020-02-28,S92000003,Total,Total,1,1,0.01829491401390413,0,0,0,646,11.81851445298207
2020-02-29,S92000003,Female,0 to 14,0,0,0,0,0,0,35,8.351049488319267
2020-02-29,S92000003,Female,0 to 59,0,0,0,0,0,0,279,13.68558760468371
2020-02-29,S92000003,Female,15 to 19,0,0,0,0,0,0,8,5.800758449167229
2020-02-29,S92000003,Female,20 to 24,0,0,0,0,0,0,37,21.964583593049696
2020-02-29,S92000003,Female,25 to 44,0,0,0,0,0,0,100,13.833860864560968
2020-02-29,S92000003,Female,45 to 64,0,0,0,0,0,0,125,16.18814509758214
2020-02-29,S92000003,Female,60+,0,0,0,0,0,0,69,9.053371593668938
2020-02-29,S92000003,Female,65 to 74,0,0,0,0,0,0,33,10.790520037668724
2020-02-29,S92000003,Female,75 to 84,0,0,0,0,0,0,7,3.645263760870697
2020-02-29,S92000003,Female,85plus,0,0,0,0,0,0,3,3.6396724294813465
2020-02-29,S92000003,Female,Total,0,0,0,0,0,0,348,12.425074657560655
2020-02-29,S92000003,Male,0 to 14,0,0,0,0,0,0,54,12.253761791409206
2020-02-29,S92000003,Male,0 to 59,0,1,0.04953658524503272,0,0,0,293,14.514219476794588
2020-02-29,S92000003,Male,15 to 19,0,0,0,0,0,0,5,3.467238067500191
2020-02-29,S92000003,Male,20 to 24,0,0,0,0,0,0,15,8.655410785795894
2020-02-29,S92000003,Male,25 to 44,0,0,0,0,0,0,110,15.527051652854649
2020-02-29,S92000003,Male,45 to 64,0,1,0.1383546860732173,0,0,0,130,17.98610918951825
2020-02-29,S92000003,Male,60+,0,0,0,0,0,0,63,9.744749436196638
2020-02-29,S92000003,Male,65 to 74,0,0,0,0,0,0,36,12.837016249523067
2020-02-29,S92000003,Male,75 to 84,0,0,0,0,0,0,5,3.345018598303407
2020-02-29,S92000003,Male,85plus,0,0,0,0,0,0,1,2.1793139519679205
2020-02-29,S92000003,Male,Total,0,1,0.03752046741497487,0,0,0,356,13.357286399731054
2020-02-29,S92000003,Total,0 to 14,0,0,0,0,0,0,89,10.351364868165485
2020-02-29,S92000003,Total,0 to 59,0,1,0.02464662288276267,0,0,0,574,14.147161534705774
2020-02-29,S92000003,Total,15 to 19,0,0,0,0,0,0,13,4.60796824046505
2020-02-29,S92000003,Total,20 to 24,0,0,0,0,0,0,53,15.508185688578076
2020-02-29,S92000003,Total,25 to 44,0,0,0,0,0,0,211,14.74179158180821
2020-02-29,S92000003,Total,45 to 64,0,1,0.0668918692932874,0,0,0,255,17.05742666978829
2020-02-29,S92000003,Total,60+,0,0,0,0,0,0,132,9.370680701863986
2020-02-29,S92000003,Total,65 to 74,0,0,0,0,0,0,69,11.769461828564996
2020-02-29,S92000003,Total,75 to 84,0,0,0,0,0,0,12,3.513847487306226
2020-02-29,S92000003,Total,85plus,0,0,0,0,0,0,4,3.117425629914816
2020-02-29,S92000003,Total,Total,0,1,0.01829491401390413,0,0,0,706,12.916209293816316
2020-03-01,S92000003,Female,0 to 14,0,0,0,0,0,0,46,10.975665041791038
2020-03-01,S92000003,Female,0 to 59,0,0,0,0,0,0,301,14.764737881755542
2020-03-01,S92000003,Female,15 to 19,0,0,0,0,0,0,8,5.800758449167229
2020-03-01,S92000003,Female,20 to 24,0,0,0,0,0,0,39,23.15185838186319
2020-03-01,S92000003,Female,25 to 44,0,0,0,0,0,0,106,14.663892516434627
2020-03-01,S92000003,Female,45 to 64,0,0,0,0,0,0,131,16.96517606226608
2020-03-01,S92000003,Female,60+,1,1,0.13120828396621648,0,0,0,76,9.971829581432454
2020-03-01,S92000003,Female,65 to 74,1,1,0.32698545568693105,0,0,0,35,11.444490949042589
2020-03-01,S92000003,Female,75 to 84,0,0,0,0,0,0,7,3.645263760870697
2020-03-01,S92000003,Female,85plus,0,0,0,0,0,0,5,6.066120715802245
2020-03-01,S92000003,Female,Total,1,1,0.03570423752172603,0,0,0,377,13.460497545690712
2020-03-01,S92000003,Male,0 to 14,0,0,0,0,0,0,69,15.657584511245096
2020-03-01,S92000003,Male,0 to 59,1,2,0.09907317049006543,0,0,0,325,16.099390204635636
2020-03-01,S92000003,Male,15 to 19,0,0,0,0,0,0,8,5.547580908000305
2020-03-01,S92000003,Male,20 to 24,0,0,0,0,0,0,19,10.9635203286748
2020-03-01,S92000003,Male,25 to 44,0,0,0,0,0,0,117,16.51513675803631
2020-03-01,S92000003,Male,45 to 64,1,2,0.2767093721464346,0,0,0,135,18.677882619884336
2020-03-01,S92000003,Male,60+,0,0,0,0,0,0,69,10.67282081107251
2020-03-01,S92000003,Male,65 to 74,0,0,0,0,0,0,38,13.550183818941017
2020-03-01,S92000003,Male,75 to 84,0,0,0,0,0,0,6,4.014022317964088
2020-03-01,S92000003,Male,85plus,0,0,0,0,0,0,2,4.358627903935841
2020-03-01,S92000003,Male,Total,1,2,0.07504093482994974,0,0,0,394,14.783064161500098
2020-03-01,S92000003,Total,0 to 14,0,0,0,0,0,0,115,13.375359099314949
2020-03-01,S92000003,Total,0 to 59,1,2,0.04929324576552534,0,0,0,628,15.478079170374958
2020-03-01,S92000003,Total,15 to 19,0,0,0,0,0,0,16,5.671345526726216
2020-03-01,S92000003,Total,20 to 24,0,0,0,0,0,0,59,17.26382935143597
2020-03-01,S92000003,Total,25 to 44,0,0,0,0,0,0,224,15.65005362239355
2020-03-01,S92000003,Total,45 to 64,1,2,0.1337837385865748,0,0,0,266,17.79323723201445
2020-03-01,S92000003,Total,60+,1,1,0.0709900053171514,0,0,0,145,10.293550770986952
2020-03-01,S92000003,Total,65 to 74,1,1,0.170571910558913,0,0,0,73,12.451749470800648
2020-03-01,S92000003,Total,75 to 84,0,0,0,0,0,0,13,3.806668111248411
2020-03-01,S92000003,Total,85plus,0,0,0,0,0,0,7,5.455494852350929
2020-03-01,S92000003,Total,Total,2,3,0.0548847420417124,0,0,0,773,14.141968532747896
2020-03-02,S92000003,Female,0 to 14,0,0,0,0,0,0,67,15.986294734782598
2020-03-02,S92000003,Female,0 to 59,0,0,0,0,0,0,364,17.855031857006704
2020-03-02,S92000003,Female,15 to 19,0,0,0,0,0,0,9,6.525853255313132
2020-03-02,S92000003,Female,20 to 24,0,0,0,0,0,0,45,26.71368274830368
2020-03-02,S92000003,Female,25 to 44,0,0,0,0,0,0,123,17.015648863409993
2020-03-02,S92000003,Female,45 to 64,0,0,0,0,0,0,155,20.07329992100185
2020-03-02,S92000003,Female,60+,0,1,0.13120828396621648,0,0,0,98,12.858411828689215
2020-03-02,S92000003,Female,65 to 74,0,1,0.32698545568693105,0,0,0,44,14.387360050224968
2020-03-02,S92000003,Female,75 to 84,0,0,0,0,0,0,11,5.728271624225381
2020-03-02,S92000003,Female,85plus,0,0,0,0,0,0,8,9.705793145283591
2020-03-02,S92000003,Female,Total,0,1,0.03570423752172603,0,0,0,462,16.495357735037427
2020-03-02,S92000003,Male,0 to 14,0,0,0,0,0,0,91,20.649857833671067
2020-03-02,S92000003,Male,0 to 59,1,3,0.14860975573509816,0,0,0,396,19.616487757032957
2020-03-02,S92000003,Male,15 to 19,0,0,0,0,0,0,10,6.934476135000382
2020-03-02,S92000003,Male,20 to 24,0,0,0,0,0,0,21,12.117575100114252
2020-03-02,S92000003,Male,25 to 44,1,1,0.14115501502595135,0,0,0,138,19.479392073581288
2020-03-02,S92000003,Male,45 to 64,0,2,0.2767093721464346,0,0,0,164,22.69016851600764
2020-03-02,S92000003,Male,60+,0,0,0,0,0,0,92,14.23042774809668
2020-03-02,S92000003,Male,65 to 74,0,0,0,0,0,0,52,18.542356804866657
2020-03-02,S92000003,Male,75 to 84,0,0,0,0,0,0,8,5.35202975728545
2020-03-02,S92000003,Male,85plus,0,0,0,0,0,0,4,8.717255807871682
2020-03-02,S92000003,Male,Total,1,3,0.1125614022449246,0,0,0,488,18.309988098507738
2020-03-02,S92000003,Total,0 to 14,0,0,0,0,0,0,158,18.37658032775445
2020-03-02,S92000003,Total,0 to 59,1,3,0.07393986864828801,0,0,0,762,18.78072663666515
2020-03-02,S92000003,Total,15 to 19,0,0,0,0,0,0,19,6.734722812987381
2020-03-02,S92000003,Total,20 to 24,0,0,0,0,0,0,67,19.60468756857983
2020-03-02,S92000003,Total,25 to 44,1,1,0.06986631081425691,0,0,0,262,18.304973433335313
2020-03-02,S92000003,Total,45 to 64,0,2,0.1337837385865748,0,0,0,319,21.33850630455868
2020-03-02,S92000003,Total,60+,0,1,0.0709900053171514,0,0,0,190,13.488101010258765
2020-03-02,S92000003,Total,65 to 74,0,1,0.170571910558913,0,0,0,96,16.374903413655645
2020-03-02,S92000003,Total,75 to 84,0,0,0,0,0,0,19,5.563591854901524
2020-03-02,S92000003,Total,85plus,0,0,0,0,0,0,12,9.35227688974445
2020-03-02,S92000003,Total,Total,1,4,0.07317965605561653,0,0,0,952,17.416758141236738
2020-03-03,S92000003,Female,0 to 14,0,0,0,0,0,0,81,19.326714530110305
2020-03-03,S92000003,Female,0 to 59,0,0,0,0,0,0,443,21.730162397401013
2020-03-03,S92000003,Female,15 to 19,0,0,0,0,0,0,13,9.426232479896749
2020-03-03,S92000003,Female,20 to 24,0,0,0,0,0,0,50,29.681869720337428
2020-03-03,S92000003,Female,25 to 44,0,0,0,0,0,0,155,21.442484340069505
2020-03-03,S92000003,Female,45 to 64,0,0,0,0,0,0,185,23.95845474442157
2020-03-03,S92000003,Female,60+,0,1,0.13120828396621648,0,0,0,120,15.74499407594598
2020-03-03,S92000003,Female,65 to 74,0,1,0.32698545568693105,0,0,0,56,18.31118551846814
2020-03-03,S92000003,Female,75 to 84,0,0,0,0,0,0,12,6.249023590064053
2020-03-03,S92000003,Female,85plus,0,0,0,0,0,0,11,13.345465574764935
2020-03-03,S92000003,Female,Total,0,1,0.03570423752172603,0,0,0,563,20.101485724731756
2020-03-03,S92000003,Male,0 to 14,0,0,0,0,0,0,120,27.230581758687123
2020-03-03,S92000003,Male,0 to 59,3,6,0.2972195114701963,0,0,0,469,23.232658479920342
2020-03-03,S92000003,Male,15 to 19,0,0,0,0,0,0,15,10.401714202500573
2020-03-03,S92000003,Male,20 to 24,0,0,0,0,0,0,26,15.002712028712882
2020-03-03,S92000003,Male,25 to 44,2,3,0.423465045077854,0,0,0,158,22.30249237410031
2020-03-03,S92000003,Male,45 to 64,1,3,0.4150640582196519,0,0,0,187,25.872326295691636
2020-03-03,S92000003,Male,60+,0,0,0,0,0,0,113,17.47867756016223
2020-03-03,S92000003,Male,65 to 74,0,0,0,0,0,0,60,21.395027082538448
2020-03-03,S92000003,Male,75 to 84,0,0,0,0,0,0,11,7.359040916267494
2020-03-03,S92000003,Male,85plus,0,0,0,0,0,0,5,10.896569759839602
