date,hb,hb_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,hospital_admissions,icu_admissions,positive_pillar1,positive_pillar2
2020-02-28,S08000015,NHS Ayrshire and Arran,0,0,0,NA,0,0,0,7,24,6.52191635642273,9,0,0,NA,9,0,NA,NA,0,0
2020-02-28,S08000016,NHS Borders,0,0,0,NA,0,0,0,3,19,16.48733078792086,3,0,0,NA,3,0,NA,NA,0,0
2020-02-28,S08000017,NHS Dumfries and Galloway,0,0,0,NA,0,0,0,7,18,12.13837750354036,9,0,0,NA,9,0,NA,NA,0,0
2020-02-28,S08000019,NHS Forth Valley,0,0,0,NA,0,0,0,12,52,16.997352335501585,20,0,0,NA,20,0,NA,NA,0,0
2020-02-28,S08000020,NHS Grampian,0,0,0,NA,0,0,0,5,78,13.320809495346255,6,0,0,NA,6,0,NA,NA,0,0
2020-02-28,S08000022,NHS Highland,0,0,0,NA,0,0,0,2,28,8.726547403852148,4,0,0,NA,4,0,NA,NA,0,0
2020-02-28,S08000024,NHS Lothian,0,0,0,NA,0,0,0,38,150,16.438536312726715,51,0,0,NA,51,0,NA,NA,0,0
2020-02-28,S08000025,NHS Orkney,0,0,0,NA,0,0,0,0,2,8.928571428571429,0,0,0,NA,0,0,NA,NA,0,0
2020-02-28,S08000029,NHS Fife,0,0,0,NA,0,0,0,11,54,14.43348568679336,14,0,0,NA,14,0,NA,NA,0,0
2020-02-28,S08000030,NHS Tayside,1,1,0.2400672188212699,NA,0,0,0,5,71,17.044772536310166,8,2,25,NA,8,0,NA,NA,2,0
2020-02-28,S08000031,NHS Greater Glasgow and Clyde,0,0,0,NA,0,0,0,14,98,8.268367587999055,28,0,0,NA,28,0,NA,NA,0,0
2020-02-28,S08000032,NHS Lanarkshire,0,0,0,NA,0,0,0,8,52,7.855459544383346,10,0,0,NA,10,0,NA,NA,0,0
2020-02-28,S92000003,Scotland,1,1,0.01829491401390413,NA,0,0,0,112,646,11.81851445298207,164,2,1.2195121951219512,NA,164,0,NA,NA,2,0
2020-02-29,S08000015,NHS Ayrshire and Arran,0,0,0,NA,0,0,0,3,27,7.33715590097557,4,0,0,NA,4,0,NA,NA,0,0
