date,ca,ca_name,daily_positive,cumulative_positive,crude_rate_positive,crude_rate7day_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,daily_negative,cumulative_negative,crude_rate_negative,total_tests,positive_tests,positive_percentage,positive_percentage7day,total_pillar1,total_pillar2,positive_pillar1,positive_pillar2
2020-02-28,S12000005,Clackmannanshire,0,0,0,NA,0,0,0,4,11,21.446675765256387,6,0,0,NA,6,0,0,0
2020-02-28,S12000006,Dumfries and Galloway,0,0,0,NA,0,0,0,7,18,12.13837750354036,9,0,0,NA,9,0,0,0
2020-02-28,S12000008,East Ayrshire,0,0,0,NA,0,0,0,0,7,5.756578947368421,1,0,0,NA,1,0,0,0
2020-02-28,S12000010,East Lothian,0,0,0,NA,0,0,0,7,10,9.267840593141798,7,0,0,NA,7,0,0,0
2020-02-28,S12000011,East Renfrewshire,0,0,0,NA,0,0,0,2,4,4.164064126587549,3,0,0,NA,3,0,0,0
2020-02-28,S12000014,Falkirk,0,0,0,NA,0,0,0,6,24,14.947683109118088,11,0,0,NA,11,0,0,0
2020-02-28,S12000017,Highland,0,0,0,NA,0,0,0,2,22,9.344603491483667,4,0,0,NA,4,0,0,0
2020-02-28,S12000018,Inverclyde,0,0,0,NA,0,0,0,0,6,7.7861406696080975,0,0,0,NA,0,0,0,0
2020-02-28,S12000019,Midlothian,0,0,0,NA,0,0,0,1,10,10.735373054213634,1,0,0,NA,1,0,0,0
2020-02-28,S12000020,Moray,0,0,0,NA,0,0,0,2,10,10.448229025180233,2,0,0,NA,2,0,0,0
2020-02-28,S12000021,North Ayrshire,0,0,0,NA,0,0,0,5,13,9.68342644320298,6,0,0,NA,6,0,0,0
2020-02-28,S12000023,Orkney Islands,0,0,0,NA,0,0,0,0,4,17.857142857142858,0,0,0,NA,0,0,0,0
2020-02-28,S12000026,Scottish Borders,0,0,0,NA,0,0,0,3,19,16.48733078792086,3,0,0,NA,3,0,0,0
2020-02-28,S12000028,South Ayrshire,0,0,0,NA,0,0,0,2,2,1.7834849295523454,2,0,0,NA,2,0,0,0
2020-02-28,S12000029,South Lanarkshire,0,0,0,NA,0,0,0,2,20,6.234025310142759,2,0,0,NA,2,0,0,0
2020-02-28,S12000030,Stirling,0,0,0,NA,0,0,0,2,17,18.06972789115646,3,0,0,NA,3,0,0,0
2020-02-28,S12000033,Aberdeen City,0,0,0,NA,0,0,0,0,29,12.660438313105736,0,0,0,NA,0,0,0,0
2020-02-28,S12000034,Aberdeenshire,0,0,0,NA,0,0,0,3,28,10.737019710100467,4,0,0,NA,4,0,0,0
2020-02-28,S12000035,Argyll and Bute,0,0,0,NA,0,0,0,0,3,3.511646962425377,0,0,0,NA,0,0,0,0
2020-02-28,S12000036,City of Edinburgh,0,0,0,NA,0,0,0,26,99,18.763504036996324,37,0,0,NA,37,0,0,0
2020-02-28,S12000038,Renfrewshire,0,0,0,NA,0,0,0,1,13,7.246780757009867,4,0,0,NA,4,0,0,0
2020-02-28,S12000039,West Dunbartonshire,0,0,0,NA,0,0,0,0,10,11.319900384876613,0,0,0,NA,0,0,0,0
2020-02-28,S12000040,West Lothian,0,0,0,NA,0,0,0,2,26,14.144271570014144,4,0,0,NA,4,0,0,0
