year,quarter,hb,location,admission_type,simd,episodes,length_of_episode,average_length_of_episode,stays,length_of_stay,average_length_of_stay
2016,2,SB0801,D102H,Elective Inpatients,1,447,1221,2.73154362416107,440,2106,4.78636363636364
2016,3,SB0801,D102H,Elective Inpatients,1,393,855,2.17557251908397,402,2524,6.27860696517413
2016,4,SB0801,D102H,Elective Inpatients,1,395,1045,2.64556962025316,401,2021,5.03990024937656
2017,1,SB0801,D102H,Elective Inpatients,1,431,1006,2.33410672853828,427,1990,4.66042154566745
2017,2,SB0801,D102H,Elective Inpatients,1,392,901,2.2984693877551,392,2090,5.33163265306122
2017,3,SB0801,D102H,Elective Inpatients,1,364,968,2.65934065934066,368,1811,4.92119565217391
2017,4,SB0801,D102H,Elective Inpatients,1,422,946,2.24170616113744,440,2144,4.87272727272727
2018,1,SB0801,D102H,Elective Inpatients,1,434,1086,2.50230414746544,417,1958,4.69544364508393
2018,2,SB0801,D102H,Elective Inpatients,1,444,1049,2.36261261261261,437,2103,4.81235697940503
2018,3,SB0801,D102H,Elective Inpatients,1,439,855,1.94760820045558,460,2293,4.98478260869565
2018,4,SB0801,D102H,Elective Inpatients,1,447,901,2.01565995525727,457,1939,4.24288840262582
2019,1,SB0801,D102H,Elective Inpatients,1,479,981,2.04801670146138,480,1995,4.15625
2019,2,SB0801,D102H,Elective Inpatients,1,434,863,1.98847926267281,437,2093,4.78947368421053
2019,3,SB0801,D102H,Elective Inpatients,1,399,911,2.28320802005013,402,2378,5.91542288557214
2019,4,SB0801,D102H,Elective Inpatients,1,390,791,2.02820512820513,399,2231,5.59147869674185
2020,1,SB0801,D102H,Elective Inpatients,1,356,664,1.86516853932584,358,1794,5.01117318435754
2020,2,SB0801,D102H,Elective Inpatients,1,180,303,1.68333333333333,163,957,5.87116564417178
2020,3,SB0801,D102H,Elective Inpatients,1,297,610,2.05387205387205,309,1714,5.54692556634304
2020,4,SB0801,D102H,Elective Inpatients,1,359,770,2.14484679665738,364,1794,4.92857142857143
2021,1,SB0801,D102H,Elective Inpatients,1,390,999,2.56153846153846,381,2087,5.47769028871391
2021,2,SB0801,D102H,Elective Inpatients,1,386,925,2.39637305699482,377,1861,4.93633952254642
2016,2,SB0801,D102H,Elective Inpatients,2,444,1186,2.67117117117117,439,2512,5.72209567198178
2016,3,SB0801,D102H,Elective Inpatients,2,492,1331,2.70528455284553,490,2275,4.64285714285714
2016,4,SB0801,D102H,Elective Inpatients,2,414,1187,2.86714975845411,427,2244,5.25526932084309
2017,1,SB0801,D102H,Elective Inpatients,2,411,1289,3.13625304136253,401,1805,4.50124688279302
2017,2,SB0801,D102H,Elective Inpatients,2,392,920,2.3469387755102,404,2139,5.29455445544554
2017,3,SB0801,D102H,Elective Inpatients,2,420,1016,2.41904761904762,428,1977,4.61915887850467
2017,4,SB0801,D102H,Elective Inpatients,2,453,1176,2.59602649006623,458,2343,5.11572052401747
2018,1,SB0801,D102H,Elective Inpatients,2,393,886,2.25445292620865,398,1650,4.14572864321608
2018,2,SB0801,D102H,Elective Inpatients,2,430,1013,2.35581395348837,428,1951,4.55841121495327
2018,3,SB0801,D102H,Elective Inpatients,2,432,973,2.25231481481481,442,1994,4.51131221719457
2018,4,SB0801,D102H,Elective Inpatients,2,443,1012,2.28442437923251,455,1819,3.9978021978022
2019,1,SB0801,D102H,Elective Inpatients,2,407,803,1.97297297297297,412,1668,4.04854368932039
2019,2,SB0801,D102H,Elective Inpatients,2,399,905,2.26817042606516,394,1694,4.2994923857868
2019,3,SB0801,D102H,Elective Inpatients,2,382,792,2.07329842931937,390,1877,4.81282051282051
2019,4,SB0801,D102H,Elective Inpatients,2,368,837,2.27445652173913,384,2157,5.6171875
2020,1,SB0801,D102H,Elective Inpatients,2,350,782,2.23428571428571,356,1983,5.57022471910112
2020,2,SB0801,D102H,Elective Inpatients,2,133,308,2.31578947368421,137,940,6.86131386861314
2020,3,SB0801,D102H,Elective Inpatients,2,258,2392,9.27131782945736,260,3149,12.1115384615385
2020,4,SB0801,D102H,Elective Inpatients,2,334,851,2.54790419161677,332,1506,4.53614457831325
2021,1,SB0801,D102H,Elective Inpatients,2,393,967,2.46055979643766,375,1813,4.83466666666667
2021,2,SB0801,D102H,Elective Inpatients,2,347,853,2.45821325648415,352,1896,5.38636363636364
2016,2,SB0801,D102H,Elective Inpatients,3,444,1245,2.80405405405405,443,2254,5.08803611738149
2016,3,SB0801,D102H,Elective Inpatients,3,412,1383,3.35679611650485,409,2016,4.92909535452323
2016,4,SB0801,D102H,Elective Inpatients,3,374,1013,2.70855614973262,382,1892,4.95287958115183
2017,1,SB0801,D102H,Elective Inpatients,3,399,1094,2.74185463659148,402,1799,4.47512437810945
2017,2,SB0801,D102H,Elective Inpatients,3,367,918,2.50136239782016,378,1834,4.85185185185185
2017,3,SB0801,D102H,Elective Inpatients,3,422,1116,2.64454976303318,431,1967,4.56380510440835
2017,4,SB0801,D102H,Elective Inpatients,3,400,1062,2.655,400,1980,4.95
2018,1,SB0801,D102H,Elective Inpatients,3,428,1063,2.48364485981308,423,2025,4.78723404255319
2018,2,SB0801,D102H,Elective Inpatients,3,381,1012,2.65616797900262,374,1684,4.50267379679144
2018,3,SB0801,D102H,Elective Inpatients,3,458,1211,2.64410480349345,468,2190,4.67948717948718
2018,4,SB0801,D102H,Elective Inpatients,3,463,1205,2.60259179265659,462,1896,4.1038961038961
2019,1,SB0801,D102H,Elective Inpatients,3,430,1040,2.41860465116279,435,1691,3.88735632183908
