year,quarter,week_ending,hb,age_group,sex,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S08000015,Under 5,All,31,32.5,-4.6
2020,1,2020-01-05,S08000015,5 - 14,All,6,11.5,-47.8
2020,1,2020-01-05,S08000015,15 - 44,All,176,230,-23.5
2020,1,2020-01-05,S08000015,45 - 64,All,244,246.5,-1
2020,1,2020-01-05,S08000015,65 - 74,All,180,200.5,-10.2
2020,1,2020-01-05,S08000015,75 - 84,All,202,212,-4.7
2020,1,2020-01-05,S08000015,85 and over,All,179,171.5,4.4
2020,1,2020-01-05,S08000015,All ages,All,1076,1151,-6.5
2020,1,2020-01-05,S08000015,All ages,Female,516,569.5,-9.4
2020,1,2020-01-05,S08000015,All ages,Male,470,495.5,-5.1
2020,1,2020-01-05,S08000016,Under 5,All,8,5,60
2020,1,2020-01-05,S08000016,15 - 44,All,80,61.5,30.1
2020,1,2020-01-05,S08000016,45 - 64,All,56,53,5.7
2020,1,2020-01-05,S08000016,65 - 74,All,51,43,18.6
2020,1,2020-01-05,S08000016,75 - 84,All,73,59,23.7
2020,1,2020-01-05,S08000016,85 and over,All,66,62.5,5.6
2020,1,2020-01-05,S08000016,All ages,All,345,301.5,14.4
2020,1,2020-01-05,S08000016,All ages,Female,193,142.5,35.4
2020,1,2020-01-05,S08000016,All ages,Male,128,140,-8.6
2020,1,2020-01-05,S08000017,Under 5,All,8,8.5,-5.9
2020,1,2020-01-05,S08000017,5 - 14,All,5,4,25
2020,1,2020-01-05,S08000017,15 - 44,All,82,74.5,10.1
2020,1,2020-01-05,S08000017,45 - 64,All,94,73.5,27.9
2020,1,2020-01-05,S08000017,65 - 74,All,57,68,-16.2
2020,1,2020-01-05,S08000017,75 - 84,All,98,92,6.5
2020,1,2020-01-05,S08000017,85 and over,All,67,65.5,2.3
2020,1,2020-01-05,S08000017,All ages,All,423,407,3.9
2020,1,2020-01-05,S08000017,All ages,Female,195,195.5,-0.3
2020,1,2020-01-05,S08000017,All ages,Male,198,178,11.2
2020,1,2020-01-05,S08000019,Under 5,All,17,23,-26.1
2020,1,2020-01-05,S08000019,15 - 44,All,142,139,2.2
2020,1,2020-01-05,S08000019,45 - 64,All,150,155,-3.2
2020,1,2020-01-05,S08000019,65 - 74,All,96,101.5,-5.4
2020,1,2020-01-05,S08000019,75 - 84,All,154,142.5,8.1
2020,1,2020-01-05,S08000019,85 and over,All,80,93.5,-14.4
2020,1,2020-01-05,S08000019,All ages,All,669,692.5,-3.4
2020,1,2020-01-05,S08000019,All ages,Female,315,307.5,2.4
2020,1,2020-01-05,S08000019,All ages,Male,304,321,-5.3
2020,1,2020-01-05,S08000020,Under 5,All,45,34.5,30.4
2020,1,2020-01-05,S08000020,5 - 14,All,19,17,11.8
2020,1,2020-01-05,S08000020,15 - 44,All,260,273.5,-4.9
2020,1,2020-01-05,S08000020,45 - 64,All,263,260.5,1
2020,1,2020-01-05,S08000020,65 - 74,All,208,187,11.2
2020,1,2020-01-05,S08000020,75 - 84,All,240,224,7.1
2020,1,2020-01-05,S08000020,85 and over,All,186,192.5,-3.4
