year,quarter,week_ending,hb,simd_quintile,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S08000015,1,403,425,-5.2
2020,1,2020-01-05,S08000015,2,242,271.5,-10.9
2020,1,2020-01-05,S08000015,3,153,157.5,-2.9
2020,1,2020-01-05,S08000015,4,98,112.5,-12.9
2020,1,2020-01-05,S08000015,5,81,92,-12
2020,1,2020-01-05,S08000016,1,28,25.5,9.8
2020,1,2020-01-05,S08000016,2,71,56,26.8
2020,1,2020-01-05,S08000016,3,98,99.5,-1.5
2020,1,2020-01-05,S08000016,4,101,80,26.2
2020,1,2020-01-05,S08000016,5,19,17,11.8
2020,1,2020-01-05,S08000017,1,52,43,20.9
2020,1,2020-01-05,S08000017,2,141,127.5,10.6
2020,1,2020-01-05,S08000017,3,130,129,0.8
2020,1,2020-01-05,S08000017,4,44,44.5,-1.1
2020,1,2020-01-05,S08000017,5,23,23,0
2020,1,2020-01-05,S08000019,1,147,152,-3.3
2020,1,2020-01-05,S08000019,2,179,182,-1.6
2020,1,2020-01-05,S08000019,3,105,122.5,-14.3
2020,1,2020-01-05,S08000019,4,96,91.5,4.9
2020,1,2020-01-05,S08000019,5,84,75,12
2020,1,2020-01-05,S08000020,1,99,82.5,20
2020,1,2020-01-05,S08000020,2,221,235,-6
2020,1,2020-01-05,S08000020,3,267,255.5,4.5
2020,1,2020-01-05,S08000020,4,320,309,3.6
2020,1,2020-01-05,S08000020,5,243,248,-2
2020,1,2020-01-05,S08000022,1,102,103.5,-1.4
2020,1,2020-01-05,S08000022,2,182,178.5,2
2020,1,2020-01-05,S08000022,3,288,262,9.9
2020,1,2020-01-05,S08000022,4,220,186,18.3
2020,1,2020-01-05,S08000022,5,53,54.5,-2.8
2020,1,2020-01-05,S08000024,1,330,346.5,-4.8
2020,1,2020-01-05,S08000024,2,440,451.5,-2.5
2020,1,2020-01-05,S08000024,3,268,282,-5
2020,1,2020-01-05,S08000024,4,247,237,4.2
2020,1,2020-01-05,S08000024,5,295,292,1
2020,1,2020-01-05,S08000025,2,5,3,66.7
2020,1,2020-01-05,S08000025,3,18,14,28.6
2020,1,2020-01-05,S08000025,4,19,16,18.8
2020,1,2020-01-05,S08000026,3,8,11.5,-30.4
2020,1,2020-01-05,S08000026,4,15,23.5,-36.2
2020,1,2020-01-05,S08000028,2,13,22.5,-42.2
2020,1,2020-01-05,S08000028,3,58,51,13.7
2020,1,2020-01-05,S08000029,1,221,275.5,-19.8
2020,1,2020-01-05,S08000029,2,200,226,-11.5
2020,1,2020-01-05,S08000029,3,190,179,6.1
2020,1,2020-01-05,S08000029,4,110,104,5.8
2020,1,2020-01-05,S08000029,5,122,123,-0.8
2020,1,2020-01-05,S08000030,1,226,221.5,2
2020,1,2020-01-05,S08000030,2,188,197.5,-4.8
2020,1,2020-01-05,S08000030,3,203,206.5,-1.7
2020,1,2020-01-05,S08000030,4,214,201,6.5
2020,1,2020-01-05,S08000030,5,104,106,-1.9
2020,1,2020-01-05,S08000031,1,1181,1291,-8.5
