year,quarter,week_ending,hscp,age_group,sex,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S37000001,Under 5,All,11,14.5,-24.1
2020,1,2020-01-05,S37000001,5 - 14,All,10,2,400
2020,1,2020-01-05,S37000001,15 - 44,All,121,116.5,3.9
2020,1,2020-01-05,S37000001,45 - 64,All,105,107.5,-2.3
2020,1,2020-01-05,S37000001,65 - 74,All,79,67.5,17
2020,1,2020-01-05,S37000001,75 - 84,All,78,79,-1.3
2020,1,2020-01-05,S37000001,85 and over,All,87,67,29.9
2020,1,2020-01-05,S37000001,All ages,All,491,454,8.1
2020,1,2020-01-05,S37000001,All ages,Female,269,227.5,18.2
2020,1,2020-01-05,S37000001,All ages,Male,222,226.5,-2
2020,1,2020-01-05,S37000002,Under 5,All,15,10.5,42.9
2020,1,2020-01-05,S37000002,5 - 14,All,5,11.5,-56.5
2020,1,2020-01-05,S37000002,15 - 44,All,83,94,-11.7
2020,1,2020-01-05,S37000002,45 - 64,All,115,96,19.8
2020,1,2020-01-05,S37000002,65 - 74,All,86,76.5,12.4
2020,1,2020-01-05,S37000002,75 - 84,All,109,98,11.2
2020,1,2020-01-05,S37000002,85 and over,All,64,85,-24.7
2020,1,2020-01-05,S37000002,All ages,All,477,471.5,1.2
2020,1,2020-01-05,S37000002,All ages,Female,250,237.5,5.3
2020,1,2020-01-05,S37000002,All ages,Male,227,234,-3
2020,1,2020-01-05,S37000003,Under 5,All,9,7.5,20
2020,1,2020-01-05,S37000003,15 - 44,All,51,49.5,3
2020,1,2020-01-05,S37000003,45 - 64,All,43,50,-14
2020,1,2020-01-05,S37000003,65 - 74,All,42,34.5,21.7
2020,1,2020-01-05,S37000003,75 - 84,All,52,55,-5.5
2020,1,2020-01-05,S37000003,85 and over,All,39,42.5,-8.2
2020,1,2020-01-05,S37000003,All ages,All,239,241,-0.8
2020,1,2020-01-05,S37000003,All ages,Female,119,125.5,-5.2
2020,1,2020-01-05,S37000003,All ages,Male,120,115.5,3.9
2020,1,2020-01-05,S37000004,Under 5,All,13,6.5,100
2020,1,2020-01-05,S37000004,15 - 44,All,42,40.5,3.7
2020,1,2020-01-05,S37000004,45 - 64,All,61,45.5,34.1
2020,1,2020-01-05,S37000004,65 - 74,All,40,50.5,-20.8
2020,1,2020-01-05,S37000004,75 - 84,All,74,62,19.4
2020,1,2020-01-05,S37000004,85 and over,All,65,46,41.3
2020,1,2020-01-05,S37000004,All ages,All,295,254,16.1
2020,1,2020-01-05,S37000004,All ages,Female,171,149,14.8
2020,1,2020-01-05,S37000004,All ages,Male,124,105,18.1
2020,1,2020-01-05,S37000005,Under 5,All,5,13,-61.5
2020,1,2020-01-05,S37000005,15 - 44,All,57,67,-14.9
2020,1,2020-01-05,S37000005,45 - 64,All,68,66.5,2.3
2020,1,2020-01-05,S37000005,65 - 74,All,46,48,-4.2
2020,1,2020-01-05,S37000005,75 - 84,All,69,55,25.5
