year,quarter,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
2020,1,2020-01-05,S37000001,1,65,60.5,7.4
2020,1,2020-01-05,S37000001,2,129,132,-2.3
2020,1,2020-01-05,S37000001,3,93,76,22.4
2020,1,2020-01-05,S37000001,4,86,69,24.6
2020,1,2020-01-05,S37000001,5,113,115.5,-2.2
2020,1,2020-01-05,S37000002,1,23,19,21.1
2020,1,2020-01-05,S37000002,2,54,56,-3.6
2020,1,2020-01-05,S37000002,3,110,118.5,-7.2
2020,1,2020-01-05,S37000002,4,175,165,6.1
2020,1,2020-01-05,S37000002,5,113,113,0
2020,1,2020-01-05,S37000003,1,26,20.5,26.8
2020,1,2020-01-05,S37000003,2,62,61,1.6
2020,1,2020-01-05,S37000003,3,79,71.5,10.5
2020,1,2020-01-05,S37000003,4,47,52.5,-10.5
2020,1,2020-01-05,S37000003,5,23,35,-34.3
2020,1,2020-01-05,S37000004,1,35,27.5,27.3
2020,1,2020-01-05,S37000004,2,75,48.5,54.6
2020,1,2020-01-05,S37000004,3,116,111,4.5
2020,1,2020-01-05,S37000004,4,54,50.5,6.9
2020,1,2020-01-05,S37000004,5,13,16.5,-21.2
2020,1,2020-01-05,S37000005,1,73,82.5,-11.5
2020,1,2020-01-05,S37000005,2,74,67,10.4
2020,1,2020-01-05,S37000005,3,46,57.5,-20
2020,1,2020-01-05,S37000005,4,51,44,15.9
2020,1,2020-01-05,S37000005,5,42,44.5,-5.6
2020,1,2020-01-05,S37000006,1,51,45,13.3
2020,1,2020-01-05,S37000006,2,141,129.5,8.9
2020,1,2020-01-05,S37000006,3,129,131,-1.5
2020,1,2020-01-05,S37000006,4,44,45.5,-3.3
2020,1,2020-01-05,S37000006,5,22,22.5,-2.2
2020,1,2020-01-05,S37000007,1,176,170,3.5
2020,1,2020-01-05,S37000007,2,76,83.5,-9
2020,1,2020-01-05,S37000007,3,52,44,18.2
2020,1,2020-01-05,S37000007,4,39,39,0
2020,1,2020-01-05,S37000007,5,31,27,14.8
2020,1,2020-01-05,S37000008,1,126,131,-3.8
2020,1,2020-01-05,S37000008,2,62,88,-29.5
2020,1,2020-01-05,S37000008,3,48,39,23.1
2020,1,2020-01-05,S37000008,4,25,22.5,11.1
2020,1,2020-01-05,S37000008,5,17,16,6.2
2020,1,2020-01-05,S37000009,1,12,14,-14.3
2020,1,2020-01-05,S37000009,2,28,41,-31.7
2020,1,2020-01-05,S37000009,3,18,8.5,111.8
2020,1,2020-01-05,S37000009,4,29,38.5,-24.7
2020,1,2020-01-05,S37000009,5,66,75.5,-12.6
