NHSGeometry;NHSCode;NHS Name;NHSPoint;NHS Region Name Welsh
[[[[0.730259,51.499303],[0.9196948877118638,51.55112701573427],[0.9541377902542374,51.737694781468534],[1.1952381080508472,51.79988403671329],[1.539667133474576,52.04864105769231],[1.7635459999999998,52.369952],[1.7635459999999998,52.743088],[1.2641239131355926,52.98147988636364],[0.7302589237288135,53.033304265734266],[0.248058,52.867466],[0.23083683686440626,52.753452617132865],[0.05862232415254187,52.732722865384616],[0.02417942161016917,52.670533610139856],[-0.492464116525424,52.64980385839161],[-0.5785713728813562,52.535790223776225],[-0.5096855677966099,52.452871216783215],[-0.5269070190677967,52.29739807867133],[-0.8368931419491528,52.152289816433566],[-0.854115,52.038275999999996],[-0.8368931419491528,51.9657220506993],[-0.6646786292372884,51.903532795454545],[-0.6474571779661016,51.78951916083916],[-0.509686,51.623681],[-0.09637073728813572,51.66514065034965],[0.23083683686440626,51.61331627097902],[0.248058,51.457843],[0.730259,51.499303]]]];E40000007;East of England;[0.425775,52.17585];
[[[[0.730259,51.499303],[0.248058,51.457843],[0.09306522669491546,51.34382949825175],[-0.21692089618644061,51.34382949825175],[-0.492464116525424,51.46820800874126],[-0.509686,51.623681],[-0.6474571779661016,51.78951916083916],[-0.6646786292372884,51.903532795454545],[-0.8368931419491528,51.9657220506993],[-0.854115,52.038275999999996],[-0.9918862033898304,52.07973568531468],[-1.1813221673728815,52.0071815541958],[-1.4052010338983054,52.121195188811186],[-1.611858,51.996817],[-1.680744254237288,51.872438167832165],[-1.680744254237288,51.66514065034965],[-1.542972644067797,51.45784313286713],[-1.542972644067797,51.29200511888112],[-1.680744254237288,51.16762660839161],[-1.6290799004237293,51.01215347027972],[-1.8874016694915259,50.96032909090909],[-1.74963,50.711572],[-1.1985436186440683,50.58719355944056],[-0.9918862033898304,50.753031573426576],[-0.4407997627118645,50.79449107692307],[0.24805828813559305,50.753031573426576],[0.9885806927966101,50.92923446328671],[1.0919094004237282,51.03288322202797],[1.419116974576271,51.16762660839161],[1.4018955233050843,51.36455925],[1.212459559322034,51.41638362937063],[1.0230235953389828,51.38528900174825],[0.730259,51.499303]]]];E40000005;South East;[-0.96957,51.43412];
[[[[-3.402889,54.318549],[-3.0584603559322034,54.484386888111885],[-2.800138586864407,54.47402201223776],[-2.3868237563559322,54.34964350174825],[-2.3007165,54.27708937062937],[-2.421266658898305,54.08015672902098],[-2.3523808538135595,53.99723772202797],[-2.111280536016949,53.935048466783215],[-2.1457234385593225,53.70702119755244],[-2.0423947309322035,53.686291445804194],[-1.818516,53.447899],[-1.5946369978813557,53.333885666083916],[-0.8541145932203396,53.24060178321678],[-0.7852287881355933,53.28206128671329],[-0.7680073368644065,53.47899392832168],[-0.5957928241525421,53.45826417657342],[-0.3719139576271191,53.57227781118881],[-0.14803509110169522,53.49972368006993],[0.041401,53.530818],[0.11028667796610137,53.69665632167832],[-0.16525654237288112,54.02833234965035],[-0.11359218855932252,54.14234598426573],[-0.5957928241525421,54.515481515734265],[-1.1813221673728815,54.70204928146853],[-1.4740868389830508,55.18919844755244],[-1.560194095338983,55.51050959965035],[-2.025173,55.811091],[-2.094059,55.811091],[-2.2834950487288133,55.67634761363636],[-2.317937951271187,55.448320344405595],[-2.800138586864407,55.15810381993007],[-3.4545537351694917,54.88861704720279],[-3.6095467966101697,54.650224902097904],[-3.6095467966101697,54.484386888111885],[-3.402889,54.318549]]]];E40000009;North East and Yorkshire;[-1.72452,54.191521];
[[[[-3.402889,54.318549],[-3.385667930084746,54.20453523951049],[-3.247896319915254,54.12161623251748],[-3.006796002118644,54.14234598426573],[-2.9206887457627118,54.06979185314685],[-3.110124709745763,53.852129459790206],[-3.0584603559322034,53.69665632167832],[-3.196231966101695,53.32352079020979],[-2.851803,52.991845],[-2.455709561440678,52.96075013461538],[-2.214609243644068,53.14731790034965],[-2.0423947309322035,53.1680476520979],[-2.0079518283898308,53.39607492132867],[-1.818516,53.447899],[-2.0423947309322035,53.686291445804194],[-2.1457234385593225,53.70702119755244],[-2.111280536016949,53.935048466783215],[-2.3523808538135595,53.99723772202797],[-2.421266658898305,54.08015672902098],[-2.3007165,54.27708937062937],[-2.3868237563559322,54.34964350174825],[-2.800138586864407,54.47402201223776],[-3.0584603559322034,54.484386888111885],[-3.402889,54.318549]]]];E40000010;North West;[-2.59991,53.896412];
[[[[-0.854115,52.038275999999996],[-0.8368931419491528,52.152289816433566],[-0.5269070190677967,52.29739807867133],[-0.5096855677966099,52.452871216783215],[-0.5785713728813562,52.535790223776225],[-0.492464116525424,52.64980385839161],[0.02417942161016917,52.670533610139856],[0.05862232415254187,52.732722865384616],[0.23083683686440626,52.753452617132865],[0.248058,52.867466],[0.17917248305084765,52.95038525874126],[0.36860844703389795,53.1265881486014],[0.38582989830508474,53.28206128671329],[0.16195103177966086,53.52045343181818],[0.041401,53.530818],[-0.14803509110169522,53.49972368006993],[-0.3719139576271191,53.57227781118881],[-0.5957928241525421,53.45826417657342],[-0.7680073368644065,53.47899392832168],[-0.7852287881355933,53.28206128671329],[-0.8541145932203396,53.24060178321678],[-1.5946369978813557,53.333885666083916],[-1.818516,53.447899],[-2.0079518283898308,53.39607492132867],[-2.0423947309322035,53.1680476520979],[-2.214609243644068,53.14731790034965],[-2.455709561440678,52.96075013461538],[-2.851803,52.991845],[-3.110124709745763,52.94002038286713],[-3.1273461610169493,52.57724972727273],[-3.2651177711864405,52.452871216783215],[-3.0584603559322034,52.287033202797204],[-3.1273461610169493,52.204114195804195],[-3.1273461610169493,52.03827618181818],[-3.041238904661017,51.924262547202794],[-2.714031,51.830979],[-2.5934811716101698,51.84134354020979],[-2.421266658898305,51.986451802447554],[-2.094059084745763,51.99681667832168],[-1.8185158644067796,52.07973568531468],[-1.611858,51.996817],[-1.4052010338983054,52.121195188811186],[-1.1813221673728815,52.0071815541958],[-0.9918862033898304,52.07973568531468],[-0.854115,52.038275999999996]]]];E40000008;Midlands;[-1.45821,52.72694];
[[[[0.248058,51.457843],[0.23083683686440626,51.61331627097902],[-0.09637073728813572,51.66514065034965],[-0.509686,51.623681],[-0.492464116525424,51.46820800874126],[-0.21692089618644061,51.34382949825175],[0.09306522669491546,51.34382949825175],[0.248058,51.457843]]]];E40000003;London;[-0.30864,51.492271];
[[[[-1.611858,51.996817],[-1.8185158644067796,52.07973568531468],[-2.094059084745763,51.99681667832168],[-2.421266658898305,51.986451802447554],[-2.5934811716101698,51.84134354020979],[-2.714031,51.830979],[-2.731252781779661,51.55112701573427],[-2.9723530995762713,51.44747825699301],[-3.1445676122881356,51.21945098776224],[-4.022861627118644,51.25054561538462],[-4.212297591101695,51.19872123601399],[-4.315626298728814,51.053612973776225],[-4.556726616525424,50.991423718531465],[-4.660055324152543,50.7633964493007],[-5.038927252118644,50.57682868356643],[-5.211141764830509,50.34880141433566],[-5.521127887711865,50.2451526555944],[-5.727785302966102,50.120774145104896],[-5.727785302966102,50.05858488986014],[-5.417799180084746,50.07931464160839],[-5.211141764830509,49.97566588286713],[-5.073370154661017,50.01712538636364],[-4.970041447033898,50.1622336486014],[-4.505062262711864,50.338436538461536],[-3.626768247881356,50.224422903846154],[-3.385667930084746,50.61828818706294],[-3.1273461610169493,50.670112566433566],[-2.0251732796610167,50.58719355944056],[-1.870180218220339,50.70120719405595],[-1.74963,50.711572],[-1.8874016694915259,50.96032909090909],[-1.6290799004237293,51.01215347027972],[-1.680744254237288,51.16762660839161],[-1.542972644067797,51.29200511888112],[-1.542972644067797,51.45784313286713],[-1.680744254237288,51.66514065034965],[-1.680744254237288,51.872438167832165],[-1.611858,51.996817]]]];E40000006;South West;[-3.63343,50.811192];
[[[[-3.501284,55.403940999999996],[-3.1107905237226277,55.36540409529702],[-2.8793872244525547,55.242086016089104],[-2.864925,55.126475],[-2.7636855748175186,55.134182696782176],[-2.1851773266423358,55.442477894801975],[-2.228565445255475,55.61974763366336],[-2.0694756770072997,55.78160261262376],[-2.0550129708029203,55.866383792079205],[-2.127326501824818,55.92033545173267],[-2.344267,55.958872],[-2.575670394160584,55.83555427227722],[-3.1107905237226277,55.750773092821774],[-3.3277311167883212,55.804724752475245],[-3.4434329999999997,55.773894999999996],[-3.443432766423358,55.68140667326732],[-3.5012835912408766,55.61974763366336],[-3.501284,55.403940999999996]]]];S08000016;Borders;[-2.72574736115519,55.521863575];
[[[[-3.501284,55.403940999999996],[-3.5012835912408766,55.61974763366336],[-3.443432766423358,55.68140667326732],[-3.4434329999999997,55.773894999999996],[-3.732687,55.804725],[-3.732687,55.866384],[-3.7905379999999997,55.897213],[-4.021941,56.020531],[-4.137643,56.020531],[-4.094254545620438,55.8740911720297],[-4.238881607664234,55.79701737252475],[-4.1954934890510955,55.7122361930693],[-4.253344,55.681407],[-4.181030782846715,55.59662549381188],[-4.03640372080292,55.5503812141089],[-4.021941,55.465599999999995],[-3.862851246350365,55.45789265470297],[-3.674836065693431,55.31145243564356],[-3.5735971222627745,55.319159815594055],[-3.501284,55.403940999999996]]]];S08000032;Lanarkshire;[-3.6723207237385,55.5950838613861];
[[[[-3.501284,55.403940999999996],[-3.5735971222627745,55.319159815594055],[-3.674836065693431,55.31145243564356],[-3.862851246350365,55.45789265470297],[-4.021941,55.465599999999995],[-4.094254545620438,55.34998933539603],[-4.296732432481752,55.303745055693064],[-4.383508669708029,55.195841736386136],[-4.585986556569344,55.14959745668316],[-4.730613618613139,55.04169413737623],[-5.063256,55.033986999999996],[-5.1644948047445265,54.995449857673265],[-5.178957510948905,54.879839158415834],[-4.933091505474453,54.67173989975247],[-4.875240680656935,54.7796432190594],[-4.7740017372262775,54.818180118811874],[-4.585986556569344,54.70256941955445],[-4.4268967883211685,54.66403251980198],[-4.296732432481752,54.7796432190594],[-3.9640901897810226,54.756521079207914],[-3.3711192354014603,54.933790818069305],[-3.05293969890511,54.98003509777227],[-2.8793872244525547,55.072523657178216],[-2.864925,55.126475],[-2.8793872244525547,55.242086016089104],[-3.1107905237226277,55.36540409529702],[-3.501284,55.403940999999996]]]];S08000017;Dumfries and Galloway;[-4.02194125547445,55.064816259901];
