id,week_ending,hb,hbqf,simd_quintile,number_attendances,average20182019,percent_variation
1,20200105,S08000015,,1,789,734,7.5
2,20200105,S08000015,,2,516,505.5,2.1
3,20200105,S08000015,,3,288,290,-0.7
4,20200105,S08000015,,4,231,212.5,8.7
5,20200105,S08000015,,5,180,199,-9.5
6,20200105,S08000016,,1,57,49,16.3
7,20200105,S08000016,,2,122,105,16.2
8,20200105,S08000016,,3,211,208,1.4
9,20200105,S08000016,,4,232,180.5,28.5
10,20200105,S08000016,,5,45,42,7.1
11,20200105,S08000017,,1,132,121.5,8.6
12,20200105,S08000017,,2,356,320.5,11.1
13,20200105,S08000017,,3,275,261.5,5.2
14,20200105,S08000017,,4,103,113,-8.8
15,20200105,S08000017,,5,67,71,-5.6
16,20200105,S08000019,,1,267,273,-2.2
17,20200105,S08000019,,2,404,334,21
18,20200105,S08000019,,3,188,203,-7.4
19,20200105,S08000019,,4,206,188.5,9.3
20,20200105,S08000019,,5,173,156.5,10.5
21,20200105,S08000020,,1,127,138,-8
22,20200105,S08000020,,2,385,380,1.3
23,20200105,S08000020,,3,403,347.5,16
24,20200105,S08000020,,4,561,480.5,16.8
25,20200105,S08000020,,5,550,507,8.5
26,20200105,S08000022,,1,135,149.5,-9.7
27,20200105,S08000022,,2,236,230.5,2.4
28,20200105,S08000022,,3,352,296,18.9
29,20200105,S08000022,,4,379,312.5,21.3
30,20200105,S08000022,,5,104,93.5,11.2
31,20200105,S08000024,,1,785,811.5,-3.3
32,20200105,S08000024,,2,984,1050.5,-6.3
33,20200105,S08000024,,3,669,712,-6
34,20200105,S08000024,,4,659,631.5,4.4
35,20200105,S08000024,,5,799,795.5,0.4
36,20200105,S08000025,,2,14,16.5,-15.2
37,20200105,S08000025,,3,41,31,32.3
38,20200105,S08000025,,4,59,54,9.3
39,20200105,S08000025,,5,13,9.5,36.8
40,20200105,S08000026,,2,13,7.5,73.3
41,20200105,S08000026,,3,41,41.5,-1.2
42,20200105,S08000026,,4,82,85,-3.5
43,20200105,S08000028,,2,33,34,-2.9
44,20200105,S08000028,,3,90,77,16.9
45,20200105,S08000028,,4,13,10.5,23.8
46,20200105,S08000029,,1,415,425.5,-2.5
