id,week_ending,hscp,age_group,age_group_qf,sex,sex_qf,number_attendances,average20182019,percent_variation
1,20200105,S37000001,Under 5,,All,d,83,83.5,-0.6
2,20200105,S37000001,5 - 14,,All,d,78,52.5,48.6
3,20200105,S37000001,15 - 44,,All,d,385,354.5,8.6
4,20200105,S37000001,45 - 64,,All,d,176,194.5,-9.5
5,20200105,S37000001,65 - 74,,All,d,82,70.5,16.3
6,20200105,S37000001,75 - 84,,All,d,71,69,2.9
7,20200105,S37000001,85 and over,,All,d,59,38,55.3
8,20200105,S37000001,All ages,d,All,d,952,876,8.7
9,20200105,S37000001,All ages,d,Female,,473,412,14.8
10,20200105,S37000001,All ages,d,Male,,461,450.5,2.3
11,20200105,S37000002,Under 5,,All,d,50,47.5,5.3
12,20200105,S37000002,5 - 14,,All,d,49,41.5,18.1
13,20200105,S37000002,15 - 44,,All,d,186,177,5.1
14,20200105,S37000002,45 - 64,,All,d,156,125.5,24.3
15,20200105,S37000002,65 - 74,,All,d,64,64.5,-0.8
16,20200105,S37000002,75 - 84,,All,d,54,58.5,-7.7
17,20200105,S37000002,85 and over,,All,d,25,34,-26.5
18,20200105,S37000002,All ages,d,All,d,587,550.5,6.6
19,20200105,S37000002,All ages,d,Female,,286,277,3.2
20,20200105,S37000002,All ages,d,Male,,298,271.5,9.8
21,20200105,S37000003,Under 5,,All,d,17,16.5,3
22,20200105,S37000003,5 - 14,,All,d,6,9.5,-36.8
23,20200105,S37000003,15 - 44,,All,d,76,77.5,-1.9
24,20200105,S37000003,45 - 64,,All,d,46,41,12.2
25,20200105,S37000003,65 - 74,,All,d,20,24,-16.7
26,20200105,S37000003,75 - 84,,All,d,35,23.5,48.9
27,20200105,S37000003,85 and over,,All,d,23,18,27.8
28,20200105,S37000003,All ages,d,All,d,224,210.5,6.4
29,20200105,S37000003,All ages,d,Female,,106,98.5,7.6
30,20200105,S37000003,All ages,d,Male,,117,111.5,4.9
31,20200105,S37000004,Under 5,,All,d,31,14.5,113.8
32,20200105,S37000004,5 - 14,,All,d,15,11.5,30.4
33,20200105,S37000004,15 - 44,,All,d,99,68.5,44.5
34,20200105,S37000004,45 - 64,,All,d,54,43.5,24.1
35,20200105,S37000004,65 - 74,,All,d,33,36,-8.3
36,20200105,S37000004,75 - 84,,All,d,41,24.5,67.3
37,20200105,S37000004,85 and over,,All,d,26,16.5,57.6
38,20200105,S37000004,All ages,d,All,d,303,219,38.4
39,20200105,S37000004,All ages,d,Female,,157,113.5,38.3
40,20200105,S37000004,All ages,d,Male,,142,101.5,39.9
41,20200105,S37000005,Under 5,,All,d,33,31.5,4.8
42,20200105,S37000005,5 - 14,,All,d,19,22.5,-15.6
43,20200105,S37000005,15 - 44,,All,d,147,156,-5.8
44,20200105,S37000005,45 - 64,,All,d,121,91.5,32.2
45,20200105,S37000005,65 - 74,,All,d,60,51.5,16.5
46,20200105,S37000005,75 - 84,,All,d,63,48,31.2
47,20200105,S37000005,85 and over,,All,d,27,37.5,-28
48,20200105,S37000005,All ages,d,All,d,477,448,6.5
49,20200105,S37000005,All ages,d,Female,,222,221.5,0.2
50,20200105,S37000005,All ages,d,Male,,248,217,14.3
51,20200105,S37000006,Under 5,,All,d,71,81,-12.3
52,20200105,S37000006,5 - 14,,All,d,38,55.5,-31.5
53,20200105,S37000006,15 - 44,,All,d,315,308,2.3
54,20200105,S37000006,45 - 64,,All,d,212,185.5,14.3
55,20200105,S37000006,65 - 74,,All,d,108,104,3.8
56,20200105,S37000006,75 - 84,,All,d,115,96.5,19.2
57,20200105,S37000006,85 and over,,All,d,57,45,26.7
58,20200105,S37000006,All ages,d,All,d,917,875.5,4.7
59,20200105,S37000006,All ages,d,Female,,461,437.5,5.4
60,20200105,S37000006,All ages,d,Male,,455,438,3.9
61,20200105,S37000007,Under 5,,All,d,45,46,-2.2
62,20200105,S37000007,5 - 14,,All,d,38,30,26.7
63,20200105,S37000007,15 - 44,,All,d,226,226,0
64,20200105,S37000007,45 - 64,,All,d,108,127,-15
65,20200105,S37000007,65 - 74,,All,d,55,49,12.2
66,20200105,S37000007,75 - 84,,All,d,44,41.5,6
67,20200105,S37000007,85 and over,,All,d,40,29,37.9
68,20200105,S37000007,All ages,d,All,d,561,549,2.2
69,20200105,S37000007,All ages,d,Female,,284,270,5.2
70,20200105,S37000007,All ages,d,Male,,272,278.5,-2.3
71,20200105,S37000008,Under 5,,All,d,83,65,27.7
72,20200105,S37000008,5 - 14,,All,d,46,40,15
73,20200105,S37000008,15 - 44,,All,d,241,246,-2
74,20200105,S37000008,45 - 64,,All,d,171,156,9.6
75,20200105,S37000008,65 - 74,,All,d,70,59.5,17.6
76,20200105,S37000008,75 - 84,,All,d,50,58,-13.8
77,20200105,S37000008,85 and over,,All,d,28,30,-6.7
78,20200105,S37000008,All ages,d,All,d,695,657.5,5.7
79,20200105,S37000008,All ages,d,Female,,335,320.5,4.5
80,20200105,S37000008,All ages,d,Male,,354,334,6
81,20200105,S37000009,Under 5,,All,d,43,66,-34.8
82,20200105,S37000009,5 - 14,,All,d,45,30.5,47.5
83,20200105,S37000009,15 - 44,,All,d,103,98.5,4.6
84,20200105,S37000009,45 - 64,,All,d,70,78.5,-10.8
85,20200105,S37000009,65 - 74,,All,d,39,42.5,-8.2
86,20200105,S37000009,75 - 84,,All,d,54,43.5,24.1
87,20200105,S37000009,85 and over,,All,d,38,31,22.6
88,20200105,S37000009,All ages,d,All,d,394,391.5,0.6
89,20200105,S37000009,All ages,d,Female,,200,199,0.5
90,20200105,S37000009,All ages,d,Male,,192,191.5,0.3
91,20200105,S37000010,Under 5,,All,d,69,84,-17.9
92,20200105,S37000010,5 - 14,,All,d,29,42,-31
93,20200105,S37000010,15 - 44,,All,d,132,132.5,-0.4
94,20200105,S37000010,45 - 64,,All,d,90,95.5,-5.8
95,20200105,S37000010,65 - 74,,All,d,43,44.5,-3.4
96,20200105,S37000010,75 - 84,,All,d,33,49,-32.7
97,20200105,S37000010,85 and over,,All,d,28,26.5,5.7
98,20200105,S37000010,All ages,d,All,d,428,477.5,-10.4
99,20200105,S37000010,All ages,d,Female,,233,248.5,-6.2
100,20200105,S37000010,All ages,d,Male,,191,225.5,-15.3
101,20200105,S37000011,Under 5,,All,d,36,53,-32.1
102,20200105,S37000011,5 - 14,,All,d,15,32.5,-53.8
103,20200105,S37000011,15 - 44,,All,d,105,105,0
104,20200105,S37000011,45 - 64,,All,d,84,92,-8.7
105,20200105,S37000011,65 - 74,,All,d,44,36.5,20.5
106,20200105,S37000011,75 - 84,,All,d,41,44.5,-7.9
107,20200105,S37000011,85 and over,,All,d,23,31.5,-27
