id,week_ending,hscp,simd_quintile,number_attendances,average20182019,percent_variation
1,20200105,S37000001,1,105,117.5,-10.6
2,20200105,S37000001,2,222,237.5,-6.5
3,20200105,S37000001,3,148,124.5,18.9
4,20200105,S37000001,4,161,127,26.8
5,20200105,S37000001,5,287,251,14.3
6,20200105,S37000002,1,11,11,0
7,20200105,S37000002,2,46,35.5,29.6
8,20200105,S37000002,3,104,97,7.2
9,20200105,S37000002,4,216,201.5,7.2
10,20200105,S37000002,5,199,200.5,-0.7
11,20200105,S37000003,1,21,15.5,35.5
12,20200105,S37000003,2,44,32.5,35.4
13,20200105,S37000003,3,75,64.5,16.3
14,20200105,S37000003,4,50,55.5,-9.9
15,20200105,S37000003,5,29,40.5,-28.4
16,20200105,S37000004,1,24,17.5,37.1
17,20200105,S37000004,2,55,31.5,74.6
18,20200105,S37000004,3,111,75.5,47
19,20200105,S37000004,4,81,70.5,14.9
20,20200105,S37000004,5,24,17.5,37.1
21,20200105,S37000005,1,120,119.5,0.4
22,20200105,S37000005,2,118,92.5,27.6
23,20200105,S37000005,3,69,71.5,-3.5
24,20200105,S37000005,4,92,83.5,10.2
25,20200105,S37000005,5,67,70,-4.3
26,20200105,S37000006,1,125,118.5,5.5
27,20200105,S37000006,2,352,319,10.3
28,20200105,S37000006,3,272,260,4.6
29,20200105,S37000006,4,100,109,-8.3
30,20200105,S37000006,5,63,68,-7.4
31,20200105,S37000007,1,262,234.5,11.7
32,20200105,S37000007,2,104,127.5,-18.4
33,20200105,S37000007,3,75,60.5,24
34,20200105,S37000007,4,62,67.5,-8.1
35,20200105,S37000007,5,48,58,-17.2
36,20200105,S37000008,1,269,258.5,4.1
37,20200105,S37000008,2,193,169,14.2
38,20200105,S37000008,3,95,103,-7.8
39,20200105,S37000008,4,81,68,19.1
40,20200105,S37000008,5,44,54.5,-19.3
41,20200105,S37000009,1,34,35,-2.9
42,20200105,S37000009,2,85,75,13.3
43,20200105,S37000009,3,36,25.5,41.2
44,20200105,S37000009,4,56,77.5,-27.7
45,20200105,S37000009,5,176,174.5,0.9
46,20200105,S37000010,1,25,28,-10.7
47,20200105,S37000010,2,138,170.5,-19.1
48,20200105,S37000010,3,87,85.5,1.8
49,20200105,S37000010,4,100,119.5,-16.3
50,20200105,S37000010,5,47,59.5,-21
51,20200105,S37000011,1,35,50.5,-30.7
52,20200105,S37000011,2,51,54,-5.6
53,20200105,S37000011,3,35,52,-32.7
54,20200105,S37000011,4,59,70,-15.7
55,20200105,S37000011,5,166,168,-1.2
56,20200105,S37000012,1,464,471.5,-1.6
57,20200105,S37000012,2,319,350.5,-9
58,20200105,S37000012,3,266,270.5,-1.7
59,20200105,S37000012,4,325,279.5,16.3
60,20200105,S37000012,5,612,559,9.5
61,20200105,S37000013,1,149,155.5,-4.2
62,20200105,S37000013,2,281,240.5,16.8
63,20200105,S37000013,3,118,124,-4.8
64,20200105,S37000013,4,116,110,5.5
65,20200105,S37000013,5,96,86,11.6
66,20200105,S37000016,1,119,136,-12.5
67,20200105,S37000016,2,207,202.5,2.2
68,20200105,S37000016,3,280,250.5,11.8
69,20200105,S37000016,4,315,261,20.7
70,20200105,S37000016,5,87,83,4.8
71,20200105,S37000017,1,318,310.5,2.4
72,20200105,S37000017,2,68,85,-20
73,20200105,S37000017,3,87,76.5,13.7
74,20200105,S37000017,4,73,83.5,-12.6
75,20200105,S37000017,5,45,43,4.7
76,20200105,S37000018,1,57,71.5,-20.3
77,20200105,S37000018,2,205,197,4.1
78,20200105,S37000018,3,110,108.5,1.4
79,20200105,S37000018,4,69,54.5,26.6
80,20200105,S37000018,5,40,45.5,-12.1
81,20200105,S37000019,1,10,6,66.7
82,20200105,S37000019,2,107,105,1.9
83,20200105,S37000019,3,157,129.5,21.2
84,20200105,S37000019,4,187,156,19.9
85,20200105,S37000019,5,89,63.5,40.2
86,20200105,S37000020,1,342,337,1.5
87,20200105,S37000020,2,143,156.5,-8.6
88,20200105,S37000020,3,81,69,17.4
89,20200105,S37000020,4,88,80,10
90,20200105,S37000020,5,55,57,-3.5
91,20200105,S37000022,2,13,16,-18.8
92,20200105,S37000022,3,41,31.5,30.2
93,20200105,S37000022,4,55,54.5,0.9
94,20200105,S37000022,5,11,9,22.2
95,20200105,S37000024,1,393,411,-4.4
96,20200105,S37000024,2,194,227.5,-14.7
97,20200105,S37000024,3,169,189.5,-10.8
98,20200105,S37000024,4,144,135.5,6.3
99,20200105,S37000024,5,135,124.5,8.4
100,20200105,S37000025,1,49,46,6.5
101,20200105,S37000025,2,123,103.5,18.8
102,20200105,S37000025,3,207,204,1.5
103,20200105,S37000025,4,240,187.5,28
104,20200105,S37000025,5,41,42.5,-3.5
105,20200105,S37000026,2,13,7,85.7
106,20200105,S37000026,3,40,42,-4.8
107,20200105,S37000026,4,82,84.5,-3
108,20200105,S37000027,1,176,149.5,17.7
109,20200105,S37000027,2,194,193,0.5
110,20200105,S37000027,3,120,126,-4.8
111,20200105,S37000027,4,78,78,0
112,20200105,S37000027,5,99,106.5,-7
113,20200105,S37000028,1,471,469.5,0.3
114,20200105,S37000028,2,559,573.5,-2.5
115,20200105,S37000028,3,367,364.5,0.7
116,20200105,S37000028,4,297,290.5,2.2
117,20200105,S37000028,5,165,182,-9.3
118,20200105,S37000029,1,200,175.5,14
119,20200105,S37000029,2,95,85,11.8
120,20200105,S37000029,3,52,50.5,3
121,20200105,S37000029,4,23,27.5,-16.4
122,20200105,S37000029,5,8,7.5,6.7
123,20200105,S37000030,1,205,222,-7.7
124,20200105,S37000030,2,311,317.5,-2
125,20200105,S37000030,3,203,226,-10.2
126,20200105,S37000030,4,141,156,-9.6
127,20200105,S37000030,5,107,125.5,-14.7
128,20200105,S37000031,2,31,34.5,-10.1
129,20200105,S37000031,3,91,78.5,15.9
130,20200105,S37000031,4,12,9.5,26.3
131,20200105,S37000032,1,421,432.5,-2.7
132,20200105,S37000032,2,327,325,0.6
133,20200105,S37000032,3,258,280.5,-8
134,20200105,S37000032,4,183,163,12.3
135,20200105,S37000032,5,189,184.5,2.4
136,20200105,S37000033,1,56,43,30.2
137,20200105,S37000033,2,73,85.5,-14.6
138,20200105,S37000033,3,94,120.5,-22
139,20200105,S37000033,4,176,163.5,7.6
140,20200105,S37000033,5,77,89,-13.5
141,20200105,S37000034,1,1922,1958,-1.8
142,20200105,S37000034,2,536,562.5,-4.7
143,20200105,S37000034,3,335,340.5,-1.6
144,20200105,S37000034,4,239,233,2.6
145,20200105,S37000034,5,173,193,-10.4
146,20200105,S37000035,1,892,836.5,6.6
147,20200105,S37000035,2,644,639,0.8
148,20200105,S37000035,3,401,341.5,17.4
149,20200105,S37000035,4,205,209.5,-2.1
150,20200105,S37000035,5,116,137.5,-15.6
151,20200112,S37000001,1,96,101.5,-5.4
152,20200112,S37000001,2,205,229,-10.5
153,20200112,S37000001,3,110,126,-12.7
154,20200112,S37000001,4,143,138,3.6
155,20200112,S37000001,5,223,216,3.2
156,20200112,S37000002,1,9,11,-18.2
157,20200112,S37000002,2,39,29,34.5
158,20200112,S37000002,3,89,74,20.3
159,20200112,S37000002,4,165,179.5,-8.1
160,20200112,S37000002,5,199,169,17.8
161,20200112,S37000003,1,18,18,0
162,20200112,S37000003,2,24,36.5,-34.2
163,20200112,S37000003,3,68,67,1.5
164,20200112,S37000003,4,51,44,15.9
165,20200112,S37000003,5,39,27,44.4
166,20200112,S37000004,1,19,20,-5
167,20200112,S37000004,2,48,40,20
168,20200112,S37000004,3,99,70.5,40.4
169,20200112,S37000004,4,66,63.5,3.9
170,20200112,S37000004,5,21,13.5,55.6
171,20200112,S37000005,1,123,112,9.8
172,20200112,S37000005,2,104,85,22.4
173,20200112,S37000005,3,70,66.5,5.3
174,20200112,S37000005,4,89,71.5,24.5
175,20200112,S37000005,5,51,58.5,-12.8
176,20200112,S37000006,1,111,105,5.7
177,20200112,S37000006,2,286,279,2.5
178,20200112,S37000006,3,236,242,-2.5
179,20200112,S37000006,4,126,110.5,14
180,20200112,S37000006,5,62,54.5,13.8
181,20200112,S37000007,1,238,214,11.2
182,20200112,S37000007,2,100,118.5,-15.6
183,20200112,S37000007,3,62,60,3.3
184,20200112,S37000007,4,58,62,-6.5
185,20200112,S37000007,5,46,67.5,-31.9
186,20200112,S37000008,1,255,253.5,0.6
187,20200112,S37000008,2,200,200.5,-0.2
188,20200112,S37000008,3,91,107,-15
189,20200112,S37000008,4,71,70,1.4
190,20200112,S37000008,5,47,49,-4.1
191,20200112,S37000009,1,28,25.5,9.8
192,20200112,S37000009,2,59,76,-22.4
193,20200112,S37000009,3,27,30,-10
194,20200112,S37000009,4,74,53.5,38.3
195,20200112,S37000009,5,166,168,-1.2
196,20200112,S37000010,1,19,20.5,-7.3
197,20200112,S37000010,2,150,143,4.9
198,20200112,S37000010,3,102,83.5,22.2
199,20200112,S37000010,4,85,108.5,-21.7
200,20200112,S37000010,5,62,62,0
201,20200112,S37000011,1,49,48,2.1
202,20200112,S37000011,2,45,54,-16.7
203,20200112,S37000011,3,50,52,-3.8
204,20200112,S37000011,4,50,64,-21.9
205,20200112,S37000011,5,186,164,13.4
206,20200112,S37000012,1,443,439.5,0.8
207,20200112,S37000012,2,334,340.5,-1.9
208,20200112,S37000012,3,246,243,1.2
209,20200112,S37000012,4,289,269.5,7.2
210,20200112,S37000012,5,539,545,-1.1
211,20200112,S37000013,1,153,146,4.8
212,20200112,S37000013,2,253,222,14
213,20200112,S37000013,3,118,115.5,2.2
214,20200112,S37000013,4,124,104,19.2
215,20200112,S37000013,5,117,87.5,33.7
216,20200112,S37000016,1,125,109.5,14.2
217,20200112,S37000016,2,183,182.5,0.3
218,20200112,S37000016,3,250,223.5,11.9
219,20200112,S37000016,4,265,226.5,17
220,20200112,S37000016,5,82,77,6.5
221,20200112,S37000017,1,308,279.5,10.2
222,20200112,S37000017,2,82,75.5,8.6
223,20200112,S37000017,3,104,64.5,61.2
224,20200112,S37000017,4,81,69,17.4
225,20200112,S37000017,5,44,33,33.3
226,20200112,S37000018,1,59,64,-7.8
227,20200112,S37000018,2,187,207,-9.7
228,20200112,S37000018,3,117,122.5,-4.5
229,20200112,S37000018,4,73,65,12.3
230,20200112,S37000018,5,53,52,1.9
231,20200112,S37000019,1,7,7.5,-6.7
232,20200112,S37000019,2,99,73.5,34.7
233,20200112,S37000019,3,139,120,15.8
234,20200112,S37000019,4,153,131.5,16.3
235,20200112,S37000019,5,70,66,6.1
236,20200112,S37000020,1,367,343,7
237,20200112,S37000020,2,136,157,-13.4
238,20200112,S37000020,3,65,68,-4.4
239,20200112,S37000020,4,74,78,-5.1
240,20200112,S37000020,5,48,47.5,1.1
241,20200112,S37000022,2,24,17.5,37.1
242,20200112,S37000022,3,41,28,46.4
243,20200112,S37000022,4,60,40,50
244,20200112,S37000022,5,12,6.5,84.6
245,20200112,S37000024,1,442,403.5,9.5
246,20200112,S37000024,2,220,220.5,-0.2
247,20200112,S37000024,3,183,186,-1.6
248,20200112,S37000024,4,153,154,-0.6
249,20200112,S37000024,5,153,136,12.5
250,20200112,S37000025,1,36,34.5,4.3
251,20200112,S37000025,2,107,113.5,-5.7
252,20200112,S37000025,3,186,196,-5.1
253,20200112,S37000025,4,173,193,-10.4
254,20200112,S37000025,5,40,41,-2.4
255,20200112,S37000026,2,6,6.5,-7.7
256,20200112,S37000026,3,36,41.5,-13.3
257,20200112,S37000026,4,80,83,-3.6
258,20200112,S37000027,1,162,157.5,2.9
259,20200112,S37000027,2,155,170.5,-9.1
260,20200112,S37000027,3,150,124.5,20.5
261,20200112,S37000027,4,65,74,-12.2
262,20200112,S37000027,5,96,99,-3
263,20200112,S37000028,1,489,450,8.7
264,20200112,S37000028,2,587,532,10.3
265,20200112,S37000028,3,356,363,-1.9
266,20200112,S37000028,4,287,297.5,-3.5
267,20200112,S37000028,5,213,201,6
268,20200112,S37000029,1,192,166.5,15.3
269,20200112,S37000029,2,84,102,-17.6
270,20200112,S37000029,3,40,42,-4.8
271,20200112,S37000029,4,29,31,-6.5
272,20200112,S37000029,5,7,11.5,-39.1
