id,quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beds,all_staffed_beds_qf,total_occupied_beds,total_occupied_beds_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf
1,2016Q2,,SB0801,,D102H,, ,z,All Acute,d,16875,,13158,,185.43956043956044,,144.5934065934066,,77.97333333333334,
2,2016Q2,,SB0801,,SB0801,d, ,z,All Acute,d,16875,,13158,,185.43956043956044,,144.5934065934066,,77.97333333333334,
3,2016Q3,,SB0801,,D102H,, ,z,All Acute,d,16413,,12380,,178.40217391304347,,134.56521739130434,,75.42801437884604,
4,2016Q3,,SB0801,,SB0801,d, ,z,All Acute,d,16413,,12380,,178.40217391304347,,134.56521739130434,,75.42801437884604,
5,2016Q4,,SB0801,,D102H,, ,z,All Acute,d,16117,,12049,,175.18478260869566,,130.9673913043478,,74.7595706396972,
6,2016Q4,,SB0801,,SB0801,d, ,z,All Acute,d,16117,,12049,,175.18478260869566,,130.9673913043478,,74.7595706396972,
7,2017Q1,,SB0801,,D102H,, ,z,All Acute,d,15622,,11569,,173.57777777777778,,128.54444444444445,,74.0558187171937,
8,2017Q1,,SB0801,,SB0801,d, ,z,All Acute,d,15622,,11569,,173.57777777777778,,128.54444444444445,,74.0558187171937,
9,2017Q2,,SB0801,,D102H,, ,z,All Acute,d,15604,,11614,,171.47252747252747,,127.62637362637362,,74.42963342732632,
10,2017Q2,,SB0801,,SB0801,d, ,z,All Acute,d,15604,,11614,,171.47252747252747,,127.62637362637362,,74.42963342732632,
11,2017Q3,,SB0801,,D102H,, ,z,All Acute,d,15426,,11658,,167.67391304347825,,126.71739130434784,,75.57370672889927,
12,2017Q3,,SB0801,,SB0801,d, ,z,All Acute,d,15426,,11658,,167.67391304347825,,126.71739130434784,,75.57370672889927,
13,2017Q4,,SB0801,,D102H,, ,z,All Acute,d,16159,,12434,,175.6413043478261,,135.15217391304347,,76.94783093013181,
14,2017Q4,,SB0801,,SB0801,d, ,z,All Acute,d,16159,,12434,,175.6413043478261,,135.15217391304347,,76.94783093013181,
15,2018Q1,,SB0801,,D102H,, ,z,All Acute,d,15681,,11871,,174.23333333333332,,131.9,,75.70308016070405,
16,2018Q1,,SB0801,,SB0801,d, ,z,All Acute,d,15681,,11871,,174.23333333333332,,131.9,,75.70308016070405,
17,2018Q2,,SB0801,,D102H,, ,z,All Acute,d,15817,,12349,,173.8131868131868,,135.7032967032967,,78.0742239362711,
18,2018Q2,,SB0801,,SB0801,d, ,z,All Acute,d,15817,,12349,,173.8131868131868,,135.7032967032967,,78.0742239362711,
19,2018Q3,,SB0801,,D102H,, ,z,All Acute,d,15806,,12390,,171.80434782608697,,134.67391304347825,,78.38795394154118,
20,2018Q3,,SB0801,,SB0801,d, ,z,All Acute,d,15806,,12390,,171.80434782608697,,134.67391304347825,,78.38795394154118,
21,2018Q4,,SB0801,,D102H,, ,z,All Acute,d,14852,,11765,,161.43478260869566,,127.8804347826087,,79.21492054942095,
22,2018Q4,,SB0801,,SB0801,d, ,z,All Acute,d,14852,,11765,,161.43478260869566,,127.8804347826087,,79.21492054942095,
23,2019Q1,,SB0801,,D102H,, ,z,All Acute,d,14783,,11654,,164.25555555555556,,129.48888888888888,,78.83379557599946,
24,2019Q1,,SB0801,,SB0801,d, ,z,All Acute,d,14783,,11654,,164.25555555555556,,129.48888888888888,,78.83379557599946,
25,2019Q2,,SB0801,,D102H,, ,z,All Acute,d,14929,,11897,,164.05494505494505,,130.73626373626374,,79.69053519994641,
554,2017Q1,,S08000015,,A101H,, ,z,All Acute,d,9,,9,,0.1,,0.1,,100,
26,2019Q2,,SB0801,,SB0801,d, ,z,All Acute,d,14929,,11897,,164.05494505494505,,130.73626373626374,,79.69053519994641,
27,2019Q3,,SB0801,,D102H,, ,z,All Acute,d,15392,,12067,,167.30434782608697,,131.16304347826087,,78.39786902286902,
28,2019Q3,,SB0801,,SB0801,d, ,z,All Acute,d,15392,,12067,,167.30434782608697,,131.16304347826087,,78.39786902286902,
29,2019Q4,,SB0801,,D102H,, ,z,All Acute,d,15603,,11659,,169.59782608695653,,126.72826086956522,,74.72280971608023,
30,2019Q4,,SB0801,,SB0801,d, ,z,All Acute,d,15603,,11659,,169.59782608695653,,126.72826086956522,,74.72280971608023,
31,2020Q1,,SB0801,,D102H,, ,z,All Acute,d,14896,,10915,,163.69230769230768,,119.94505494505496,,73.27470461868958,
32,2020Q1,,SB0801,,SB0801,d, ,z,All Acute,d,14896,,10915,,163.69230769230768,,119.94505494505496,,73.27470461868958,
33,2020Q2,,SB0801,,D102H,, ,z,All Acute,d,14366,,8101,,157.86813186813183,,89.02197802197803,,56.39008770708619,
34,2020Q2,,SB0801,,SB0801,d, ,z,All Acute,d,14366,,8101,,157.86813186813183,,89.02197802197803,,56.39008770708619,
35,2020Q3,,SB0801,,D102H,, ,z,All Acute,d,15442,,9934,,167.84782608695653,,107.97826086956522,,64.33104520139878,
36,2020Q3,,SB0801,,SB0801,d, ,z,All Acute,d,15442,,9934,,167.84782608695653,,107.97826086956522,,64.33104520139878,
37,2020Q4,,SB0801,,D102H,, ,z,All Acute,d,15665,,11164,,170.27173913043478,,121.34782608695652,,71.26715608043409,
38,2020Q4,,SB0801,,SB0801,d, ,z,All Acute,d,15665,,11164,,170.27173913043478,,121.34782608695652,,71.26715608043409,
39,2021Q1,,SB0801,,D102H,, ,z,All Acute,d,16547,,12060,,183.85555555555555,,134,,72.88330210914366,
40,2021Q1,,SB0801,,SB0801,d, ,z,All Acute,d,16547,,12060,,183.85555555555555,,134,,72.88330210914366,
41,2021Q2,p,SB0801,,D102H,, ,z,All Acute,d,16159,,12269,,177.57142857142858,,134.82417582417582,,75.92672813911751,
42,2021Q2,p,SB0801,,SB0801,d, ,z,All Acute,d,16159,,12269,,177.57142857142858,,134.82417582417582,,75.92672813911751,
43,2016Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,16875,,13158,,185.43956043956044,,144.5934065934066,,77.97333333333334,
44,2016Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16875,,13158,,185.43956043956044,,144.5934065934066,,77.97333333333334,
45,2016Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,16413,,12380,,178.40217391304347,,134.56521739130434,,75.42801437884604,
46,2016Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16413,,12380,,178.40217391304347,,134.56521739130434,,75.42801437884604,
47,2016Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,16117,,12049,,175.18478260869566,,130.9673913043478,,74.7595706396972,
48,2016Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16117,,12049,,175.18478260869566,,130.9673913043478,,74.7595706396972,
49,2017Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,15622,,11569,,173.57777777777778,,128.54444444444445,,74.0558187171937,
50,2017Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15622,,11569,,173.57777777777778,,128.54444444444445,,74.0558187171937,
51,2017Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,15604,,11614,,171.47252747252747,,127.62637362637362,,74.42963342732632,
52,2017Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15604,,11614,,171.47252747252747,,127.62637362637362,,74.42963342732632,
53,2017Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15426,,11658,,167.67391304347825,,126.71739130434784,,75.57370672889927,
54,2017Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15426,,11658,,167.67391304347825,,126.71739130434784,,75.57370672889927,
55,2017Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,16159,,12434,,175.6413043478261,,135.15217391304347,,76.94783093013181,
56,2017Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16159,,12434,,175.6413043478261,,135.15217391304347,,76.94783093013181,
57,2018Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,15681,,11871,,174.23333333333332,,131.9,,75.70308016070405,
58,2018Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15681,,11871,,174.23333333333332,,131.9,,75.70308016070405,
59,2018Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,15817,,12349,,173.8131868131868,,135.7032967032967,,78.0742239362711,
60,2018Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15817,,12349,,173.8131868131868,,135.7032967032967,,78.0742239362711,
61,2018Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15806,,12390,,171.80434782608697,,134.67391304347825,,78.38795394154118,
62,2018Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15806,,12390,,171.80434782608697,,134.67391304347825,,78.38795394154118,
63,2018Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,14852,,11765,,161.43478260869566,,127.8804347826087,,79.21492054942095,
64,2018Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14852,,11765,,161.43478260869566,,127.8804347826087,,79.21492054942095,
65,2019Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,14783,,11654,,164.25555555555556,,129.48888888888888,,78.83379557599946,
66,2019Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14783,,11654,,164.25555555555556,,129.48888888888888,,78.83379557599946,
67,2019Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,14929,,11897,,164.05494505494505,,130.73626373626374,,79.69053519994641,
68,2019Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,14929,,11897,,164.05494505494505,,130.73626373626374,,79.69053519994641,
69,2019Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,15392,,12067,,167.30434782608697,,131.16304347826087,,78.39786902286902,
70,2019Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15392,,12067,,167.30434782608697,,131.16304347826087,,78.39786902286902,
71,2019Q4,,SB0801,,D102H,,Z9,d,All Specialties,d,15603,,11659,,169.59782608695653,,126.72826086956522,,74.72280971608023,
72,2019Q4,,SB0801,,SB0801,d,Z9,d,All Specialties,d,15603,,11659,,169.59782608695653,,126.72826086956522,,74.72280971608023,
73,2020Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,14896,,10915,,163.69230769230768,,119.94505494505496,,73.27470461868958,
