id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
1,20200105,S08000015,,Under 5,,All,d,All,d,89,93,-4.3
2,20200105,S08000015,,5 - 14,,All,d,All,d,26,33,-21.2
3,20200105,S08000015,,15 - 44,,All,d,All,d,171,191.5,-10.7
4,20200105,S08000015,,45 - 64,,All,d,All,d,245,259,-5.4
5,20200105,S08000015,,65 - 74,,All,d,All,d,184,195.5,-5.9
6,20200105,S08000015,,75 - 84,,All,d,All,d,169,179.5,-5.8
7,20200105,S08000015,,85 and over,,All,d,All,d,106,128,-17.2
8,20200105,S08000015,,All ages,d,All,d,All,d,990,1079.5,-8.3
9,20200105,S08000015,,All ages,d,Female,,All,d,493,540.5,-8.8
10,20200105,S08000015,,All ages,d,Male,,All,d,488,529.5,-7.8
11,20200105,S08000016,,Under 5,,All,d,All,d,25,28.5,-12.3
12,20200105,S08000016,,15 - 44,,All,d,All,d,27,33.5,-19.4
13,20200105,S08000016,,45 - 64,,All,d,All,d,44,51.5,-14.6
14,20200105,S08000016,,65 - 74,,All,d,All,d,59,45.5,29.7
15,20200105,S08000016,,75 - 84,,All,d,All,d,65,60,8.3
16,20200105,S08000016,,85 and over,,All,d,All,d,53,44,20.5
17,20200105,S08000016,,All ages,d,All,d,All,d,275,270.5,1.7
18,20200105,S08000016,,All ages,d,Female,,All,d,139,134.5,3.3
19,20200105,S08000016,,All ages,d,Male,,All,d,131,133.5,-1.9
20,20200105,S08000017,,Under 5,,All,d,All,d,29,35.5,-18.3
21,20200105,S08000017,,5 - 14,,All,d,All,d,7,12,-41.7
22,20200105,S08000017,,15 - 44,,All,d,All,d,64,69.5,-7.9
23,20200105,S08000017,,45 - 64,,All,d,All,d,89,69,29
24,20200105,S08000017,,65 - 74,,All,d,All,d,66,70,-5.7
25,20200105,S08000017,,75 - 84,,All,d,All,d,82,79.5,3.1
26,20200105,S08000017,,85 and over,,All,d,All,d,56,58.5,-4.3
27,20200105,S08000017,,All ages,d,All,d,All,d,393,394,-0.3
28,20200105,S08000017,,All ages,d,Female,,All,d,194,193,0.5
29,20200105,S08000017,,All ages,d,Male,,All,d,191,196,-2.6
30,20200105,S08000019,,Under 5,,All,d,All,d,39,117.5,-66.8
