id,week_ending,hb,hbqf,admission_type,admission_type_qf,specialty,specialty_qf,number_admissions,average20182019,percent_variation
1,20200105,S08000015,,All,d,Accident & Emergency,,30,30.5,-1.6
2,20200105,S08000015,,All,d,All,d,990,1079.5,-8.3
3,20200105,S08000015,,All,d,Cardiology,,17,11.5,47.8
4,20200105,S08000015,,All,d,Medical (excl. Cardiology & Cancer),,606,663,-8.6
5,20200105,S08000015,,All,d,Medical (incl. Cardiology & Cancer),,623,674.5,-7.6
6,20200105,S08000015,,All,d,Paediatrics (medical & surgical),,116,128.5,-9.7
7,20200105,S08000015,,All,d,Paediatrics (medical),,116,128.5,-9.7
8,20200105,S08000015,,All,d,Surgery,,221,246,-10.2
9,20200105,S08000016,,All,d,All,d,275,270.5,1.7
10,20200105,S08000016,,All,d,Cardiology,,9,6,50
11,20200105,S08000016,,All,d,Community,,12,17.5,-31.4
12,20200105,S08000016,,All,d,Medical (excl. Cardiology & Cancer),,171,143.5,19.2
13,20200105,S08000016,,All,d,Medical (incl. Cardiology & Cancer),,180,149.5,20.4
14,20200105,S08000016,,All,d,Paediatrics (medical & surgical),,28,35.5,-21.1
15,20200105,S08000016,,All,d,Paediatrics (medical),,28,35.5,-21.1
16,20200105,S08000016,,All,d,Surgery,,55,68,-19.1
17,20200105,S08000017,,All,d,All,d,393,394,-0.3
18,20200105,S08000017,,All,d,Community,,30,29,3.4
19,20200105,S08000017,,All,d,Gynaecology,,12,16,-25
20,20200105,S08000017,,All,d,Medical (excl. Cardiology & Cancer),,224,211.5,5.9
21,20200105,S08000017,,All,d,Medical (incl. Cardiology & Cancer),,227,213,6.6
22,20200105,S08000017,,All,d,Paediatrics (medical & surgical),,35,42.5,-17.6
23,20200105,S08000017,,All,d,Paediatrics (medical),,35,42.5,-17.6
24,20200105,S08000017,,All,d,Surgery,,89,93,-4.3
25,20200105,S08000019,,All,d,All,d,763,1393,-45.2
26,20200105,S08000019,,All,d,Gynaecology,,24,59.5,-59.7
27,20200105,S08000019,,All,d,Medical (excl. Cardiology & Cancer),,496,906,-45.3
28,20200105,S08000019,,All,d,Medical (incl. Cardiology & Cancer),,498,912,-45.4
29,20200105,S08000019,,All,d,Paediatrics (medical & surgical),,62,161.5,-61.6
30,20200105,S08000019,,All,d,Paediatrics (medical),,62,160.5,-61.4
31,20200105,S08000019,,All,d,Surgery,,176,247,-28.7
32,20200105,S08000020,,All,d,Accident & Emergency,,58,39.5,46.8
33,20200105,S08000020,,All,d,All,d,1165,1156.5,0.7
34,20200105,S08000020,,All,d,Cancer,,34,32,6.2
35,20200105,S08000020,,All,d,Cardiology,,28,38.5,-27.3
36,20200105,S08000020,,All,d,Community,,44,56.5,-22.1
37,20200105,S08000020,,All,d,Gynaecology,,18,16,12.5
38,20200105,S08000020,,All,d,Medical (excl. Cardiology & Cancer),,514,524.5,-2
39,20200105,S08000020,,All,d,Medical (incl. Cardiology & Cancer),,576,595,-3.2
40,20200105,S08000020,,All,d,Paediatrics (medical & surgical),,138,107,29
41,20200105,S08000020,,All,d,Paediatrics (medical),,126,98.5,27.9
42,20200105,S08000020,,All,d,Paediatrics (surgical),,12,8.5,41.2
43,20200105,S08000020,,All,d,Surgery,,331,341.5,-3.1
44,20200105,S08000022,,All,d,All,d,744,703,5.8
45,20200105,S08000022,,All,d,Cardiology,,7,9,-22.2
46,20200105,S08000022,,All,d,Community,,99,100,-1
47,20200105,S08000022,,All,d,Gynaecology,,18,19.5,-7.7
48,20200105,S08000022,,All,d,Medical (excl. Cardiology & Cancer),,335,321.5,4.2
49,20200105,S08000022,,All,d,Medical (incl. Cardiology & Cancer),,346,345,0.3
50,20200105,S08000022,,All,d,Paediatrics (medical & surgical),,70,66,6.1
51,20200105,S08000022,,All,d,Paediatrics (medical),,69,66,4.5
52,20200105,S08000022,,All,d,Surgery,,211,171.5,23
53,20200105,S08000024,,All,d,Accident & Emergency,,268,49,446.9
54,20200105,S08000024,,All,d,All,d,2195,1900,15.5
55,20200105,S08000024,,All,d,Cancer,,109,74.5,46.3
56,20200105,S08000024,,All,d,Cardiology,,57,65,-12.3
57,20200105,S08000024,,All,d,Gynaecology,,48,38.5,24.7
58,20200105,S08000024,,All,d,Medical (excl. Cardiology & Cancer),,919,1001,-8.2
59,20200105,S08000024,,All,d,Medical (incl. Cardiology & Cancer),,1085,1140.5,-4.9
60,20200105,S08000024,,All,d,Paediatrics (medical & surgical),,189,144,31.2
61,20200105,S08000024,,All,d,Paediatrics (medical),,168,130,29.2
62,20200105,S08000024,,All,d,Paediatrics (surgical),,21,14,50
63,20200105,S08000024,,All,d,Surgery,,605,528,14.6
64,20200105,S08000025,,All,d,All,d,40,35,14.3
65,20200105,S08000025,,All,d,Medical (excl. Cardiology & Cancer),,31,22,40.9
66,20200105,S08000025,,All,d,Medical (incl. Cardiology & Cancer),,31,22.5,37.8
67,20200105,S08000025,,All,d,Surgery,,9,12,-25
68,20200105,S08000026,,All,d,All,d,28,39.5,-29.1
69,20200105,S08000026,,All,d,Medical (excl. Cardiology & Cancer),,16,22,-27.3
70,20200105,S08000026,,All,d,Medical (incl. Cardiology & Cancer),,16,22,-27.3
71,20200105,S08000026,,All,d,Surgery,,12,17.5,-31.4
72,20200105,S08000028,,All,d,All,d,66,86,-23.3
73,20200105,S08000028,,All,d,Community,,11,14.5,-24.1
74,20200105,S08000028,,All,d,Medical (excl. Cardiology & Cancer),,37,50,-26
75,20200105,S08000028,,All,d,Medical (incl. Cardiology & Cancer),,37,50,-26
76,20200105,S08000028,,All,d,Surgery,,15,17,-11.8
77,20200105,S08000029,,All,d,Accident & Emergency,,74,63,17.5
78,20200105,S08000029,,All,d,All,d,914,904.5,1.1
79,20200105,S08000029,,All,d,Cardiology,,34,24,41.7
80,20200105,S08000029,,All,d,Community,,14,12,16.7
81,20200105,S08000029,,All,d,Gynaecology,,19,22.5,-15.6
82,20200105,S08000029,,All,d,Medical (excl. Cardiology & Cancer),,478,483.5,-1.1
83,20200105,S08000029,,All,d,Medical (incl. Cardiology & Cancer),,512,508,0.8
84,20200105,S08000029,,All,d,Paediatrics (medical & surgical),,93,95,-2.1
85,20200105,S08000029,,All,d,Paediatrics (medical),,92,95,-3.2
86,20200105,S08000029,,All,d,Surgery,,202,202.5,-0.2
87,20200105,S08000030,,All,d,Accident & Emergency,,82,76,7.9
88,20200105,S08000030,,All,d,All,d,1139,1173.5,-2.9
89,20200105,S08000030,,All,d,Cancer,,23,20.5,12.2
90,20200105,S08000030,,All,d,Cardiology,,19,27.5,-30.9
91,20200105,S08000030,,All,d,Community,,9,24,-62.5
92,20200105,S08000030,,All,d,Gynaecology,,21,23,-8.7
93,20200105,S08000030,,All,d,Medical (excl. Cardiology & Cancer),,564,567.5,-0.6
94,20200105,S08000030,,All,d,Medical (incl. Cardiology & Cancer),,606,615.5,-1.5
95,20200105,S08000030,,All,d,Paediatrics (medical & surgical),,122,142,-14.1
96,20200105,S08000030,,All,d,Paediatrics (medical),,122,142,-14.1
97,20200105,S08000030,,All,d,Surgery,,298,292,2.1
98,20200105,S08000031,,All,d,Accident & Emergency,,31,34.5,-10.1
99,20200105,S08000031,,All,d,All,d,3592,3699.5,-2.9
100,20200105,S08000031,,All,d,Cancer,,71,81.5,-12.9
101,20200105,S08000031,,All,d,Cardiology,,121,130,-6.9
102,20200105,S08000031,,All,d,Gynaecology,,103,106.5,-3.3
103,20200105,S08000031,,All,d,Medical (excl. Cardiology & Cancer),,1943,1989,-2.3
104,20200105,S08000031,,All,d,Medical (incl. Cardiology & Cancer),,2135,2200.5,-3
