id,week_ending,hscp,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation
1,20200105,S37000001,1,All,d,65,63,3.2
2,20200105,S37000001,2,All,d,125,132.5,-5.7
3,20200105,S37000001,3,All,d,83,69.5,19.4
4,20200105,S37000001,4,All,d,69,67,3
5,20200105,S37000001,5,All,d,123,132.5,-7.2
6,20200105,S37000002,1,All,d,16,19,-15.8
7,20200105,S37000002,2,All,d,58,60.5,-4.1
8,20200105,S37000002,3,All,d,124,117.5,5.5
9,20200105,S37000002,4,All,d,167,174.5,-4.3
10,20200105,S37000002,5,All,d,111,109.5,1.4
11,20200105,S37000003,1,All,d,16,27.5,-41.8
12,20200105,S37000003,2,All,d,78,77.5,0.6
13,20200105,S37000003,3,All,d,74,78,-5.1
14,20200105,S37000003,4,All,d,70,70.5,-0.7
15,20200105,S37000003,5,All,d,32,31.5,1.6
16,20200105,S37000004,1,All,d,26,29.5,-11.9
17,20200105,S37000004,2,All,d,49,44.5,10.1
18,20200105,S37000004,3,All,d,110,98.5,11.7
19,20200105,S37000004,4,All,d,47,50,-6
20,20200105,S37000004,5,All,d,14,18.5,-24.3
21,20200105,S37000005,1,All,d,101,169.5,-40.4
22,20200105,S37000005,2,All,d,88,117.5,-25.1
23,20200105,S37000005,3,All,d,54,103.5,-47.8
24,20200105,S37000005,4,All,d,75,124.5,-39.8
25,20200105,S37000005,5,All,d,58,114,-49.1
26,20200105,S37000006,1,All,d,44,48,-8.3
27,20200105,S37000006,2,All,d,132,128,3.1
28,20200105,S37000006,3,All,d,144,156,-7.7
29,20200105,S37000006,4,All,d,58,52,11.5
30,20200105,S37000006,5,All,d,37,30,23.3
31,20200105,S37000007,1,All,d,213,193.5,10.1
32,20200105,S37000007,2,All,d,84,90.5,-7.2
33,20200105,S37000007,3,All,d,36,41,-12.2
34,20200105,S37000007,4,All,d,49,45.5,7.7
35,20200105,S37000007,5,All,d,64,49.5,29.3
36,20200105,S37000008,1,All,d,138,132,4.5
37,20200105,S37000008,2,All,d,93,101.5,-8.4
38,20200105,S37000008,3,All,d,57,60.5,-5.8
39,20200105,S37000008,4,All,d,41,33.5,22.4
40,20200105,S37000008,5,All,d,18,31.5,-42.9
41,20200105,S37000009,1,All,d,18,13,38.5
42,20200105,S37000009,2,All,d,58,52.5,10.5
43,20200105,S37000009,3,All,d,37,18.5,100
44,20200105,S37000009,4,All,d,47,54,-13
45,20200105,S37000009,5,All,d,93,108.5,-14.3
46,20200105,S37000010,1,All,d,20,19,5.3
47,20200105,S37000010,2,All,d,80,77.5,3.2
48,20200105,S37000010,3,All,d,65,44.5,46.1
49,20200105,S37000010,4,All,d,47,43,9.3
50,20200105,S37000010,5,All,d,36,30,20
51,20200105,S37000011,1,All,d,12,15.5,-22.6
52,20200105,S37000011,2,All,d,27,24.5,10.2
53,20200105,S37000011,3,All,d,18,22,-18.2
54,20200105,S37000011,4,All,d,54,53,1.9
55,20200105,S37000011,5,All,d,86,85,1.2
56,20200105,S37000012,1,All,d,197,167,18
57,20200105,S37000012,2,All,d,169,170.5,-0.9
58,20200105,S37000012,3,All,d,142,110.5,28.5
59,20200105,S37000012,4,All,d,167,155,7.7
60,20200105,S37000012,5,All,d,353,297,18.9
61,20200105,S37000013,1,All,d,99,165,-40
62,20200105,S37000013,2,All,d,124,213.5,-41.9
63,20200105,S37000013,3,All,d,102,202,-49.5
64,20200105,S37000013,4,All,d,65,95.5,-31.9
65,20200105,S37000013,5,All,d,58,83.5,-30.5
66,20200105,S37000016,1,All,d,74,84,-11.9
67,20200105,S37000016,2,All,d,112,120.5,-7.1
68,20200105,S37000016,3,All,d,220,193,14
69,20200105,S37000016,4,All,d,196,150.5,30.2
70,20200105,S37000016,5,All,d,34,41.5,-18.1
71,20200105,S37000017,1,All,d,114,130.5,-12.6
72,20200105,S37000017,2,All,d,24,32.5,-26.2
73,20200105,S37000017,3,All,d,47,40.5,16
74,20200105,S37000017,4,All,d,24,25.5,-5.9
75,20200105,S37000017,5,All,d,25,23.5,6.4
76,20200105,S37000018,1,All,d,21,29,-27.6
77,20200105,S37000018,2,All,d,95,85,11.8
78,20200105,S37000018,3,All,d,63,42,50
79,20200105,S37000018,4,All,d,29,31,-6.5
80,20200105,S37000018,5,All,d,12,18.5,-35.1
81,20200105,S37000019,1,All,d,11,6,83.3
82,20200105,S37000019,2,All,d,34,31.5,7.9
83,20200105,S37000019,3,All,d,75,68.5,9.5
84,20200105,S37000019,4,All,d,69,65,6.2
85,20200105,S37000019,5,All,d,28,18,55.6
86,20200105,S37000020,1,All,d,176,207.5,-15.2
87,20200105,S37000020,2,All,d,70,82,-14.6
88,20200105,S37000020,3,All,d,58,48.5,19.6
89,20200105,S37000020,4,All,d,38,45,-15.6
90,20200105,S37000020,5,All,d,27,33,-18.2
91,20200105,S37000022,3,All,d,13,9,44.4
92,20200105,S37000022,4,All,d,28,28,0
93,20200105,S37000024,1,All,d,134,128,4.7
94,20200105,S37000024,2,All,d,118,119.5,-1.3
95,20200105,S37000024,3,All,d,70,79.5,-11.9
96,20200105,S37000024,4,All,d,46,43.5,5.7
97,20200105,S37000024,5,All,d,84,69.5,20.9
98,20200105,S37000025,1,All,d,21,27.5,-23.6
99,20200105,S37000025,2,All,d,64,56.5,13.3
100,20200105,S37000025,3,All,d,109,120.5,-9.5
101,20200105,S37000025,4,All,d,90,80.5,11.8
102,20200105,S37000025,5,All,d,12,17,-29.4
