id,week_ending,hb,hbqf,age_group,age_group_qf,sex,sex_qf,sas_incidents,average20182019,percent_variation
1,20200105,S08000015,,Under 5,,All,d,31,32.5,-4.6
2,20200105,S08000015,,5 - 14,,All,d,6,11.5,-47.8
3,20200105,S08000015,,15 - 44,,All,d,176,230,-23.5
4,20200105,S08000015,,45 - 64,,All,d,244,246.5,-1
5,20200105,S08000015,,65 - 74,,All,d,180,200.5,-10.2
6,20200105,S08000015,,75 - 84,,All,d,202,212,-4.7
7,20200105,S08000015,,85 and over,,All,d,179,171.5,4.4
8,20200105,S08000015,,All ages,d,All,d,1076,1151,-6.5
9,20200105,S08000015,,All ages,d,Female,,516,569.5,-9.4
10,20200105,S08000015,,All ages,d,Male,,470,495.5,-5.1
11,20200105,S08000016,,Under 5,,All,d,8,5,60
12,20200105,S08000016,,15 - 44,,All,d,80,61.5,30.1
13,20200105,S08000016,,45 - 64,,All,d,56,53,5.7
14,20200105,S08000016,,65 - 74,,All,d,51,43,18.6
15,20200105,S08000016,,75 - 84,,All,d,73,59,23.7
16,20200105,S08000016,,85 and over,,All,d,66,62.5,5.6
17,20200105,S08000016,,All ages,d,All,d,345,301.5,14.4
18,20200105,S08000016,,All ages,d,Female,,193,142.5,35.4
19,20200105,S08000016,,All ages,d,Male,,128,140,-8.6
20,20200105,S08000017,,Under 5,,All,d,8,8.5,-5.9
21,20200105,S08000017,,5 - 14,,All,d,5,4,25
22,20200105,S08000017,,15 - 44,,All,d,82,74.5,10.1
23,20200105,S08000017,,45 - 64,,All,d,94,73.5,27.9
24,20200105,S08000017,,65 - 74,,All,d,57,68,-16.2
25,20200105,S08000017,,75 - 84,,All,d,98,92,6.5
26,20200105,S08000017,,85 and over,,All,d,67,65.5,2.3
27,20200105,S08000017,,All ages,d,All,d,423,407,3.9
28,20200105,S08000017,,All ages,d,Female,,195,195.5,-0.3
29,20200105,S08000017,,All ages,d,Male,,198,178,11.2
30,20200105,S08000019,,Under 5,,All,d,17,23,-26.1
31,20200105,S08000019,,15 - 44,,All,d,142,139,2.2
32,20200105,S08000019,,45 - 64,,All,d,150,155,-3.2
33,20200105,S08000019,,65 - 74,,All,d,96,101.5,-5.4
34,20200105,S08000019,,75 - 84,,All,d,154,142.5,8.1
35,20200105,S08000019,,85 and over,,All,d,80,93.5,-14.4
36,20200105,S08000019,,All ages,d,All,d,669,692.5,-3.4
37,20200105,S08000019,,All ages,d,Female,,315,307.5,2.4
38,20200105,S08000019,,All ages,d,Male,,304,321,-5.3
39,20200105,S08000020,,Under 5,,All,d,45,34.5,30.4
40,20200105,S08000020,,5 - 14,,All,d,19,17,11.8
41,20200105,S08000020,,15 - 44,,All,d,260,273.5,-4.9
42,20200105,S08000020,,45 - 64,,All,d,263,260.5,1
43,20200105,S08000020,,65 - 74,,All,d,208,187,11.2
44,20200105,S08000020,,75 - 84,,All,d,240,224,7.1
45,20200105,S08000020,,85 and over,,All,d,186,192.5,-3.4
46,20200105,S08000020,,All ages,d,All,d,1295,1240.5,4.4
47,20200105,S08000020,,All ages,d,Female,,623,568.5,9.6
48,20200105,S08000020,,All ages,d,Male,,542,569,-4.7
49,20200105,S08000022,,Under 5,,All,d,35,26,34.6
50,20200105,S08000022,,5 - 14,,All,d,9,7,28.6
51,20200105,S08000022,,15 - 44,,All,d,179,151,18.5
52,20200105,S08000022,,45 - 64,,All,d,188,198,-5.1
53,20200105,S08000022,,65 - 74,,All,d,150,153.5,-2.3
54,20200105,S08000022,,75 - 84,,All,d,193,166.5,15.9
55,20200105,S08000022,,85 and over,,All,d,161,140,15
56,20200105,S08000022,,All ages,d,All,d,971,900.5,7.8
57,20200105,S08000022,,All ages,d,Female,,465,423.5,9.8
58,20200105,S08000022,,All ages,d,Male,,394,370,6.5
59,20200105,S08000024,,Under 5,,All,d,55,57,-3.5
60,20200105,S08000024,,5 - 14,,All,d,28,29,-3.4
61,20200105,S08000024,,15 - 44,,All,d,392,437.5,-10.4
62,20200105,S08000024,,45 - 64,,All,d,422,412,2.4
63,20200105,S08000024,,65 - 74,,All,d,273,245.5,11.2
