id,week_ending,hscp,simd_quintile,sas_incidents,average20182019,percent_variation
1,20200105,S37000001,1,65,60.5,7.4
2,20200105,S37000001,2,129,132,-2.3
3,20200105,S37000001,3,93,76,22.4
4,20200105,S37000001,4,86,69,24.6
5,20200105,S37000001,5,113,115.5,-2.2
6,20200105,S37000002,1,23,19,21.1
7,20200105,S37000002,2,54,56,-3.6
8,20200105,S37000002,3,110,118.5,-7.2
9,20200105,S37000002,4,175,165,6.1
10,20200105,S37000002,5,113,113,0
11,20200105,S37000003,1,26,20.5,26.8
12,20200105,S37000003,2,62,61,1.6
13,20200105,S37000003,3,79,71.5,10.5
14,20200105,S37000003,4,47,52.5,-10.5
15,20200105,S37000003,5,23,35,-34.3
16,20200105,S37000004,1,35,27.5,27.3
17,20200105,S37000004,2,75,48.5,54.6
18,20200105,S37000004,3,116,111,4.5
19,20200105,S37000004,4,54,50.5,6.9
20,20200105,S37000004,5,13,16.5,-21.2
21,20200105,S37000005,1,73,82.5,-11.5
22,20200105,S37000005,2,74,67,10.4
23,20200105,S37000005,3,46,57.5,-20
24,20200105,S37000005,4,51,44,15.9
25,20200105,S37000005,5,42,44.5,-5.6
26,20200105,S37000006,1,51,45,13.3
27,20200105,S37000006,2,141,129.5,8.9
28,20200105,S37000006,3,129,131,-1.5
29,20200105,S37000006,4,44,45.5,-3.3
30,20200105,S37000006,5,22,22.5,-2.2
31,20200105,S37000007,1,176,170,3.5
32,20200105,S37000007,2,76,83.5,-9
33,20200105,S37000007,3,52,44,18.2
34,20200105,S37000007,4,39,39,0
35,20200105,S37000007,5,31,27,14.8
36,20200105,S37000008,1,126,131,-3.8
37,20200105,S37000008,2,62,88,-29.5
38,20200105,S37000008,3,48,39,23.1
39,20200105,S37000008,4,25,22.5,11.1
40,20200105,S37000008,5,17,16,6.2
41,20200105,S37000009,1,12,14,-14.3
42,20200105,S37000009,2,28,41,-31.7
43,20200105,S37000009,3,18,8.5,111.8
44,20200105,S37000009,4,29,38.5,-24.7
45,20200105,S37000009,5,66,75.5,-12.6
46,20200105,S37000010,1,12,10,20
47,20200105,S37000010,2,56,82,-31.7
48,20200105,S37000010,3,52,41.5,25.3
49,20200105,S37000010,4,47,51.5,-8.7
50,20200105,S37000010,5,18,21,-14.3
51,20200105,S37000011,1,11,20,-45
52,20200105,S37000011,2,19,26.5,-28.3
53,20200105,S37000011,3,20,29.5,-32.2
54,20200105,S37000011,4,18,30,-40
55,20200105,S37000011,5,69,72,-4.2
56,20200105,S37000012,1,209,216,-3.2
57,20200105,S37000012,2,161,164.5,-2.1
58,20200105,S37000012,3,104,120,-13.3
59,20200105,S37000012,4,128,124,3.2
60,20200105,S37000012,5,247,218,13.3
61,20200105,S37000013,1,78,71.5,9.1
62,20200105,S37000013,2,113,118,-4.2
63,20200105,S37000013,3,68,66,3
64,20200105,S37000013,4,46,45,2.2
65,20200105,S37000013,5,44,31,41.9
66,20200105,S37000016,1,63,74,-14.9
67,20200105,S37000016,2,118,127.5,-7.5
68,20200105,S37000016,3,179,153,17
69,20200105,S37000016,4,166,139.5,19
70,20200105,S37000016,5,39,39.5,-1.3
71,20200105,S37000017,1,90,116.5,-22.7
72,20200105,S37000017,2,16,32,-50
73,20200105,S37000017,3,26,33,-21.2
74,20200105,S37000017,4,24,27,-11.1
75,20200105,S37000017,5,11,13.5,-18.5
76,20200105,S37000018,1,28,24.5,14.3
77,20200105,S37000018,2,70,77.5,-9.7
78,20200105,S37000018,3,37,40.5,-8.6
79,20200105,S37000018,4,25,18,38.9
80,20200105,S37000018,5,12,17,-29.4
81,20200105,S37000019,1,6,1,500
82,20200105,S37000019,2,29,46.5,-37.6
83,20200105,S37000019,3,57,61,-6.6
84,20200105,S37000019,4,59,71,-16.9
85,20200105,S37000019,5,24,25,-4
86,20200105,S37000020,1,203,210.5,-3.6
87,20200105,S37000020,2,76,80,-5
88,20200105,S37000020,3,54,56,-3.6
89,20200105,S37000020,4,52,45.5,14.3
90,20200105,S37000020,5,18,22.5,-20
91,20200105,S37000022,2,6,3.5,71.4
92,20200105,S37000022,3,24,16.5,45.5
93,20200105,S37000022,4,20,18,11.1
94,20200105,S37000024,1,126,152,-17.1
95,20200105,S37000024,2,79,79,0
96,20200105,S37000024,3,50,74,-32.4
97,20200105,S37000024,4,39,42,-7.1
98,20200105,S37000024,5,31,30,3.3
99,20200105,S37000025,1,28,24.5,14.3
100,20200105,S37000025,2,72,54.5,32.1
101,20200105,S37000025,3,95,98.5,-3.6
102,20200105,S37000025,4,99,81.5,21.5
103,20200105,S37000025,5,17,17,0
104,20200105,S37000026,3,11,15,-26.7
105,20200105,S37000026,4,21,28,-25
106,20200105,S37000027,1,80,87,-8
107,20200105,S37000027,2,105,101.5,3.4
108,20200105,S37000027,3,54,63.5,-15
109,20200105,S37000027,4,25,42.5,-41.2
110,20200105,S37000027,5,48,56,-14.3
111,20200105,S37000028,1,214,197,8.6
112,20200105,S37000028,2,184,228,-19.3
113,20200105,S37000028,3,131,143.5,-8.7
114,20200105,S37000028,4,87,75,16
115,20200105,S37000028,5,57,63.5,-10.2
116,20200105,S37000029,1,107,110.5,-3.2
117,20200105,S37000029,2,74,65.5,13
118,20200105,S37000029,3,27,34.5,-21.7
119,20200105,S37000029,4,17,17.5,-2.9
120,20200105,S37000029,5,6,4,50
121,20200105,S37000030,1,71,91,-22
122,20200105,S37000030,2,151,123,22.8
123,20200105,S37000030,3,71,78.5,-9.6
124,20200105,S37000030,4,47,40,17.5
125,20200105,S37000030,5,20,34.5,-42
126,20200105,S37000031,2,13,24.5,-46.9
127,20200105,S37000031,3,63,55.5,13.5
128,20200105,S37000031,4,5,5.5,-9.1
129,20200105,S37000032,1,225,276.5,-18.6
130,20200105,S37000032,2,205,228.5,-10.3
131,20200105,S37000032,3,190,183.5,3.5
132,20200105,S37000032,4,110,110,0
133,20200105,S37000032,5,122,123.5,-1.2
134,20200105,S37000033,1,27,28,-3.6
135,20200105,S37000033,2,46,55,-16.4
136,20200105,S37000033,3,69,87,-20.7
137,20200105,S37000033,4,127,107.5,18.1
138,20200105,S37000033,5,41,45,-8.9
139,20200105,S37000034,1,845,877,-3.6
140,20200105,S37000034,2,207,226,-8.4
141,20200105,S37000034,3,131,129.5,1.2
142,20200105,S37000034,4,67,88,-23.9
143,20200105,S37000034,5,49,68,-27.9
144,20200105,S37000035,1,310,307,1
145,20200105,S37000035,2,226,250,-9.6
146,20200105,S37000035,3,107,130.5,-18
147,20200105,S37000035,4,64,70,-8.6
148,20200105,S37000035,5,28,31.5,-11.1
149,20200112,S37000001,1,46,51,-9.8
150,20200112,S37000001,2,106,136,-22.1
151,20200112,S37000001,3,66,76,-13.2
152,20200112,S37000001,4,59,66.5,-11.3
153,20200112,S37000001,5,111,106,4.7
154,20200112,S37000002,1,19,17,11.8
155,20200112,S37000002,2,62,63,-1.6
156,20200112,S37000002,3,115,90,27.8
157,20200112,S37000002,4,133,163,-18.4
158,20200112,S37000002,5,97,103.5,-6.3
159,20200112,S37000003,1,21,25.5,-17.6
160,20200112,S37000003,2,38,49.5,-23.2
161,20200112,S37000003,3,79,67.5,17
162,20200112,S37000003,4,52,48.5,7.2
163,20200112,S37000003,5,30,27,11.1
164,20200112,S37000004,1,40,28,42.9
165,20200112,S37000004,2,51,65.5,-22.1
166,20200112,S37000004,3,99,82.5,20
167,20200112,S37000004,4,42,52.5,-20
168,20200112,S37000004,5,13,13,0
169,20200112,S37000005,1,82,71,15.5
170,20200112,S37000005,2,48,54,-11.1
171,20200112,S37000005,3,56,48.5,15.5
172,20200112,S37000005,4,41,43.5,-5.7
173,20200112,S37000005,5,38,41,-7.3
174,20200112,S37000006,1,34,44,-22.7
175,20200112,S37000006,2,112,113,-0.9
176,20200112,S37000006,3,125,123.5,1.2
177,20200112,S37000006,4,54,62.5,-13.6
178,20200112,S37000006,5,32,24,33.3
179,20200112,S37000007,1,168,159,5.7
180,20200112,S37000007,2,80,79.5,0.6
181,20200112,S37000007,3,46,32.5,41.5
182,20200112,S37000007,4,35,35,0
183,20200112,S37000007,5,30,36.5,-17.8
184,20200112,S37000008,1,125,116.5,7.3
185,20200112,S37000008,2,86,89,-3.4
186,20200112,S37000008,3,30,52,-42.3
187,20200112,S37000008,4,20,30,-33.3
188,20200112,S37000008,5,20,22,-9.1
189,20200112,S37000009,1,14,11.5,21.7
190,20200112,S37000009,2,38,41.5,-8.4
191,20200112,S37000009,3,13,15.5,-16.1
192,20200112,S37000009,4,35,30,16.7
193,20200112,S37000009,5,64,72.5,-11.7
194,20200112,S37000010,2,67,59,13.6
195,20200112,S37000010,3,35,39,-10.3
196,20200112,S37000010,4,38,48.5,-21.6
197,20200112,S37000010,5,28,25,12
198,20200112,S37000011,1,18,16.5,9.1
199,20200112,S37000011,2,17,29,-41.4
200,20200112,S37000011,3,23,27,-14.8
201,20200112,S37000011,4,22,28.5,-22.8
202,20200112,S37000011,5,74,68.5,8
203,20200112,S37000012,1,187,199,-6
204,20200112,S37000012,2,159,155.5,2.3
205,20200112,S37000012,3,107,106,0.9
206,20200112,S37000012,4,121,125.5,-3.6
207,20200112,S37000012,5,211,211.5,-0.2
208,20200112,S37000013,1,55,67.5,-18.5
209,20200112,S37000013,2,120,111,8.1
210,20200112,S37000013,3,46,55.5,-17.1
211,20200112,S37000013,4,43,47,-8.5
212,20200112,S37000013,5,49,35,40
213,20200112,S37000016,1,69,56,23.2
214,20200112,S37000016,2,113,113.5,-0.4
215,20200112,S37000016,3,173,137.5,25.8
216,20200112,S37000016,4,154,128.5,19.8
217,20200112,S37000016,5,34,32,6.2
218,20200112,S37000017,1,89,111.5,-20.2
219,20200112,S37000017,2,20,26.5,-24.5
220,20200112,S37000017,3,32,20.5,56.1
221,20200112,S37000017,4,22,20,10
222,20200112,S37000017,5,14,6,133.3
223,20200112,S37000018,1,20,22,-9.1
224,20200112,S37000018,2,69,79.5,-13.2
225,20200112,S37000018,3,40,37.5,6.7
226,20200112,S37000018,4,20,26,-23.1
227,20200112,S37000018,5,15,12,25
228,20200112,S37000019,2,43,31.5,36.5
229,20200112,S37000019,3,54,52,3.8
230,20200112,S37000019,4,61,61,0
231,20200112,S37000019,5,17,27,-37
232,20200112,S37000020,1,201,203,-1
233,20200112,S37000020,2,83,85.5,-2.9
234,20200112,S37000020,3,29,52.5,-44.8
235,20200112,S37000020,4,37,41,-9.8
236,20200112,S37000020,5,13,21,-38.1
237,20200112,S37000022,2,5,8,-37.5
238,20200112,S37000022,3,20,15.5,29
239,20200112,S37000022,4,21,18,16.7
240,20200112,S37000024,1,148,141,5
241,20200112,S37000024,2,66,74.5,-11.4
242,20200112,S37000024,3,59,60.5,-2.5
