"id","date","daily_cases","cumulative_cases","deaths"
1,20200228,1,1,0
2,20200229,0,1,0
3,20200301,2,3,0
4,20200302,1,4,0
5,20200303,3,7,0
6,20200304,6,13,0
7,20200305,2,15,0
8,20200306,6,21,0
9,20200307,6,27,0
10,20200308,3,30,0
11,20200309,16,46,0
12,20200310,21,67,0
13,20200311,25,92,0
14,20200312,38,130,1
15,20200313,48,178,1
16,20200314,19,197,3
17,20200315,12,209,3
18,20200316,21,230,4
19,20200317,43,273,6
20,20200318,41,314,6
21,20200319,50,364,9
22,20200320,84,448,14
23,20200321,67,515,20
24,20200322,74,589,25
25,20200323,138,727,29
26,20200324,167,894,36
27,20200325,188,1082,47
28,20200326,223,1305,59
29,20200327,274,1579,70
30,20200328,204,1783,99
31,20200329,197,1980,119
32,20200330,317,2297,149
33,20200331,341,2638,187
34,20200401,389,3027,233
35,20200402,351,3378,269
36,20200403,381,3759,327
37,20200404,260,4019,355
38,20200405,225,4244,402
39,20200406,404,4648,465
40,20200407,352,5000,514
41,20200408,343,5343,568
42,20200409,304,5647,634
43,20200410,329,5976,692
44,20200411,185,6161,742
45,20200412,220,6381,790
46,20200413,359,6740,831
47,20200414,346,7086,882
48,20200415,331,7417,924
49,20200416,428,7845,967
50,20200417,394,8239,1005
51,20200418,264,8503,1057
52,20200419,159,8662,1103
53,20200420,348,9010,1164
54,20200421,400,9410,1215
55,20200422,340,9750,1261
56,20200423,314,10064,1310
57,20200424,306,10370,1348
58,20200425,184,10554,1396
59,20200426,171,10725,1439
60,20200427,434,11159,1499
61,20200428,383,11542,1539
62,20200429,431,11973,1577
63,20200430,337,12310,1620
64,20200501,375,12685,1668
65,20200502,222,12907,1712
66,20200503,188,13095,1749
67,20200504,330,13425,1789
68,20200505,288,13713,1839
69,20200506,307,14020,1882
70,20200507,297,14317,1922
71,20200508,258,14575,1956
72,20200509,180,14755,1990
73,20200510,153,14908,2018
74,20200511,265,15173,2050
75,20200512,230,15403,2081
76,20200513,198,15601,2123
77,20200514,211,15812,2158
78,20200515,151,15963,2184
79,20200516,103,16066,2213
80,20200517,93,16159,2239
81,20200518,141,16300,2262
82,20200519,182,16482,2290
83,20200520,121,16603,2312
84,20200521,111,16714,2336
85,20200522,91,16805,2353
86,20200523,50,16855,2364
87,20200524,53,16908,2372
88,20200525,96,17004,2386
89,20200526,478,17482,2400
90,20200527,66,17548,2416
91,20200528,55,17603,2432
92,20200529,30,17633,2443
93,20200530,40,17673,2449
94,20200531,23,17696,2455
95,20200601,38,17734,2458
96,20200602,46,17780,2464
97,20200603,34,17814,2472
98,20200604,35,17849,2473
99,20200605,24,17873,2482
100,20200606,22,17895,2485
101,20200607,17,17912,2492
102,20200608,18,17930,2498
103,20200609,27,17957,2499
104,20200610,29,17986,2504
105,20200611,21,18007,2506
106,20200612,30,18037,2508
107,20200613,22,18059,2511
108,20200614,13,18072,2515
109,20200615,21,18093,2518
110,20200616,17,18110,2524
111,20200617,33,18143,2527
112,20200618,14,18157,2530
113,20200619,24,18181,2530
114,20200620,6,18187,2533
115,20200621,9,18196,2535
116,20200622,10,18206,2538
117,20200623,20,18226,2539
118,20200624,8,18234,2540
119,20200625,19,18253,2540
120,20200626,6,18259,2540
121,20200627,4,18263,2544
122,20200628,3,18266,2545
123,20200629,14,18280,2546
124,20200630,8,18288,2546
125,20200701,11,18299,2546
126,20200702,13,18312,2546
127,20200703,6,18318,2547
128,20200704,5,18323,2547
129,20200705,2,18325,2548
130,20200706,8,18333,2548
131,20200707,11,18344,2548
132,20200708,10,18354,2548
133,20200709,8,18362,2548
134,20200710,12,18374,2548
135,20200711,9,18383,2548
136,20200712,2,18385,2548
137,20200713,18,18403,2548
138,20200714,10,18413,2548
139,20200715,16,18429,2548
140,20200716,21,18450,2548
141,20200717,8,18458,2548
142,20200718,13,18471,2548
143,20200719,17,18488,2548
144,20200720,13,18501,2548
145,20200721,19,18520,2548
146,20200722,16,18536,2548
147,20200723,23,18559,2548
148,20200724,11,18570,2548
