"id","week_ending","hscp","age_group","age_group_qf","sex","sex_qf","sas_incidents","average20182019","percent_variation"
1,20200105,"S37000001","Under 5","","All","d",11,14.5,-24.1
2,20200105,"S37000001","5 - 14","","All","d",10,2,400
3,20200105,"S37000001","15 - 44","","All","d",121,116.5,3.9
4,20200105,"S37000001","45 - 64","","All","d",105,107.5,-2.3
5,20200105,"S37000001","65 - 74","","All","d",79,67.5,17
6,20200105,"S37000001","75 - 84","","All","d",78,79,-1.3
7,20200105,"S37000001","85 and over","","All","d",87,67,29.9
8,20200105,"S37000001","All ages","d","All","d",491,454,8.1
9,20200105,"S37000001","All ages","d","Female","",269,227.5,18.2
10,20200105,"S37000001","All ages","d","Male","",222,226.5,-2
11,20200105,"S37000002","Under 5","","All","d",15,10.5,42.9
12,20200105,"S37000002","5 - 14","","All","d",5,11.5,-56.5
13,20200105,"S37000002","15 - 44","","All","d",83,94,-11.7
14,20200105,"S37000002","45 - 64","","All","d",115,96,19.8
15,20200105,"S37000002","65 - 74","","All","d",86,76.5,12.4
16,20200105,"S37000002","75 - 84","","All","d",109,98,11.2
17,20200105,"S37000002","85 and over","","All","d",64,85,-24.7
18,20200105,"S37000002","All ages","d","All","d",477,471.5,1.2
19,20200105,"S37000002","All ages","d","Female","",250,237.5,5.3
20,20200105,"S37000002","All ages","d","Male","",227,234,-3
21,20200105,"S37000003","Under 5","","All","d",9,7.5,20
22,20200105,"S37000003","15 - 44","","All","d",51,49.5,3
23,20200105,"S37000003","45 - 64","","All","d",43,50,-14
24,20200105,"S37000003","65 - 74","","All","d",42,34.5,21.7
25,20200105,"S37000003","75 - 84","","All","d",52,55,-5.5
26,20200105,"S37000003","85 and over","","All","d",39,42.5,-8.2
27,20200105,"S37000003","All ages","d","All","d",239,241,-0.8
28,20200105,"S37000003","All ages","d","Female","",119,125.5,-5.2
29,20200105,"S37000003","All ages","d","Male","",120,115.5,3.9
30,20200105,"S37000004","Under 5","","All","d",13,6.5,100
31,20200105,"S37000004","15 - 44","","All","d",42,40.5,3.7
32,20200105,"S37000004","45 - 64","","All","d",61,45.5,34.1
33,20200105,"S37000004","65 - 74","","All","d",40,50.5,-20.8
34,20200105,"S37000004","75 - 84","","All","d",74,62,19.4
35,20200105,"S37000004","85 and over","","All","d",65,46,41.3
36,20200105,"S37000004","All ages","d","All","d",295,254,16.1
37,20200105,"S37000004","All ages","d","Female","",171,149,14.8
38,20200105,"S37000004","All ages","d","Male","",124,105,18.1
39,20200105,"S37000005","Under 5","","All","d",5,13,-61.5
40,20200105,"S37000005","15 - 44","","All","d",57,67,-14.9
41,20200105,"S37000005","45 - 64","","All","d",68,66.5,2.3
42,20200105,"S37000005","65 - 74","","All","d",46,48,-4.2
43,20200105,"S37000005","75 - 84","","All","d",69,55,25.5
44,20200105,"S37000005","85 and over","","All","d",41,44,-6.8
45,20200105,"S37000005","All ages","d","All","d",286,295.5,-3.2
46,20200105,"S37000005","All ages","d","Female","",143,134.5,6.3
47,20200105,"S37000005","All ages","d","Male","",143,161,-11.2
48,20200105,"S37000006","Under 5","","All","d",8,8.5,-5.9
49,20200105,"S37000006","15 - 44","","All","d",76,71,7
50,20200105,"S37000006","45 - 64","","All","d",86,71.5,20.3
51,20200105,"S37000006","65 - 74","","All","d",54,70.5,-23.4
52,20200105,"S37000006","75 - 84","","All","d",96,84,14.3
53,20200105,"S37000006","85 and over","","All","d",64,64,0
54,20200105,"S37000006","All ages","d","All","d",388,373.5,3.9
55,20200105,"S37000006","All ages","d","Female","",189,195,-3.1
56,20200105,"S37000006","All ages","d","Male","",199,178.5,11.5
57,20200105,"S37000007","Under 5","","All","d",12,9.5,26.3
58,20200105,"S37000007","15 - 44","","All","d",77,88.5,-13
59,20200105,"S37000007","45 - 64","","All","d",73,82,-11
60,20200105,"S37000007","65 - 74","","All","d",54,64.5,-16.3
61,20200105,"S37000007","75 - 84","","All","d",80,71,12.7
62,20200105,"S37000007","85 and over","","All","d",75,46.5,61.3
63,20200105,"S37000007","All ages","d","All","d",374,363.5,2.9
64,20200105,"S37000007","All ages","d","Female","",196,191.5,2.3
65,20200105,"S37000007","All ages","d","Male","",178,172,3.5
66,20200105,"S37000008","Under 5","","All","d",13,11,18.2
67,20200105,"S37000008","15 - 44","","All","d",59,67.5,-12.6
68,20200105,"S37000008","45 - 64","","All","d",71,74.5,-4.7
69,20200105,"S37000008","65 - 74","","All","d",43,52,-17.3
70,20200105,"S37000008","75 - 84","","All","d",59,52,13.5
71,20200105,"S37000008","85 and over","","All","d",34,39,-12.8
72,20200105,"S37000008","All ages","d","All","d",279,297.5,-6.2
73,20200105,"S37000008","All ages","d","Female","",139,150.5,-7.6
74,20200105,"S37000008","All ages","d","Male","",140,147,-4.8
75,20200105,"S37000009","15 - 44","","All","d",20,28.5,-29.8
76,20200105,"S37000009","45 - 64","","All","d",28,31.5,-11.1
77,20200105,"S37000009","65 - 74","","All","d",23,27,-14.8
78,20200105,"S37000009","75 - 84","","All","d",39,40,-2.5
79,20200105,"S37000009","85 and over","","All","d",41,43,-4.7
80,20200105,"S37000009","All ages","d","All","d",156,178.5,-12.6
81,20200105,"S37000009","All ages","d","Female","",78,102,-23.5
82,20200105,"S37000009","All ages","d","Male","",78,76.5,2
83,20200105,"S37000010","5 - 14","","All","d",5,1.5,233.3
84,20200105,"S37000010","15 - 44","","All","d",35,38.5,-9.1
85,20200105,"S37000010","45 - 64","","All","d",42,49.5,-15.2
86,20200105,"S37000010","65 - 74","","All","d",39,34.5,13
87,20200105,"S37000010","75 - 84","","All","d",39,46.5,-16.1
88,20200105,"S37000010","85 and over","","All","d",32,28,14.3
89,20200105,"S37000010","All ages","d","All","d",195,208.5,-6.5
90,20200105,"S37000010","All ages","d","Female","",107,111.5,-4
91,20200105,"S37000010","All ages","d","Male","",88,97,-9.3
92,20200105,"S37000011","15 - 44","","All","d",23,31.5,-27
93,20200105,"S37000011","45 - 64","","All","d",34,39,-12.8
94,20200105,"S37000011","65 - 74","","All","d",19,21,-9.5
95,20200105,"S37000011","75 - 84","","All","d",33,37,-10.8
96,20200105,"S37000011","85 and over","","All","d",25,43,-41.9
97,20200105,"S37000011","All ages","d","All","d",139,178,-21.9
98,20200105,"S37000011","All ages","d","Female","",81,85.5,-5.3
99,20200105,"S37000011","All ages","d","Male","",58,92.5,-37.3
100,20200105,"S37000012","Under 5","","All","d",22,25,-12
101,20200105,"S37000012","5 - 14","","All","d",17,11.5,47.8
102,20200105,"S37000012","15 - 44","","All","d",213,212,0.5
103,20200105,"S37000012","45 - 64","","All","d",209,199,5
104,20200105,"S37000012","65 - 74","","All","d",126,115.5,9.1
105,20200105,"S37000012","75 - 84","","All","d",136,144.5,-5.9
106,20200105,"S37000012","85 and over","","All","d",138,137.5,0.4
107,20200105,"S37000012","All ages","d","All","d",861,845,1.9
108,20200105,"S37000012","All ages","d","Female","",461,451.5,2.1
109,20200105,"S37000012","All ages","d","Male","",400,393.5,1.7
110,20200105,"S37000013","Under 5","","All","d",12,9,33.3
111,20200105,"S37000013","5 - 14","","All","d",6,2,200
112,20200105,"S37000013","15 - 44","","All","d",80,66,21.2
113,20200105,"S37000013","45 - 64","","All","d",85,79,7.6
114,20200105,"S37000013","65 - 74","","All","d",48,52.5,-8.6
115,20200105,"S37000013","75 - 84","","All","d",83,81.5,1.8
116,20200105,"S37000013","85 and over","","All","d",40,41.5,-3.6
117,20200105,"S37000013","All ages","d","All","d",354,331.5,6.8
118,20200105,"S37000013","All ages","d","Female","",175,171.5,2
119,20200105,"S37000013","All ages","d","Male","",179,160,11.9
120,20200105,"S37000016","Under 5","","All","d",19,19.5,-2.6
121,20200105,"S37000016","5 - 14","","All","d",6,3.5,71.4
122,20200105,"S37000016","15 - 44","","All","d",123,95.5,28.8
123,20200105,"S37000016","45 - 64","","All","d",110,135.5,-18.8
124,20200105,"S37000016","65 - 74","","All","d",106,92.5,14.6
125,20200105,"S37000016","75 - 84","","All","d",120,102.5,17.1
126,20200105,"S37000016","85 and over","","All","d",88,87,1.1
127,20200105,"S37000016","All ages","d","All","d",572,536,6.7
128,20200105,"S37000016","All ages","d","Female","",296,271.5,9
129,20200105,"S37000016","All ages","d","Male","",276,264.5,4.3
130,20200105,"S37000017","15 - 44","","All","d",24,37.5,-36
131,20200105,"S37000017","45 - 64","","All","d",41,53,-22.6
132,20200105,"S37000017","65 - 74","","All","d",30,34,-11.8
133,20200105,"S37000017","75 - 84","","All","d",37,50.5,-26.7
134,20200105,"S37000017","85 and over","","All","d",27,34.5,-21.7
135,20200105,"S37000017","All ages","d","All","d",167,222.5,-24.9
136,20200105,"S37000017","All ages","d","Female","",91,119,-23.5
137,20200105,"S37000017","All ages","d","Male","",76,103.5,-26.6
138,20200105,"S37000018","15 - 44","","All","d",27,44.5,-39.3
139,20200105,"S37000018","45 - 64","","All","d",48,41,17.1
140,20200105,"S37000018","65 - 74","","All","d",30,30.5,-1.6
141,20200105,"S37000018","75 - 84","","All","d",36,34.5,4.3
