"id","date","ca","ca_name","new_positive","total_cases","crude_rate_positive","new_deaths","total_deaths","crude_rate_deaths","total_negative","crude_rate_negative"
1,20220131,"S12000005","Clackmannanshire",3,12045,23484.1099629557,0,123,239.812829011503,29263,57054.0066289725
2,20220131,"S12000006","Dumfries and Galloway",46,25506,17200.0809225167,0,200,134.870861150448,76836,51814.6874367793
3,20220131,"S12000008","East Ayrshire",31,28938,23797.6973684211,0,332,273.026315789474,60837,50030.4276315789
4,20220131,"S12000010","East Lothian",22,20723,19205.7460611677,0,153,141.79796107507,58111,53856.3484708063
5,20220131,"S12000011","East Renfrewshire",33,23988,24971.8925671455,0,205,213.408286487612,50997,53088.6945658963
6,20220131,"S12000013","Na h-Eileanan Siar",0,2492,9403.77358490566,0,24,90.5660377358491,12906,48701.8867924528
7,20220131,"S12000014","Falkirk",49,35924,22374.1903338316,0,331,206.15346287992,85986,53553.8116591928
8,20220131,"S12000017","Highland",64,32495,13802.4041116255,0,165,70.0845261861275,128482,54573.3338996729
9,20220131,"S12000018","Inverclyde",44,17584,22818.5829223981,0,190,246.561121204256,41730,54152.6083571243
10,20220131,"S12000019","Midlothian",35,19877,21338.7010198604,0,193,207.192699946323,51253,55022.0075147611
11,20220131,"S12000020","Moray",37,14205,14841.7093302685,0,50,52.2411451259012,48325,50491.0667641835
12,20220131,"S12000021","North Ayrshire",35,29224,21768.3426443203,0,372,277.094972067039,66391,49453.2588454376
13,20220131,"S12000023","Orkney Islands",6,1823,8138.39285714286,0,11,49.1071428571429,9962,44473.2142857143
14,20220131,"S12000026","Scottish Borders",29,17654,15319.3335647345,0,162,140.576188823325,60184,52224.9219021173
15,20220131,"S12000027","Shetland Islands",3,1610,7039.79011805859,0,12,52.4704853519895,12375,54110.1880192392
16,20220131,"S12000028","South Ayrshire",20,22325,19908.1505261281,0,290,258.60531478509,59405,52973.9611200285
17,20220131,"S12000029","South Lanarkshire",116,81027,25256.2184402469,0,790,246.243999750639,168050,52381.3976684745
18,20220131,"S12000030","Stirling",18,18911,20100.9778911565,0,158,167.942176870748,55409,58895.6207482993
19,20220131,"S12000033","Aberdeen City",152,40352,17616.3450624291,0,305,133.152885706802,133861,58439.2735527809
20,20220131,"S12000034","Aberdeenshire",58,40114,15382.3145946775,0,264,101.234757266662,131493,50422.96188358
21,20220131,"S12000035","Argyll and Bute",19,13076,15306.0985602247,0,101,118.225447734988,47084,55114.1285262788
22,20220131,"S12000036","City of Edinburgh",265,106616,20206.9671354384,0,775,146.886016451234,369903,70107.8427656268
23,20220131,"S12000038","Renfrewshire",80,45920,25597.8594124533,0,469,261.441551925971,96288,53675.2327331512
24,20220131,"S12000039","West Dunbartonshire",24,22627,25613.5386008603,0,234,264.885669006113,47174,53400.4980756169
25,20220131,"S12000040","West Lothian",80,41810,22745.0767054727,0,341,185.507561745186,94091,51186.4867805462
26,20220131,"S12000041","Angus",30,19939,17215.506820929,0,186,160.594025211535,58643,50632.8786047315
27,20220131,"S12000042","Dundee City",74,33473,22492.2725440129,0,340,228.463916140304,77665,52187.2060206961
28,20220131,"S12000045","East Dunbartonshire",41,26335,24216.091954023,0,235,216.091954022988,59128,54370.5747126437
29,20220131,"S12000047","Fife",158,75094,20071.63285489,0,577,154.224467431107,203760,54462.3526581669
30,20220131,"S12000048","Perth and Kinross",60,26256,17283.9181094069,0,301,198.143637680205,84964,55930.4851556843
31,20220131,"S12000049","Glasgow City",194,155676,24491.2214461016,0,1525,239.915675539614,370140,58231.0741929394
32,20220131,"S12000050","North Lanarkshire",134,91871,26930.5856832972,0,882,258.544878935334,170141,49874.2451779328
